source_group,layout_count,best_surviving4_layout_id,best_surviving4_version,best_surviving4_variant,best_surviving4_worst_mask,best_surviving4_worst_score,best_surviving4_worst_vdop_p95,worst_surviving4_layout_id,worst_surviving4_version,worst_surviving4_variant,worst_surviving4_mask,worst_surviving4_score,worst_surviving4_vdop_p95
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,5,db81b403f22247cb,v3-full,default,dropCDEF,16.2194456,18.6298294,48d29ef0f4d28d2d,v4-io,default,dropBCEH,17.9821184,22.0378399
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,5,db15409b6d413a3f,v3-full,default,dropBCEH,14.4681648,18.77845,d0cb71e52800e4ca,v4-io,default,dropADFG,17.8049654,22.3712997
Garage_Test/solver/outputs/v1_to_v4_io_field_check,5,d0329b8b5bd6d38d,v3-lite,default,dropABGH,11.5672934,15.6287289,d0ee95053a894332,v3-full,default,dropBDFH,13.792592,13.8496656
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,10,2eb8a6fdb7b789b6,v1-old,default,dropABGH,11.2186172,14.6361885,ce231d425384c5ce,v4-io,default,dropBDFH,13.7663342,10.4983091
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,5,c54a70bd62780086,v3-full,default,dropBDFH,12.3601959,16.9403839,d301a2d612bc1d18,v4-io,default,dropCDEF,24.1017455,31.1667519
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,10,be443b0fa3a15759,v1-old,us_height,dropCDEF,13.1737226,18.9182701,da054d9035b0d65b,v3-full,default,dropCDEF,23.1687183,32.5239563
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,10,b5d368d15c9d301e,v2,us_height,dropCDEF,15.9147979,21.4003639,493249c966b80ad2,v4-io,default,dropADFG,19.1223712,23.4383087
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,5,172b3b835dda9c0d,v3-lite,default,dropCDEF,16.7738951,22.1379929,e0b44fd5cac62866,v4-io,default,dropADFG,19.1546349,23.4956837
outdoor_20260513/FULL-COMPARE,5,554f4e554b20b5b2,v1,default,dropCDEF,17.8781821,25.1660538,10ae58e5b7260ee2,v4,default,dropABGH,20.4098492,28.8115444
outdoor_20260513/FULL-COMPARE-1000,9,136815cfeded6aa0,v1-old,default,dropCDEF,17.8781821,25.1660538,21d850e593ebb432,v4-io-roto,default,dropADFG,22.6465995,28.6197662
outdoor_20260513/FULL-COMPARE-500,9,c46f703d261789cb,v1-old,default,dropCDEF,17.1328505,24.0450745,c855e34a218d0254,v4-io-roto,default,dropADFG,22.8089185,28.8716202
outdoor_20260513/FULL-COMPARE-500+500,27,438122a22497ded6,v1-old,first500,dropCDEF,17.1328505,24.0450745,fb986c7dd6f2e63b,v4-io-roto,first500,dropADFG,22.8089185,28.8716202
outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000,7,a4ded69a125be721,v1-old,us_height,dropCDEF,17.2146161,24.4854507,175c6752d9dd2ac4,v4-io-roto,us_height,dropADFG,22.353435,27.3376999
outdoor_v4_20260504/FULL-COMPARE,5,cef6a189867b2e95,v1,default,dropABGH,17.8306822,21.4287357,ee1b62b82f6517d2,v3-lite,default,dropCDEF,20.5042733,25.9223442
