layout_id,capture_id,source_group,solver_version,layout_variant,source_path,anchor_count,mask,mask_anchor_count,grid_mm,n_points,n_valid,xdop_mean,xdop_median,xdop_p90,xdop_p95,xdop_max,ydop_mean,ydop_median,ydop_p90,ydop_p95,ydop_max,vdop_mean,vdop_median,vdop_p90,vdop_p95,vdop_max,hdop_mean,hdop_median,hdop_p90,hdop_p95,hdop_max,gdop_mean,gdop_median,gdop_p90,gdop_p95,gdop_max,cond_mean,cond_median,cond_p90,cond_p95,cond_max,axis_imbalance_p95,axis_dop_score,status,gpu_device
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,all8,8,25,612720,612720,0.532407224,0.524767339,0.578764915,0.589237094,0.637867033,0.609585106,0.61451757,0.645417392,0.65403986,0.6976735,0.81818676,0.820019186,0.880123019,0.890059114,0.907799065,0.810158908,0.803717613,0.842932522,0.859869719,0.935050905,1.15245581,1.1504674,1.18733943,1.19263482,1.2274375,4.10968447,4.07950306,4.55954027,4.63007927,5.10168982,1.51052797,0.881557155,ok,0
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,all8,8,25,612720,612720,0.532321334,0.524679661,0.578674674,0.589143932,0.637680709,0.609509528,0.614451587,0.645328045,0.65394628,0.697538435,0.818619967,0.820454478,0.880676448,0.890633643,0.908288419,0.81004566,0.803601682,0.842802703,0.859741271,0.934775949,1.15268636,1.15068412,1.18766582,1.19297552,1.22724915,4.11264324,4.08233261,4.56374502,4.63454533,5.09905338,1.51174203,0.881819623,ok,1
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,all8,8,25,565656,565656,0.53177464,0.524427056,0.578356028,0.588388145,0.636634231,0.609035015,0.614450812,0.644215226,0.652369261,0.700726211,0.822143435,0.825219631,0.886119127,0.896053553,0.912633657,0.809323072,0.802416086,0.84289062,0.861054301,0.937852383,1.15477693,1.15296125,1.19125891,1.19678724,1.23550391,4.13975716,4.11119223,4.61180401,4.68573856,5.21166706,1.52289532,0.88493651,ok,1
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,all8,8,25,585858,585858,0.527779043,0.519743323,0.575355172,0.585996866,0.634650409,0.606986225,0.6124506,0.644195437,0.653169155,0.699850619,0.846286118,0.847717166,0.92071867,0.933234811,0.953352988,0.805237353,0.798931241,0.838262498,0.855048418,0.941673875,1.16942036,1.1660248,1.21350622,1.22117281,1.23422825,4.33037519,4.2789669,4.91179657,5.01704168,5.19359303,1.59255939,0.904419119,ok,0
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,all8,8,25,599720,599720,0.527506709,0.519369721,0.576830864,0.587728858,0.653028846,0.610953748,0.617578506,0.648003519,0.656720042,0.714060903,0.846804261,0.849752426,0.927018046,0.946142972,1.00410295,0.808116198,0.801520348,0.842942238,0.861607492,0.947444916,1.17206132,1.17106199,1.2200799,1.23346376,1.26993322,4.36760902,4.34429741,5.00223207,5.18787766,5.69774199,1.60982902,0.914917114,ok,1
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,dropA,7,25,612720,612720,0.582324207,0.571172833,0.643410265,0.668037534,0.805972636,0.662849069,0.651177406,0.740091562,0.778413415,0.952296019,0.90928036,0.884755075,1.0680604,1.14753091,1.52339315,0.884227633,0.872238696,0.937124789,0.969282448,1.14698195,1.271842,1.25376666,1.37035739,1.43389165,1.76385748,4.62721777,4.36728764,5.86364698,6.74129629,12.3550043,1.71776413,1.08076365,ok,1
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,dropA,7,25,612720,612720,0.582202673,0.571059465,0.643315315,0.66791898,0.805756927,0.66285342,0.651174784,0.740160525,0.778473735,0.952917874,0.909674048,0.885175169,1.06846452,1.14789331,1.52216148,0.884153128,0.872157335,0.93705368,0.969183385,1.14743948,1.2720716,1.2539854,1.37062919,1.43421042,1.7638948,4.63011503,4.37000847,5.8672924,6.74540424,12.3557367,1.7186116,1.08098238,ok,0
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,dropA,7,25,565656,565656,0.582764387,0.57141912,0.644022822,0.669628084,0.814246297,0.665458262,0.65297699,0.744450212,0.784665525,0.966802716,0.909299016,0.885749459,1.06694782,1.14683449,1.52723122,0.886499465,0.873396635,0.941252947,0.975414515,1.16295743,1.273507,1.25535893,1.3714366,1.43569887,1.78509355,4.6489253,4.38679314,5.87975407,6.76593018,12.6827536,1.71264396,1.0834171,ok,0
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,dropA,7,25,585858,585858,0.580319583,0.569475293,0.640638351,0.665013313,0.807919383,0.659371793,0.648534536,0.736465394,0.774613678,0.940277457,0.946672678,0.919411182,1.12449908,1.21102071,1.62662292,0.880337596,0.868998408,0.931622684,0.963849247,1.13205683,1.29664207,1.27492499,1.41398513,1.48679495,1.85715735,4.95161867,4.62835884,6.46323013,7.50775385,14.0491819,1.82104731,1.11904439,ok,1
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,dropA,7,25,599720,599720,0.583800673,0.57025075,0.648509562,0.677754045,0.813050151,0.672217906,0.661298752,0.749674439,0.792304635,0.979213417,0.942515135,0.914731383,1.12900209,1.22068489,1.613397,0.892320156,0.879338861,0.950054407,0.987170815,1.18214834,1.3022598,1.27742112,1.42710733,1.50208032,1.86557639,5.03540993,4.66001892,6.65963364,7.73051071,14.1838531,1.80107355,1.13531051,ok,0
