initiator,responder,valid_samples,required_samples,pass
A,B,100,99,1
A,C,100,99,1
A,D,100,99,1
A,E,100,99,1
A,F,100,99,1
A,G,100,99,1
A,H,100,99,1
B,A,100,99,1
B,C,100,99,1
B,D,100,99,1
B,E,100,99,1
B,F,100,99,1
B,G,100,99,1
B,H,100,99,1
C,A,100,99,1
C,B,100,99,1
C,D,100,99,1
C,E,100,99,1
C,F,100,99,1
C,G,100,99,1
C,H,100,99,1
D,A,100,99,1
D,B,100,99,1
D,C,100,99,1
D,E,100,99,1
D,F,100,99,1
D,G,100,99,1
D,H,100,99,1
E,A,100,99,1
E,B,100,99,1
E,C,100,99,1
E,D,100,99,1
E,F,100,99,1
E,G,100,99,1
E,H,100,99,1
F,A,100,99,1
F,B,100,99,1
F,C,99,99,1
F,D,100,99,1
F,E,100,99,1
F,G,100,99,1
F,H,100,99,1
G,A,100,99,1
G,B,100,99,1
G,C,100,99,1
G,D,100,99,1
G,E,100,99,1
G,F,100,99,1
G,H,100,99,1
H,A,100,99,1
H,B,100,99,1
H,C,100,99,1
H,D,100,99,1
H,E,100,99,1
H,F,100,99,1
H,G,100,99,1
