archives: 6   nodes: 9
node          uwb  rate_hz              8/8             7+/8      uwb_deliv  imu_samp        imu_deliv
BSF1120    180001   8.3333    179656/180001    180001/180001  180001/180001   4319752  4319752/4319752
BSF31CC    180001   8.3334    179588/180001    179944/180001  180001/180001   4319798  4319798/4319798
BSF3C79    180000   8.3333    179404/180000    179747/180000  180000/180000   4319820  4319820/4319820
BSF6C53    180001   8.3335    179679/180001    179844/180001  180001/180001   4319889  4319889/4319889
BSF8BC4    180001   8.3334    179935/180001    180001/180001  180001/180001   4319845  4319845/4319845
BSFAA61    180005   8.3336    179720/180005    180005/180005  180005/180005    358799   358799/1018671
BSFB165    180003   8.3334    179943/180003    180003/180003  180003/180003   4319860  4319860/4319860
BSFC2CC    180002   8.3334    179878/180002    180002/180002  180002/180002   4318003  4318003/4319813
BSFEC35    180002   8.3334    179788/180002    180002/180002  180002/180002   4319802  4319802/4319802

freshness: INSUFFICIENT (static bench) -- labelled, not numbered
