accepted,reason,nearest_angle_deg,start,end,duration_s,samples,stability_final,decision_count,set,pose,requested_token
True,STABLE_AND_DISTINCT,,"{'name': 'TRAINING_POSE_01_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:12:00.251+02:00', 'monotonic': 32797.23878118, 'raw_byte_offset': 2078440, 'decoded_record_index': 13356, 'consumed_record_index': 13356}","{'name': 'TRAINING_POSE_01_ACCEPT', 'wall': '2026-08-12T23:12:20.009+02:00', 'monotonic': 32816.996944193, 'raw_byte_offset': 2206406, 'decoded_record_index': 14179, 'consumed_record_index': 14179}",20.000494807994983,4000,"{'samples': 210, 'accel_norm_std_g': 0.0007233126585141609, 'gyro_centered_rms_dps': 0.07072858464939051, 'gyro_axis_std_max_dps': 0.0446646500937001, 'gravity_direction_p95_deg': 0.07213983937363835, 'stable': True, 'raw_accel_norm_std_g': 0.0006826683687576766, 'accel_norm_robust_sigma_g': 0.0007233126585141609, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 32816.939812155, 'phase': 'TRAINING_POSE_01', 'continuous_stable_s': 20.000494807994983, 'sequence_or_time_fault': False}",824,TRAINING,1,POSE_01_READY
True,STABLE_AND_DISTINCT,179.03278249699952,"{'name': 'TRAINING_POSE_02_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:15:12.159+02:00', 'monotonic': 32989.146530633, 'raw_byte_offset': 3317798, 'decoded_record_index': 21317, 'consumed_record_index': 21317}","{'name': 'TRAINING_POSE_02_ACCEPT', 'wall': '2026-08-12T23:15:31.919+02:00', 'monotonic': 33008.907139521, 'raw_byte_offset': 3445702, 'decoded_record_index': 22141, 'consumed_record_index': 22140}",20.000609483002336,4010,"{'samples': 200, 'accel_norm_std_g': 0.0007236601350631204, 'gyro_centered_rms_dps': 0.06837572174807154, 'gyro_axis_std_max_dps': 0.042679899527651353, 'gravity_direction_p95_deg': 0.0833048616839414, 'stable': True, 'raw_accel_norm_std_g': 0.0006775182709785264, 'accel_norm_robust_sigma_g': 0.0007236601350631204, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33008.845411575, 'phase': 'TRAINING_POSE_02', 'continuous_stable_s': 20.000609483002336, 'sequence_or_time_fault': False}",824,TRAINING,2,POSE_02_READY
True,STABLE_AND_DISTINCT,89.73509260763748,"{'name': 'TRAINING_POSE_03_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:15:56.108+02:00', 'monotonic': 33033.095896029, 'raw_byte_offset': 3601522, 'decoded_record_index': 23142, 'consumed_record_index': 23142}","{'name': 'TRAINING_POSE_03_ACCEPT', 'wall': '2026-08-12T23:16:15.921+02:00', 'monotonic': 33052.908809121, 'raw_byte_offset': 3729890, 'decoded_record_index': 23968, 'consumed_record_index': 23968}",20.051254739999422,4010,"{'samples': 200, 'accel_norm_std_g': 0.0007143665167257621, 'gyro_centered_rms_dps': 0.06298757153488249, 'gyro_axis_std_max_dps': 0.04557246253377709, 'gravity_direction_p95_deg': 0.08538885043867218, 'stable': True, 'raw_accel_norm_std_g': 0.0006486571826603159, 'accel_norm_robust_sigma_g': 0.0007143665167257621, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33052.898704863, 'phase': 'TRAINING_POSE_03', 'continuous_stable_s': 20.051254739999422, 'sequence_or_time_fault': False}",826,TRAINING,3,POSE_03_READY
True,STABLE_AND_DISTINCT,88.79594440208746,"{'name': 'TRAINING_POSE_04_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:16:42.159+02:00', 'monotonic': 33079.146784824, 'raw_byte_offset': 3899204, 'decoded_record_index': 25055, 'consumed_record_index': 25055}","{'name': 'TRAINING_POSE_04_ACCEPT', 'wall': '2026-08-12T23:17:01.923+02:00', 'monotonic': 33098.910884894, 'raw_byte_offset': 4027186, 'decoded_record_index': 25879, 'consumed_record_index': 25878}",20.00101274700137,4010,"{'samples': 200, 'accel_norm_std_g': 0.0007237838632576088, 'gyro_centered_rms_dps': 0.06699981201202437, 'gyro_axis_std_max_dps': 0.043070888502288546, 'gravity_direction_p95_deg': 0.08377251177806116, 'stable': True, 'raw_accel_norm_std_g': 0.0006268212442144847, 'accel_norm_robust_sigma_g': 0.0007237838632576088, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33098.848290263, 'phase': 'TRAINING_POSE_04', 'continuous_stable_s': 20.00101274700137, 'sequence_or_time_fault': False}",823,TRAINING,4,POSE_04_READY
True,STABLE_AND_DISTINCT,88.3942196993371,"{'name': 'TRAINING_POSE_05_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:17:37.661+02:00', 'monotonic': 33134.648881431, 'raw_byte_offset': 4257354, 'decoded_record_index': 27361, 'consumed_record_index': 27361}","{'name': 'TRAINING_POSE_05_ACCEPT', 'wall': '2026-08-12T23:17:57.323+02:00', 'monotonic': 33154.3109014, 'raw_byte_offset': 4384521, 'decoded_record_index': 28174, 'consumed_record_index': 28174}",20.00137044800067,4010,"{'samples': 200, 'accel_norm_std_g': 0.000723520997284874, 'gyro_centered_rms_dps': 0.061943918243971066, 'gyro_axis_std_max_dps': 0.041655096792182565, 'gravity_direction_p95_deg': 0.09271161903457042, 'stable': True, 'raw_accel_norm_std_g': 0.0007235382477325683, 'accel_norm_robust_sigma_g': 0.000723520997284874, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33154.300464968, 'phase': 'TRAINING_POSE_05', 'continuous_stable_s': 20.00137044800067, 'sequence_or_time_fault': False}",813,TRAINING,5,POSE_05_READY
True,STABLE_AND_DISTINCT,87.60430947498853,"{'name': 'TRAINING_POSE_06_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:18:22.414+02:00', 'monotonic': 33179.402358328, 'raw_byte_offset': 4546675, 'decoded_record_index': 29215, 'consumed_record_index': 29214}","{'name': 'TRAINING_POSE_06_ACCEPT', 'wall': '2026-08-12T23:18:42.077+02:00', 'monotonic': 33199.065057128, 'raw_byte_offset': 4674212, 'decoded_record_index': 30038, 'consumed_record_index': 30038}",20.000197080000362,4001,"{'samples': 200, 'accel_norm_std_g': 0.0006801608910777141, 'gyro_centered_rms_dps': 0.05964605800076924, 'gyro_axis_std_max_dps': 0.04146798767447028, 'gravity_direction_p95_deg': 0.07848278659934366, 'stable': True, 'raw_accel_norm_std_g': 0.000635163104105691, 'accel_norm_robust_sigma_g': 0.0006801608910777141, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33199.054315687, 'phase': 'TRAINING_POSE_06', 'continuous_stable_s': 20.000197080000362, 'sequence_or_time_fault': False}",826,TRAINING,6,POSE_06_READY
True,STABLE_AND_DISTINCT,42.020084159138925,"{'name': 'TRAINING_POSE_07_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:19:21.914+02:00', 'monotonic': 33238.902172367, 'raw_byte_offset': 4931660, 'decoded_record_index': 31694, 'consumed_record_index': 31694}","{'name': 'TRAINING_POSE_07_ACCEPT', 'wall': '2026-08-12T23:19:41.627+02:00', 'monotonic': 33258.615012816, 'raw_byte_offset': 5058307, 'decoded_record_index': 32504, 'consumed_record_index': 32503}",20.000628608002444,4010,"{'samples': 200, 'accel_norm_std_g': 0.0007646241723979715, 'gyro_centered_rms_dps': 0.055939644713816405, 'gyro_axis_std_max_dps': 0.04116933268274711, 'gravity_direction_p95_deg': 0.07714810740377301, 'stable': True, 'raw_accel_norm_std_g': 0.0007346235710794747, 'accel_norm_robust_sigma_g': 0.0007646241723979715, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33258.552366383, 'phase': 'TRAINING_POSE_07', 'continuous_stable_s': 20.000628608002444, 'sequence_or_time_fault': False}",809,TRAINING,7,POSE_07_READY
True,STABLE_AND_DISTINCT,40.27915896943046,"{'name': 'TRAINING_POSE_08_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:21:18.267+02:00', 'monotonic': 33355.254465933, 'raw_byte_offset': 5683200, 'decoded_record_index': 36523, 'consumed_record_index': 36523}","{'name': 'TRAINING_POSE_08_ACCEPT', 'wall': '2026-08-12T23:21:38.032+02:00', 'monotonic': 33375.020427082, 'raw_byte_offset': 5810202, 'decoded_record_index': 37335, 'consumed_record_index': 37334}",20.001323484997556,4010,"{'samples': 210, 'accel_norm_std_g': 0.0006304775226486889, 'gyro_centered_rms_dps': 0.06139738587669041, 'gyro_axis_std_max_dps': 0.04094259591922504, 'gravity_direction_p95_deg': 0.09269185099216197, 'stable': True, 'raw_accel_norm_std_g': 0.0006703083977009529, 'accel_norm_robust_sigma_g': 0.0006304775226486889, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33374.95631117, 'phase': 'TRAINING_POSE_08', 'continuous_stable_s': 20.001323484997556, 'sequence_or_time_fault': False}",815,TRAINING,8,POSE_08_READY
True,STABLE_AND_DISTINCT,44.998341778277805,"{'name': 'TRAINING_POSE_09_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:22:12.220+02:00', 'monotonic': 33409.208247851, 'raw_byte_offset': 6031750, 'decoded_record_index': 38764, 'consumed_record_index': 38763}","{'name': 'TRAINING_POSE_09_ACCEPT', 'wall': '2026-08-12T23:22:32.036+02:00', 'monotonic': 33429.023512025, 'raw_byte_offset': 6159336, 'decoded_record_index': 39579, 'consumed_record_index': 39578}",20.0495262320037,4010,"{'samples': 200, 'accel_norm_std_g': 0.0006305705960300955, 'gyro_centered_rms_dps': 0.06918813506319967, 'gyro_axis_std_max_dps': 0.04436714317721252, 'gravity_direction_p95_deg': 0.07515653541620196, 'stable': True, 'raw_accel_norm_std_g': 0.0006687642239772497, 'accel_norm_robust_sigma_g': 0.0006305705960300955, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33428.957262919, 'phase': 'TRAINING_POSE_09', 'continuous_stable_s': 20.0495262320037, 'sequence_or_time_fault': False}",815,TRAINING,9,POSE_09_READY
True,STABLE_AND_DISTINCT,46.29362557789196,"{'name': 'TRAINING_POSE_10_TOKEN_ACCEPTED', 'wall': '2026-08-12T23:23:23.570+02:00', 'monotonic': 33480.558027527, 'raw_byte_offset': 6492167, 'decoded_record_index': 41722, 'consumed_record_index': 41722}","{'name': 'TRAINING_POSE_10_ACCEPT', 'wall': '2026-08-12T23:23:43.387+02:00', 'monotonic': 33500.37498525, 'raw_byte_offset': 6620327, 'decoded_record_index': 42547, 'consumed_record_index': 42544}",20.000477374000184,4000,"{'samples': 190, 'accel_norm_std_g': 0.0006685062895215996, 'gyro_centered_rms_dps': 0.06552775929904417, 'gyro_axis_std_max_dps': 0.04211645079666717, 'gravity_direction_p95_deg': 0.08054205643093774, 'stable': True, 'raw_accel_norm_std_g': 0.0006547906184208934, 'accel_norm_robust_sigma_g': 0.0006685062895215996, 'raw_transient_candidate_count': 0, 'maximum_consecutive_raw_transient_samples': 0, 'stationarity_accel_statistic': '1.4826x_MAD_RETAIN_ALL_RAW_SAMPLES', 'monotonic': 33500.359925099, 'phase': 'TRAINING_POSE_10', 'continuous_stable_s': 20.000477374000184, 'sequence_or_time_fault': False}",824,TRAINING,10,POSE_10_READY
