node,hour,start_s,end_s,phase,imu_samples,imu_hz,uwb_sweeps,uwb_hz,gyro_median_dps,gyro_p05_dps,gyro_p95_dps,accel_norm_median_g,temperature_median_c,imu_gap_transitions,imu_missing_samples,uwb_gap_transitions,uwb_missing_sweeps
BSFC2CC,0,0.0,3600.0,SUPPORTED_ROTATION,719998,199.999444444,30001,8.33361111111,53.7243566222,50.7527785081,56.4595320059,1.01527199112,32.8,0,0,0,0
BSFC2CC,1,3600.0,7200.0,SUPPORTED_ROTATION,719965,199.990277778,30001,8.33361111111,53.7647671153,51.406372557,56.376664283,1.01532001318,32.62,0,0,0,0
BSFC2CC,2,7200.0,10800.0,SUPPORTED_ROTATION,719957,199.988055556,30000,8.33333333333,53.7964573516,51.1600233142,56.5274522011,1.01531848684,32.42,0,0,0,0
BSFC2CC,3,10800.0,14400.0,SUPPORTED_ROTATION,719991,199.9975,30001,8.33361111111,53.8007851697,50.9857680972,56.8147154314,1.01534913058,32.21,0,0,0,0
BSFC2CC,4,14400.0,18000.0,SUPPORTED_ROTATION,719983,199.995277778,30000,8.33333333333,53.8003697142,50.7886587754,57.0462533734,1.01540301905,32.12,0,0,0,0
BSFC2CC,5,18000.0,21600.0,SUPPORTED_ROTATION,719979,199.994166667,30001,8.33361111111,53.8247722805,50.715403782,57.0780209578,1.01537801234,32.18,0,0,0,0
BSFC2CC,6,21600.0,25200.0,SUPPORTED_ROTATION,719963,199.989722222,30000,8.33333333333,53.8197888257,50.6767518234,57.1438696412,1.01542555978,32.39,0,0,0,0
BSFC2CC,7,25200.0,28800.0,MIXED_DEGRADATION_BOUNDARY,471055,130.848611111,19634,5.45388888889,53.8185428899,50.6829263573,57.1062091832,1.01529371287,32.75,1,20,1,2
BSFC2CC,8,28800.0,32400.0,DEPLETION_TAIL,0,0.0,0,0.0,,,,,,0,0,0,0
BSFC2CC,9,32400.0,36000.0,DEPLETION_TAIL,0,0.0,0,0.0,,,,,,0,0,0,0
BSFC2CC,10,36000.0,39600.0,DEPLETION_TAIL,0,0.0,0,0.0,,,,,,0,0,0,0
BSFC2CC,11,39600.0,41575.7049363,DEPLETION_TAIL,0,0.0,0,0.0,,,,,,0,0,0,0
BSF3C79,0,0.0,3600.0,SUPPORTED_ROTATION,719977,199.993611111,30000,8.33333333333,53.631116336,50.6118737382,56.4081419419,1.00948000619,32.6,0,0,0,0
BSF3C79,1,3600.0,7200.0,SUPPORTED_ROTATION,719992,199.997777778,30001,8.33361111111,53.680445946,51.2995314246,56.3457310181,1.00960470131,32.42,0,0,0,0
BSF3C79,2,7200.0,10800.0,SUPPORTED_ROTATION,720006,200.001666667,30000,8.33333333333,53.7204387237,51.0509007399,56.4814336494,1.00965948672,32.21,0,0,0,0
BSF3C79,3,10800.0,14400.0,SUPPORTED_ROTATION,719999,199.999722222,30000,8.33333333333,53.7426248192,50.8637857942,56.7618093114,1.00975252066,32.0,0,0,0,0
BSF3C79,4,14400.0,18000.0,SUPPORTED_ROTATION,719991,199.9975,30001,8.33361111111,53.746263851,50.6393577678,57.000611188,1.00985935743,31.92,0,0,0,0
BSF3C79,5,18000.0,21600.0,SUPPORTED_ROTATION,719974,199.992777778,30001,8.33361111111,53.7609907491,50.559145044,57.03218701,1.00992876576,32.01,0,0,0,0
BSF3C79,6,21600.0,25200.0,SUPPORTED_ROTATION,719968,199.991111111,30000,8.33333333333,53.7578724485,50.5371591319,57.102099267,1.01001174259,32.14,0,0,0,0
BSF3C79,7,25200.0,28800.0,MIXED_DEGRADATION_BOUNDARY,242609,67.3913888889,10112,2.80888888889,53.7643513816,50.5400209921,57.1044478265,1.00945508893,32.09,0,0,0,0
BSF3C79,8,28800.0,32400.0,DEPLETION_TAIL,11130,3.09166666667,464,0.128888888889,53.845912225,50.6892158902,57.0591280351,1.00845612075,28.06,0,0,0,0
BSF3C79,9,32400.0,36000.0,DEPLETION_TAIL,11210,3.11388888889,468,0.13,53.6774270506,48.6584155545,59.080941989,1.00868920333,28.03,0,0,0,0
BSF3C79,10,36000.0,39600.0,DEPLETION_TAIL,11180,3.10555555556,467,0.129722222222,53.7823116132,51.1937262203,56.422525644,1.00853555454,27.95,0,0,0,0
BSF3C79,11,39600.0,41575.7049363,DEPLETION_TAIL,0,0.0,0,0.0,,,,,,0,0,0,0
