mount,temporal_region_only,segment_id,start_hardware_s,end_hardware_s,duration_s,start_plateau_center_V4_m,start_uncertainty_m,end_plateau_center_V4_m,end_uncertainty_m,signed_delta_p_V4_m,magnitude_V4_m,delta_p_N_m,magnitude_N_m,start_speed_mps,end_speed_mps,start_stationary_confidence,end_stationary_confidence,start_gyro_median_dps,end_gyro_median_dps,start_accel_norm_residual_g,end_accel_norm_residual_g,attitude_change_deg,gyro_saturated_or_clipped,acceptance_weight,decision
A,vertical_original,A-vertical_original-01,2406.814397,2407.894399,1.0800019999996948,"[2.824614814459577,1.1202516199864914,1.3602342726314514]",0.09846415554868625,"[2.9135835344015057,1.1419837604329175,0.9996057211359237]",0.0891908333735483,"[0.07552327577306439,0.007299970524331512,-0.3381291448544409]",0.34653769398601636,"[0.05024630051922932,-0.0148166702486351,-0.37660559096507273]",0.3802315026129176,0.02810319758936533,0.048528621994387434,0.0,0.019801980198019802,30.176151128310625,23.748785747839943,0.2488753485881201,0.1073905496354921,9.079405889527749,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-02,2407.894399,2408.854416,0.9600170000003345,"[2.9135835344015057,1.1419837604329175,0.9996057211359237]",0.0891908333735483,"[2.9205802292810508,1.1785907498754638,1.311627606592494]",0.20677626722369835,"[-0.01540961360176496,0.033481286337012195,0.4013033556055333]",0.4029923522182497,"[-0.007740283947428568,-0.016712550700218577,0.5299830964039955]",0.5303030301822356,0.048528621994387434,0.07404787962686837,0.019801980198019802,0.0,25.33149599923073,35.38034027807518,0.1073905496354921,0.33561983413766794,8.031823108437427,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-03,2408.854416,2409.934466,1.0800500000000284,"[2.9205802292810508,1.1785907498754638,1.311627606592494]",0.20677626722369835,"[2.809269563590946,1.279034825690781,0.5318796374386863]",0.075,"[-0.06402530715813048,0.08151581864593394,-0.7715687342809463]",0.7785000837290329,"[0.02856948087430333,0.006081846177120836,-0.4096820922717268]",0.41072207247540155,0.07404787962686837,0.173156149975739,0.0,0.1188118811881188,34.22522003862499,34.57351401693345,0.33561983413766794,0.11560725777673486,13.053858293060342,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-04,2409.934466,2410.894432,0.9599659999998948,"[2.809269563590946,1.279034825690781,0.5318796374386863]",0.075,"[2.913113115043203,1.1809602626200446,1.4313491281865982]",0.13474183752460667,"[0.04303113547009252,-0.13341444545514247,0.7701056103428192]",0.7827603362188421,"[0.006123577694725586,-0.0009247452450222615,0.47668337937310284]",0.47672360705980676,0.173156149975739,0.1682403346173286,0.1188118811881188,0.0,36.00591140931614,25.111758671030906,0.11560725777673486,0.1862621932935925,8.473926573678467,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-05,2410.894432,2412.934961,2.0405289999998786,"[2.913113115043203,1.1809602626200446,1.4313491281865982]",0.13474183752460667,"[2.923697146451317,1.2065613591551032,1.4868920414097082]",0.09465686849823782,"[0.0307326079085688,0.025400117723153537,0.0873506123996679]",0.09601973055476098,"[0.01989360252053395,0.0024394081129120427,0.08213832181903896]",0.08454827049936828,0.1682403346173286,0.11495851681607544,0.0,0.0,25.111758671030906,14.24131905889337,0.1862621932935925,0.15630821146261586,2.278661277583063,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,REJECT_T4_DISPLACEMENT
A,vertical_original,A-vertical_original-06,2412.934961,2413.894492,0.9595309999999699,"[2.923697146451317,1.2065613591551032,1.4868920414097082]",0.09465686849823782,"[2.891088833098435,1.229219098496907,0.7819668855087425]",0.075,"[-0.023664287889058055,0.0816898392318226,-0.6340732080639855]",0.6397515623580543,"[-0.025543118477244397,0.004011675218406421,-0.4379974979228039]",0.4387600171235263,0.11495851681607544,0.09822184361544366,0.0,0.0,14.24131905889337,24.046014415450585,0.15630821146261586,0.06060498607052622,11.442572243839496,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-07,2413.894492,2414.974550,1.0800580000000082,"[2.891088833098435,1.229219098496907,0.7819668855087425]",0.075,"[2.9475695424670136,1.1005577563957003,1.4259383989799217]",0.11836208598270007,"[0.02597674085402879,-0.11603610487607385,0.5644927753721831]",0.5768806307613374,"[-0.023502305413038053,-0.0010146999413754097,0.48971237023924147]",0.4902770579387074,0.09822184361544366,0.09595285560964203,0.0,0.0,24.046014415450585,20.584795941002362,0.06060498607052622,0.1437641952466162,12.091528938466487,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-08,2414.974550,2415.934496,0.9599459999999453,"[2.9475695424670136,1.1005577563957003,1.4259383989799217]",0.11836208598270007,"[2.879958151208048,1.1955652905777132,0.793806772415538]",0.250614796424361,"[-0.02440084674177001,0.059211573404651,-0.48031524414724147]",0.4845659351491744,"[-0.002145640413414871,0.005888266359454234,-0.41352170797201626]",0.4135691942318686,0.09595285560964203,0.13687661418645466,0.0,0.009900990099009901,20.584795941002362,32.57613266597684,0.1437641952466162,0.07727072221359421,5.084106139570483,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-09,2415.934496,2416.894821,0.9603250000000116,"[2.879958151208048,1.1955652905777132,0.793806772415538]",0.250614796424361,"[2.9221693117183207,1.1657056490101507,1.4889775322977319]",0.10444136915962114,"[0.038914297364624595,-0.024248209784998753,0.5349130966124097]",0.5368745841857638,"[-0.010228140844593048,-0.007218060421991967,0.4970461542860786]",0.49720377588265824,0.13687661418645466,0.038139845451698566,0.009900990099009901,0.0,32.57613266597684,21.921484148595177,0.07727072221359421,0.2788793434542337,3.715038065614733,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
A,vertical_original,A-vertical_original-10,2416.894821,2417.974827,1.0800060000001395,"[2.9221693117183207,1.1657056490101507,1.4889775322977319]",0.10444136915962114,"[2.849045539105251,1.181757934060682,0.7734446231376018]",0.08507190103402204,"[-0.060158144691038196,0.03604996483447209,-0.6191801207515321]",0.6231393297418455,"[0.004012912834971629,-0.013406608802747062,-0.4453059989644147]",0.4455258391414647,0.038139845451698566,0.16125136314843777,0.0,0.009900990099009901,21.921484148595177,28.00994573965749,0.2788793434542337,0.07135560377609051,10.954137743349344,False,EQUAL_TOTAL_WEIGHT_PER_ACCEPTED_SEGMENT,ACCEPT
