node,configuration,static_rms_m,static_p95_m,false_suspected,temporary_unlock,persistent_false_transition,movement_unlock_latency_s,movement_relock_latency_s,silent_creep_m,published_locked_max_step_m
BSF3C79,no_stationary_lock_B0,0.0699718841477,0.121907634527,,,,,,,
BSF3C79,lock_no_platform_conflict,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,instantaneous_detector,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,global_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,node_specific_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,raw_range_updates,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,fleet_context_detector,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,threshold_0.8,0.0,0.0,1,0,0,,,0,0.0
BSF3C79,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
BSF3C79,threshold_1.0,0.0,0.0,0,0,0,,,0,0.0
BSFC2CC,no_stationary_lock_B0,0.0580413784742,0.101223449675,,,,0,0,,
BSFC2CC,lock_no_platform_conflict,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,instantaneous_detector,0.0,0.0,0,1,0,4.4364754131,31.3840854232,0.0,0.0
BSFC2CC,global_position_covariance,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,node_specific_position_covariance,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,raw_range_updates,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,fleet_context_detector,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,no_zupt,0.0,0.0,0,1,0,4.68645727964,,0.0,0.0
BSFC2CC,fixed_settling_scatter,0.0,0.0,0,1,0,4.68645727964,31.4340817965,0.0,0.0
BSFC2CC,threshold_0.8,0.0,0.0,0,0,0,4.68645727964,,0.0,0.0
BSFC2CC,threshold_1.2,0.0,0.0,0,1,0,4.68645727964,30.6341398236,0.0,0.0
BSFC2CC,multi_timescale_detector,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,standalone_detector,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,zupt_enabled,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,t4_position_updates,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,covariance_normalized_settling,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSFC2CC,threshold_1.0,0.0,0.0,0,1,0,4.68645727964,31.3840854232,0.0,0.0
BSF44AD,no_stationary_lock_B0,0.069386792296,0.125604361795,,,,,,,
BSF44AD,lock_no_platform_conflict,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,instantaneous_detector,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,global_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,node_specific_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,raw_range_updates,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,fleet_context_detector,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,threshold_0.8,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
BSF44AD,threshold_1.0,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,no_stationary_lock_B0,0.168378309639,0.304063876587,,,,,,,
BSF6C53,lock_no_platform_conflict,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,instantaneous_detector,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,global_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,node_specific_position_covariance,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,raw_range_updates,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,fleet_context_detector,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,no_zupt,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,fixed_settling_scatter,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,threshold_0.8,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,threshold_1.2,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,multi_timescale_detector,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,standalone_detector,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,zupt_enabled,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,t4_position_updates,0.0,0.0,0,0,0,,,0,0.0
BSF6C53,covariance_normalized_settling,0.0,0.0,0,0,0,,,0,0.0
