event_id,onset_s,end_s,onset_wall,duration_s,nodes,classification,imu_evidence,uwb_evidence,listener_evidence,confidence,competing_explanation
E001,485,487,T0+485.000s,2,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.407 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E002,489,494,T0+489.000s,5,BSF1120,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 485.0 mm; delta=22.0,-6.5,485.0,9.0,-3.5,1.5,57.0,7.5 mm",deduplicated LPD mean=8.167 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E003,492,498,T0+492.000s,6,BSFC2CC,SINGLE_NODE_REPOSITION_OR_ROTATION,gyro_p95_peak=180.776 dps; gravity platform delta=3.274 deg,"8/8 anchors shift >100 mm; delta=-349.0,-890.0,451.0,619.5,258.5,-433.5,438.0,694.5 mm",deduplicated LPD mean=0.000 Hz over named nodes; Listener is diagnostic only,HIGH,translation versus combined rotation/antenna-orientation bias
E004,494,500,T0+494.000s,6,BSFAA61,SINGLE_NODE_REPOSITION_OR_ROTATION,gyro_p95_peak=134.146 dps; gravity platform delta=1.201 deg,"4/8 anchors shift >100 mm; delta=-55.0,-194.0,-218.0,-80.5,95.0,-130.5,277.5,59.5 mm",deduplicated LPD mean=0.286 Hz over named nodes; Listener is diagnostic only,HIGH,translation versus combined rotation/antenna-orientation bias
E005,518,519,T0+518.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.722 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E006,579,584,T0+579.000s,5,BSF31CC,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 366.2 mm; delta=-8.5,-366.2,-0.5,19.8,25.2,-98.5,-30.0,15.5 mm",deduplicated LPD mean=1.500 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E007,587,592,T0+587.000s,5,BSF3C79,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 778.2 mm; delta=-1.0,-778.2,-5.2,3.5,-9.0,9.5,4.5,11.2 mm",deduplicated LPD mean=8.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E008,599,600,T0+599.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.111 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E009,614,616,T0+614.000s,2,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,6/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.741 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E010,671,673,T0+671.000s,2,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,7/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.370 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
