node_a,node_b,gyro_activity_correlation,same_table_pair
BSF3C79,BSFC2CC,0.069919700,1
BSF3C79,BSF44AD,0.805789712,1
BSF3C79,BSF6C53,0.120957240,0
BSF3C79,BSF8BC4,0.758525677,1
BSF3C79,BSF1120,0.903845651,1
BSF3C79,BSF31CC,0.968610644,1
BSF3C79,BSFAA61,0.040603424,1
BSF3C79,BSFB165,0.964423711,1
BSF3C79,BSFEC35,0.761707347,1
BSFC2CC,BSF44AD,0.077082814,1
BSFC2CC,BSF6C53,-0.013047932,0
BSFC2CC,BSF8BC4,0.081533691,1
BSFC2CC,BSF1120,0.138915292,1
BSFC2CC,BSF31CC,0.082698569,1
BSFC2CC,BSFAA61,0.360722950,1
BSFC2CC,BSFB165,0.072083212,1
BSFC2CC,BSFEC35,0.195267475,1
BSF44AD,BSF6C53,0.150407003,0
BSF44AD,BSF8BC4,0.913680314,1
BSF44AD,BSF1120,0.863355077,1
BSF44AD,BSF31CC,0.826553372,1
BSF44AD,BSFAA61,0.043214266,1
BSF44AD,BSFB165,0.747971637,1
BSF44AD,BSFEC35,0.739017522,1
BSF6C53,BSF8BC4,0.156816065,0
BSF6C53,BSF1120,0.145705288,0
BSF6C53,BSF31CC,0.087327773,0
BSF6C53,BSFAA61,0.004800003,0
BSF6C53,BSFB165,0.087711321,0
BSF6C53,BSFEC35,0.198560050,0
BSF8BC4,BSF1120,0.854562123,1
BSF8BC4,BSF31CC,0.760786600,1
BSF8BC4,BSFAA61,0.044374545,1
BSF8BC4,BSFB165,0.748231515,1
BSF8BC4,BSFEC35,0.808652908,1
BSF1120,BSF31CC,0.889169998,1
BSF1120,BSFAA61,0.121655050,1
BSF1120,BSFB165,0.914339542,1
BSF1120,BSFEC35,0.875486200,1
BSF31CC,BSFAA61,0.037622221,1
BSF31CC,BSFB165,0.915816649,1
BSF31CC,BSFEC35,0.752846337,1
BSFAA61,BSFB165,0.039795408,1
BSFAA61,BSFEC35,0.326231435,1
BSFB165,BSFEC35,0.781811949,1
