node,sensor_axis,segment_start_s,segment_end_s,frequency_hz,psd
BSF3C79,acc_x_g,1,484,0,5.45643963024e-10
BSF3C79,acc_x_g,1,484,0.1953125,2.87825249385e-09
BSF3C79,acc_x_g,1,484,0.390625,3.64877625775e-09
BSF3C79,acc_x_g,1,484,0.5859375,2.91255712074e-09
BSF3C79,acc_x_g,1,484,0.78125,3.01326375982e-09
BSF3C79,acc_x_g,1,484,0.9765625,3.32237998713e-09
BSF3C79,acc_x_g,1,484,1.171875,2.8792701284e-09
BSF3C79,acc_x_g,1,484,1.3671875,2.83777605673e-09
BSF3C79,acc_x_g,1,484,1.5625,2.79741554355e-09
BSF3C79,acc_x_g,1,484,1.7578125,2.73326863855e-09
BSF3C79,acc_x_g,1,484,1.953125,2.81613101594e-09
BSF3C79,acc_x_g,1,484,2.1484375,2.64624573635e-09
BSF3C79,acc_x_g,1,484,2.34375,3.23607319518e-09
BSF3C79,acc_x_g,1,484,2.5390625,3.37575481267e-09
BSF3C79,acc_x_g,1,484,2.734375,3.10868547773e-09
BSF3C79,acc_x_g,1,484,2.9296875,3.09861991742e-09
BSF3C79,acc_x_g,1,484,3.125,2.79689560519e-09
BSF3C79,acc_x_g,1,484,3.3203125,3.07502322508e-09
BSF3C79,acc_x_g,1,484,3.515625,2.79887991658e-09
BSF3C79,acc_x_g,1,484,3.7109375,2.91850545758e-09
BSF3C79,acc_x_g,1,484,3.90625,3.18177602365e-09
BSF3C79,acc_x_g,1,484,4.1015625,3.66250980361e-09
BSF3C79,acc_x_g,1,484,4.296875,3.47181445032e-09
BSF3C79,acc_x_g,1,484,4.4921875,3.08486608645e-09
BSF3C79,acc_x_g,1,484,4.6875,3.05987708472e-09
BSF3C79,acc_x_g,1,484,4.8828125,3.11204937672e-09
BSF3C79,acc_x_g,1,484,5.078125,2.9628728567e-09
BSF3C79,acc_x_g,1,484,5.2734375,2.99194017854e-09
BSF3C79,acc_x_g,1,484,5.46875,2.97862411598e-09
BSF3C79,acc_x_g,1,484,5.6640625,2.99041860166e-09
BSF3C79,acc_x_g,1,484,5.859375,3.2471409e-09
BSF3C79,acc_x_g,1,484,6.0546875,3.27145332893e-09
BSF3C79,acc_x_g,1,484,6.25,3.13196320486e-09
BSF3C79,acc_x_g,1,484,6.4453125,3.14654535189e-09
BSF3C79,acc_x_g,1,484,6.640625,3.21435872389e-09
BSF3C79,acc_x_g,1,484,6.8359375,3.40635599595e-09
BSF3C79,acc_x_g,1,484,7.03125,3.30085743738e-09
BSF3C79,acc_x_g,1,484,7.2265625,3.15530573894e-09
BSF3C79,acc_x_g,1,484,7.421875,2.76323801723e-09
BSF3C79,acc_x_g,1,484,7.6171875,2.84664292361e-09
BSF3C79,acc_x_g,1,484,7.8125,3.08748660333e-09
BSF3C79,acc_x_g,1,484,8.0078125,2.83091983734e-09
BSF3C79,acc_x_g,1,484,8.203125,3.34190187373e-09
BSF3C79,acc_x_g,1,484,8.3984375,3.3066715402e-09
BSF3C79,acc_x_g,1,484,8.59375,3.16300833498e-09
BSF3C79,acc_x_g,1,484,8.7890625,3.12770485767e-09
BSF3C79,acc_x_g,1,484,8.984375,3.28485940097e-09
BSF3C79,acc_x_g,1,484,9.1796875,2.95722013601e-09
BSF3C79,acc_x_g,1,484,9.375,2.8460444882e-09
BSF3C79,acc_x_g,1,484,9.5703125,3.2221110309e-09
BSF3C79,acc_x_g,1,484,9.765625,3.102303632e-09
BSF3C79,acc_x_g,1,484,9.9609375,3.21311861097e-09
BSF3C79,acc_x_g,1,484,10.15625,3.36134717538e-09
BSF3C79,acc_x_g,1,484,10.3515625,3.46289392969e-09
BSF3C79,acc_x_g,1,484,10.546875,3.22151713221e-09
BSF3C79,acc_x_g,1,484,10.7421875,3.55159679189e-09
