node,propagations,gravity_updates,cholesky_failures,min_cov_eigenvalue,max_cov_eigenvalue,max_condition,max_asymmetry,max_quaternion_norm_error,max_quaternion_sign_jump,finite
BSF3C79,278393,0,0,2.358935620881841e-07,20.44531438715072,43377470.99980431,0.0,2.220446049250313e-16,0.06228378424789294,True
BSFC2CC,278416,0,0,2.40208234454301e-07,23.81495099950364,43258321.24807122,0.0,2.220446049250313e-16,0.08764882552681151,True
BSF44AD,278413,0,0,2.2234047245828157e-07,21.027393220968705,46990126.556094944,0.0,3.3306690738754696e-16,0.03260685248096353,True
BSF6C53,278411,0,0,2.1948152856301162e-07,25.54860217127854,51640536.11995814,0.0,2.220446049250313e-16,0.036478743334263784,True
BSF8BC4,278394,0,0,2.2534755789102225e-07,22.702791692663247,51612353.39892315,0.0,2.220446049250313e-16,0.05207176099390623,True
BSF1120,278407,0,0,2.526357712350007e-07,19.967289813222667,42062662.02066997,0.0,2.220446049250313e-16,0.059265275813829794,True
BSF31CC,278406,0,0,2.207872179232552e-07,22.700542812747052,48548730.67279859,0.0,2.220446049250313e-16,0.06168039818191681,True
BSFAA61,278429,0,0,2.4555999778294164e-07,18.191479103836215,43565777.84585971,0.0,2.220446049250313e-16,0.05149085486170124,True
BSFB165,278429,0,0,2.4036648718586787e-07,22.080251535626545,43101362.64285081,0.0,2.220446049250313e-16,0.07425890643133808,True
BSFEC35,278418,0,0,2.5958445742298927e-07,22.07183656360875,43649349.99461989,0.0,2.220446049250313e-16,0.08740393808917586,True
