action,attempt,start_uncertainty_s,stop_is_manual_upper_bound,physical_offset_uncertainty_s,note
initial_still,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
initial_still,2,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
t_pose,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
arms,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
left_elbow,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
right_elbow,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
right_elbow,2,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
left_knee,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
right_knee,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
left_heel,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
right_heel,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
squats,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
trunk,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
walk,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
golf_swing,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
final_still,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
boxing,1,0.012,True,3.0,master-arrival bracket; no invented exact joint boundary
