measurement_id,provenance_class,side,measurement_mode,landmark_a,landmark_b,repeat_1_mm,repeat_2_mm,repeat_3_mm,instrument,instrument_resolution_mm,shoe_identity,shoe_condition,photo_references,source_reference,measurement_date,operator,required_for,notes
foot_length_L,RENDERING_ONLY,L,DIRECT_DISTANCE,posterior_heel_skin,longest_toe,,,,,,,barefoot_weight_bearing,,,2026-08-14,,foot_rendering,
foot_length_R,RENDERING_ONLY,R,DIRECT_DISTANCE,posterior_heel_skin,longest_toe,,,,,,,barefoot_weight_bearing,,,2026-08-14,,foot_rendering,
floor_to_malleolar_midpoint_L,RENDERING_ONLY,L,DIRECT_VERTICAL_DISTANCE,hard_level_floor,medial_lateral_malleolar_midpoint,,,,,,,,capture_shoes_worn_and_normally_fastened,,2026-08-14,,foot_rendering,
floor_to_malleolar_midpoint_R,RENDERING_ONLY,R,DIRECT_VERTICAL_DISTANCE,hard_level_floor,medial_lateral_malleolar_midpoint,,,,,,,,capture_shoes_worn_and_normally_fastened,,2026-08-14,,foot_rendering,
rear_heel_stack_height_L,RENDERING_ONLY,L,DIRECT_THICKNESS,outsole_contact_plane,internal_footbed_at_heel_load_center,,,,,,,,capture_shoe_removed,,2026-08-14,,shoe_rendering,Do not substitute nominal heel description
rear_heel_stack_height_R,RENDERING_ONLY,R,DIRECT_THICKNESS,outsole_contact_plane,internal_footbed_at_heel_load_center,,,,,,,,capture_shoe_removed,,2026-08-14,,shoe_rendering,Do not substitute nominal heel description
forefoot_stack_height_L,RENDERING_ONLY,L,DIRECT_THICKNESS,outsole_contact_plane,internal_footbed_under_first_second_metatarsal_heads,,,,,,,,capture_shoe_removed,,2026-08-14,,shoe_rendering,
forefoot_stack_height_R,RENDERING_ONLY,R,DIRECT_THICKNESS,outsole_contact_plane,internal_footbed_under_first_second_metatarsal_heads,,,,,,,,capture_shoe_removed,,2026-08-14,,shoe_rendering,
heel_minus_forefoot_elevation_L,RENDERING_ONLY,L,DERIVED_REAR_MINUS_FOREFOOT,rear_heel_stack_height_L,forefoot_stack_height_L,,,,,,,,capture_shoes,,2026-08-14,,shoe_rendering,Leave repeats blank; deterministic tool computes paired differences
heel_minus_forefoot_elevation_R,RENDERING_ONLY,R,DERIVED_REAR_MINUS_FOREFOOT,rear_heel_stack_height_R,forefoot_stack_height_R,,,,,,,,capture_shoes,,2026-08-14,,shoe_rendering,Leave repeats blank; deterministic tool computes paired differences
