pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,1649.1257799266466,1649.5322245322247,-0.40644460557814455,0.40644460557814455
A-C,2588.5259126941537,2587.426872770511,1.099039923642522,1.099039923642522
A-D,2383.0760255162695,2383.409836065574,-0.3338105493044168,0.3338105493044168
A-E,1420.4259672847952,1420.6399999999999,-0.2140327152046666,0.2140327152046666
A-F,2195.8599238513634,2195.931116389549,-0.07119253818564175,0.07119253818564175
A-G,3049.1086827652957,3049.5990099009905,-0.4903271356947698,0.4903271356947698
A-H,2758.268049641449,2758.5,-0.23195035855087554,0.23195035855087554
B-C,1999.1087250418384,1999.571065989848,-0.4623409480095688,0.4623409480095688
B-D,2928.569627539531,2929.221538461538,-0.6519109220066639,0.6519109220066639
B-E,2225.505384970284,2225.124513618677,0.3808713516068565,0.3808713516068565
B-F,1585.9029262258102,1585.609756097561,0.29317012824913036,0.29317012824913036
B-G,2540.8436055867332,2540.390243902439,0.4533616842941228,0.4533616842941228
B-H,3280.595776392137,3279.7183431952667,0.8774331968702427,0.8774331968702427
C-D,1746.1697761276491,1746.0,0.1697761276491292,0.1697761276491292
C-E,3031.112485406147,3031.151877133106,-0.03939172695936577,0.03939172695936577
C-F,2432.9788137770465,2433.590163934426,-0.6113501573795475,0.6113501573795475
C-G,1517.1619130954273,1517.5000000000002,-0.3380869045729469,0.3380869045729469
C-H,2370.3127347517707,2371.4091743119266,-1.0964395601558863,1.0964395601558863
D-E,2758.934288288405,2758.0,0.9342882884047867,0.9342882884047867
D-F,3087.8929728511753,3088.0,-0.10702714882472719,0.10702714882472719
D-G,2245.380864717782,2245.0,0.3808647177820603,0.3808647177820603
D-H,1412.2699693750421,1412.0,0.26996937504213747,0.26996937504213747
E-F,1610.7549135887025,1611.0,-0.24508641129750686,0.24508641129750686
E-G,2738.9317332815167,2739.0000000000005,-0.06826671848375554,0.06826671848375554
E-H,2351.28217312335,2352.0,-0.7178268766501787,0.7178268766501787
F-G,1899.6763457032566,1899.5901639344263,0.08618176883032902,0.08618176883032902
F-H,2701.5653810770104,2700.9999999999995,0.5653810770108976,0.5653810770108976
G-H,1833.7738337164367,1833.758194519076,0.015639197360769685,0.015639197360769685
