pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4614.162918358585,4614.19175257732,-0.028834218735028116,0.028834218735028116
A-C,6506.239388077819,6506.025312399873,0.21407567794631177,0.21407567794631177
A-D,4350.978886950779,4351.0,-0.021113049220730318,0.021113049220730318
A-E,1287.6122107283245,1287.405617977528,0.20659275079651707,0.20659275079651707
A-F,4719.68156013199,4720.257934508816,-0.5763743768256973,0.5763743768256973
A-G,6642.477005540638,6641.797029702971,0.6799758376673708,0.6799758376673708
A-H,4499.864944915057,4500.47299270073,-0.6080477856730795,0.6080477856730795
B-C,4263.618951389269,4264.0,-0.3810486107313409,0.3810486107313409
B-D,5852.453090115967,5851.471451876019,0.9816382399476424,0.9816382399476424
B-E,4825.279198989926,4825.623076923077,-0.34387793315090676,0.34387793315090676
B-F,1316.0459502380186,1315.8578680203045,0.18808221771405442,0.18808221771405442
B-G,4449.041299715863,4448.999999999999,0.04129971586371539,0.04129971586371539
B-H,6025.208357579489,6025.716672591539,-0.508315012049934,0.508315012049934
C-D,4278.757934699303,4278.404123711341,0.3538109879627882,0.3538109879627882
C-E,6651.957884900191,6651.859849980261,0.09803491992988711,0.09803491992988711
C-F,4625.189688094414,4625.0,0.18968809441412304,0.18968809441412304
C-G,1494.1149490102787,1494.0,0.11494901027867854,0.11494901027867854
C-H,4600.892078936258,4601.500000000001,-0.6079210637426513,0.6079210637426513
D-E,4503.962113037441,4504.402894135567,-0.44078109812653565,0.44078109812653565
D-F,6044.4122308347905,6044.808247422681,-0.39601658789069916,0.39601658789069916
D-G,4518.762437372006,4519.61095890411,-0.8485215321034048,0.8485215321034048
D-H,1385.3854990675745,1384.9024970273488,0.483002040225756,0.483002040225756
E-F,4573.060625411064,4573.0,0.06062541106439312,0.06062541106439312
E-G,6496.306858368876,6496.0,0.30685836887641926,0.30685836887641926
E-H,4248.165777190295,4248.0,0.16577719029464788,0.16577719029464788
F-G,4370.166086232293,4370.849557522124,-0.6834712898307771,0.6834712898307771
F-H,5911.669771516579,5910.60975609756,1.0600154190187823,1.0600154190187823
G-H,4376.125139519782,4376.0,0.12513951978235127,0.12513951978235127
