pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,2080.201989862298,2080.615,-0.4130101377018036,0.4130101377018036
A-C,4409.365638248539,4410.781,-1.4153617514612051,1.4153617514612051
A-D,4170.464252261086,4169.9515,0.5127522610855522,0.5127522610855522
A-E,1304.0945342522118,1304.5555,-0.4609657477881228,0.4609657477881228
A-F,2208.231785912243,2208.401,-0.16921408775669988,0.16921408775669988
A-G,4469.10279043497,4467.1325,1.9702904349705932,1.9702904349705932
A-H,4251.8257102368025,4252.234,-0.40828976319789945,0.40828976319789945
B-C,2398.4777103394686,2398.456,0.021710339468427264,0.021710339468427264
B-D,2544.3230307768017,2544.9445,-0.6214692231983463,0.6214692231983463
B-E,2527.9996419619783,2528.2085,-0.20885803802184455,0.20885803802184455
B-F,1273.5431273795155,1273.2895,0.25362737951536474,0.25362737951536474
B-G,2713.3368330388125,2713.905,-0.5681669611876714,0.5681669611876714
B-H,2820.386102585118,2819.8945,0.4916025851180166,0.4916025851180166
C-D,2847.0625597330413,2846.246,0.8165597330412311,0.8165597330412311
C-E,4616.093373487763,4614.664,1.4293734877628594,1.4293734877628594
C-F,2851.602733556192,2851.5105,0.09223355619224094,0.09223355619224094
C-G,1497.3465944175075,1497.362,-0.015405582492576286,0.015405582492576286
C-H,3100.3596821670058,3101.328,-0.9683178329942166,0.9683178329942166
D-E,4355.790822613557,4354.695,1.095822613557175,1.095822613557175
D-F,2791.262235740407,2792.602,-1.3397642595928119,1.3397642595928119
D-G,3057.628574455135,3057.837,-0.20842554486489462,0.20842554486489462
D-H,1364.039716659134,1363.7535,0.2862166591339701,0.2862166591339701
E-F,1913.070804405097,1914.816,-1.7451955949029525,1.7451955949029525
E-G,4238.145158919348,4238.187,-0.041841080651465745,0.041841080651465745
E-H,4016.159761060909,4016.5195,-0.35973893909067556,0.35973893909067556
F-G,2435.1645145429893,2436.724,-1.559485457010851,1.559485457010851
F-H,2421.2946691714164,2420.8395,0.4551691714164008,0.4551691714164008
G-H,2612.445805778571,2611.885,0.5608057785707388,0.5608057785707388
