pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,1844.30364477937,1844.4760252603535,-0.1723804809835201,0.1723804809835201
A-C,3583.2604409598257,3584.6333212649006,-1.3728803050748866,1.3728803050748866
A-D,3146.473261720656,3147.0258382450197,-0.5525765243637579,0.5525765243637579
A-E,1634.549756048738,1635.9718478042955,-1.4220917555576307,1.4220917555576307
A-F,2445.72633975227,2445.5893919692676,0.13694778300259713,0.13694778300259713
A-G,4119.77413919561,4118.076838925058,1.6973002705517501,1.6973002705517501
A-H,3165.7124280360476,3165.505410532825,0.20701750322268708,0.20701750322268708
B-C,1907.1882674511285,1907.0689097318539,0.11935771927460337,0.11935771927460337
B-D,2670.371116050025,2670.5741279284507,-0.20301187842551371,0.20301187842551371
B-E,2486.9179935858965,2488.9500662481173,-2.0320726622207985,2.0320726622207985
B-F,1391.0193851344427,1392.4728801467152,-1.4534950122724695,1.4534950122724695
B-G,2597.2340835738537,2599.5892093423386,-2.355125768484868,2.355125768484868
B-H,2646.676133806653,2647.8226986311824,-1.1465648245293778,1.1465648245293778
C-D,4119.940875975887,4119.0951986473165,0.8456773285706731,0.8456773285706731
C-E,3860.3976279489757,3859.1236595254854,1.2739684234902597,1.2739684234902597
C-F,2267.617738091986,2267.9351239552066,-0.3173858632203519,0.3173858632203519
C-G,1534.2330768060372,1535.0700553379138,-0.836978531876639,0.836978531876639
C-H,3938.520492889485,3939.0859094560083,-0.565416566523254,0.565416566523254
D-E,3635.5640840641095,3634.759634500473,0.8044495636363536,0.8044495636363536
D-F,2753.9616360354457,2753.8240415736236,0.13759446182211832,0.13759446182211832
D-G,4303.569988849185,4304.0255639586585,-0.4555751094731022,0.4555751094731022
D-H,1262.8066125958085,1264.0333330297035,-1.226720433895025,1.226720433895025
E-F,2105.4177744482918,2105.708532451347,-0.2907580030550889,0.2907580030550889
E-G,3781.4123669721876,3781.287473552552,0.12489341963555489,0.12489341963555489
E-H,3049.185324454779,3048.83475484539,0.35056960938936754,0.35056960938936754
F-G,1997.1885572517017,1997.4428091922869,-0.25425194058516354,0.25425194058516354
F-H,2079.9951799239775,2080.542763995057,-0.5475840710796547,0.5475840710796547
G-H,3690.041535322436,3688.8870286587075,1.1545066637286254,1.1545066637286254
