a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,2155,100,2155,1,0
A,C,A,3024,100,3024,1,0
A,D,A,2702,100,2702,1,0
A,E,A,1403,100,1403,1,0
A,F,A,2454,100,2454,1,0
A,G,A,3404,100,3404,1,0
A,H,A,2790,100,2790,1,0
A,B,B,2180,100,2180,1,0
B,C,B,1112,100,1112,1,0
B,D,B,769,100,769,1,0
B,E,B,2865,100,2865,1,0
B,F,B,1257,100,1257,1,0
B,G,B,2088,100,2088,1,0
B,H,B,1699,100,1699,1,0
A,C,C,3043,100,3043,1,0
B,C,C,1129,100,1129,1,0
C,D,C,1434,100,1434,1,0
C,E,C,3554,100,3554,1,0
C,F,C,1571,100,1571,1,0
C,G,C,1651,100,1651,1,0
C,H,C,2163,100,2163,1,0
A,D,D,2696,100,2696,1,0
B,D,D,789,100,789,1,0
C,D,D,1486,100,1486,1,0
D,E,D,3262,100,3262,1,0
D,F,D,1431,100,1431,1,0
D,G,D,2339,100,2339,1,0
D,H,D,1483,100,1483,1,0
A,E,E,1443,100,1443,1,0
B,E,E,2825,100,2825,1,0
C,E,E,3516,100,3516,1,0
D,E,E,3286,100,3286,1,0
E,F,E,2435,100,2435,1,0
E,G,E,3084,100,3084,1,0
E,H,E,2821,100,2821,1,0
A,F,F,2439,100,2439,1,0
B,F,F,1260,100,1260,1,0
C,F,F,1528,100,1528,1,0
D,F,F,1441,100,1441,1,0
E,F,F,2426,100,2426,1,0
F,G,F,1188,100,1188,1,0
F,H,F,889,100,889,1,0
A,G,G,3338,100,3338,1,0
B,G,G,2109,100,2109,1,0
C,G,G,1670,100,1670,1,0
D,G,G,2305,100,2305,1,0
E,G,G,3117,100,3117,1,0
F,G,G,1222,100,1222,1,0
G,H,G,1826,100,1826,1,0
A,H,H,2835,100,2835,1,0
B,H,H,1721,100,1721,1,0
C,H,H,2215,100,2215,1,0
D,H,H,1456,100,1456,1,0
E,H,H,2752,100,2752,1,0
F,H,H,870,100,870,1,0
G,H,H,1850,100,1850,1,0
A,B,A,2124,100,2124,1,0
A,C,A,3044,100,3044,1,0
A,D,A,2676,100,2676,1,0
A,E,A,1437,100,1437,1,0
A,F,A,2464,100,2464,1,0
A,G,A,3271,100,3271,1,0
A,H,A,2840,100,2840,1,0
A,B,B,2196,100,2196,1,0
B,C,B,1156,100,1156,1,0
B,D,B,759,100,759,1,0
B,E,B,2785,100,2785,1,0
B,F,B,1260,100,1260,1,0
B,G,B,2081,100,2081,1,0
B,H,B,1729,100,1729,1,0
A,C,C,3047,100,3047,1,0
B,C,C,1146,100,1146,1,0
C,D,C,1414,100,1414,1,0
C,E,C,3503,100,3503,1,0
C,F,C,1571,100,1571,1,0
C,G,C,1663,100,1663,1,0
C,H,C,2158,100,2158,1,0
A,D,D,2671,100,2671,1,0
B,D,D,808,100,808,1,0
C,D,D,1456,100,1456,1,0
D,E,D,3324,100,3324,1,0
D,F,D,1425,100,1425,1,0
D,G,D,2307,100,2307,1,0
D,H,D,1416,100,1416,1,0
A,E,E,1448,100,1448,1,0
B,E,E,2839,100,2839,1,0
C,E,E,3528,100,3528,1,0
D,E,E,3298,100,3298,1,0
E,F,E,2442,100,2442,1,0
E,G,E,3075,100,3075,1,0
E,H,E,2718,100,2718,1,0
A,F,F,2427,100,2427,1,0
B,F,F,1268,100,1268,1,0
C,F,F,1556,100,1556,1,0
D,F,F,1419,100,1419,1,0
E,F,F,2411,100,2411,1,0
F,G,F,1200,100,1200,1,0
F,H,F,915,100,915,1,0
A,G,G,3324,100,3324,1,0
B,G,G,2098,100,2098,1,0
C,G,G,1616,100,1616,1,0
D,G,G,2295,100,2295,1,0
E,G,G,3099,100,3099,1,0
F,G,G,1189,100,1189,1,0
G,H,G,1815,100,1815,1,0
A,H,H,2841,100,2841,1,0
B,H,H,1727,100,1727,1,0
C,H,H,2187,100,2187,1,0
D,H,H,1460,100,1460,1,0
E,H,H,2763,100,2763,1,0
F,H,H,886,100,886,1,0
G,H,H,1857,100,1857,1,0
A,B,A,2171,100,2171,1,0
A,C,A,3073,100,3073,1,0
A,D,A,2688,100,2688,1,0
A,E,A,1411,100,1411,1,0
A,F,A,2443,100,2443,1,0
A,G,A,3351,100,3351,1,0
A,H,A,2837,100,2837,1,0
A,B,B,2198,100,2198,1,0
B,C,B,1121,100,1121,1,0
B,D,B,748,100,748,1,0
B,E,B,2836,100,2836,1,0
B,F,B,1268,100,1268,1,0
B,G,B,2108,100,2108,1,0
B,H,B,1659,100,1659,1,0
A,C,C,3080,100,3080,1,0
B,C,C,1129,100,1129,1,0
C,D,C,1486,100,1486,1,0
C,E,C,3495,100,3495,1,0
C,F,C,1533,100,1533,1,0
C,G,C,1671,100,1671,1,0
C,H,C,2160,100,2160,1,0
A,D,D,2678,100,2678,1,0
B,D,D,752,100,752,1,0
C,D,D,1453,100,1453,1,0
D,E,D,3268,100,3268,1,0
D,F,D,1422,100,1422,1,0
D,G,D,2338,100,2338,1,0
D,H,D,1479,100,1479,1,0
A,E,E,1399,100,1399,1,0
B,E,E,2846,100,2846,1,0
