pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,1356.5322245322247,1356.5322245322247,0.0,0.0
A-C,3268.1268747930435,3268.0,0.12687479304349836,0.12687479304349836
A-D,3061.59900990099,3061.59900990099,0.0,0.0
A-E,1282.6023529411764,1282.6023529411764,0.0,0.0
A-F,2012.7748838689286,2012.5000000000002,0.2748838689283275,0.2748838689283275
A-G,3935.994658649112,3936.19801980198,-0.20336115286818313,0.20336115286818313
A-H,3640.9107339818124,3641.0,-0.08926601818757263,0.08926601818757263
B-C,2485.8545061657196,2486.0,-0.1454938342803871,0.1454938342803871
B-D,1708.7081724948457,1708.52700729927,0.1811651955756588,0.1811651955756588
B-E,1564.5075536752786,1564.5622568093386,-0.0547031340599915,0.0547031340599915
B-F,1323.4556683520723,1323.2405693950177,0.21509895705457893,0.21509895705457893
B-G,3353.06534846605,3353.0,0.06534846605018174,0.06534846605018174
B-H,2451.9448964604153,2452.1049723756905,-0.1600759152752289,0.1600759152752289
C-D,2537.3328372958217,2537.433628318584,-0.10079102276222329,0.10079102276222329
C-E,3178.134660341175,3177.778461538461,0.3561988027136067,0.3561988027136067
C-F,2582.4479768415313,2582.9999999999995,-0.5520231584682733,0.5520231584682733
C-G,1513.0770140943928,1513.0843564356437,-0.0073423412509328045,0.0073423412509328045
C-H,3199.9992499670193,3199.5285481239803,0.4707018430390235,0.4707018430390235
D-E,2935.0674007222306,2935.441379310345,-0.3739785881143689,0.3739785881143689
D-F,2013.4041237113404,2013.4041237113404,0.0,0.0
D-G,3450.4413793103445,3450.4413793103445,0.0,0.0
D-H,1386.701672733748,1386.5,0.20167273374795514,0.20167273374795514
E-F,1150.823626643808,1152.0,-1.1763733561920162,1.1763733561920162
E-G,3395.588911698639,3395.543396226415,0.04551547222399677,0.04551547222399677
E-H,3015.8011504131887,3014.368995633188,1.4321547800004737,1.4321547800004737
F-G,2822.3265211400485,2822.180327868853,0.14619327119544323,0.14619327119544323
F-H,1930.2872318900866,1931.0000000000005,-0.7127681099138954,0.7127681099138954
G-H,3538.0,3538.0,0.0,0.0
