pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,6982.005847062092,6981.8115,0.1943470620917651,0.1943470620917651
A-C,10718.140407978524,10719.8905,-1.7500920214752114,1.7500920214752114
A-D,8510.38536531577,8509.9225,0.46286531576879497,0.46286531576879497
A-E,1324.9045362070863,1324.9825,-0.07796379291380617,0.07796379291380617
A-F,7000.25838555045,7000.5845,-0.3261144495500048,0.3261144495500048
A-G,11040.173611028295,11038.185,1.988611028295054,1.988611028295054
A-H,8566.588161268477,8567.274,-0.6858387315223808,0.6858387315223808
B-C,9742.854776046282,9742.605,0.24977604628293193,0.24977604628293193
B-D,12234.294250645797,12234.3915,-0.09724935420308611,0.09724935420308611
B-E,7021.286939498575,7021.421,-0.13406050142566528,0.13406050142566528
B-F,1451.5634724995068,1451.512,0.05147249950687183,0.05147249950687183
B-G,10086.808687551673,10086.9725,-0.1638124483270076,0.1638124483270076
B-H,12217.569117877367,12217.59,-0.02088212263333844,0.02088212263333844
C-D,7074.702637851017,7074.442,0.26063785101723624,0.26063785101723624
C-E,10714.384144358717,10712.884,1.5001443587170797,1.5001443587170797
C-F,9948.837902437415,9948.9125,-0.07459756258504058,0.07459756258504058
C-G,1433.1295254409406,1433.2895,-0.1599745590594921,0.1599745590594921
C-H,7125.534474345912,7125.631,-0.09652565408850933,0.09652565408850933
D-E,8573.764703225086,8574.3535,-0.5887967749131349,0.5887967749131349
D-F,12303.383080252146,12303.1585,0.22458025214655208,0.22458025214655208
D-G,7262.844415439735,7263.179,-0.3345845602652844,0.3345845602652844
D-H,1348.4499751769324,1348.321,0.12897517693249938,0.12897517693249938
E-F,6766.5853194801875,6766.479,0.10631948018726689,0.10631948018726689
E-G,10865.062097035752,10866.5465,-1.4844029642481473,1.4844029642481473
E-H,8420.46882994782,8419.8865,0.5823299478197441,0.5823299478197441
F-G,10090.03273307949,10090.218,-0.18526692051091231,0.18526692051091231
F-H,12128.883186116645,12128.7385,0.1446861166459712,0.1446861166459712
G-H,7049.466635013272,7049.438,0.028635013271923526,0.028635013271923526
