a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,7617,100,7617,1,0
A,C,A,13037,100,13037,1,0
A,D,A,7847,100,7847,1,0
A,E,A,1492,100,1492,1,0
A,F,A,7745,100,7745,1,0
A,G,A,12887,100,12887,1,0
A,H,A,7786,100,7786,1,0
A,B,B,7611,100,7611,1,0
B,C,B,9124,100,9124,1,0
B,D,B,9553,100,9553,1,0
B,E,B,7546,100,7546,1,0
B,F,B,1226,100,1226,1,0
B,G,B,9090,100,9090,1,0
B,H,B,9468,100,9468,1,0
A,C,C,13004,100,13004,1,0
B,C,C,9068,100,9068,1,0
C,D,C,7681,100,7681,1,0
C,E,C,12700,100,12700,1,0
C,F,C,9260,100,9260,1,0
C,G,C,1320,100,1320,1,0
C,H,C,7709,100,7709,1,0
A,D,D,7895,100,7895,1,0
B,D,D,9553,100,9553,1,0
C,D,D,7645,100,7645,1,0
D,E,D,7619,100,7619,1,0
D,F,D,9659,100,9659,1,0
D,G,D,7669,100,7669,1,0
D,H,D,1383,100,1383,1,0
A,E,E,1502,100,1502,1,0
B,E,E,7612,100,7612,1,0
C,E,E,12708,100,12708,1,0
D,E,E,7577,100,7577,1,0
E,F,E,7431,100,7431,1,0
E,G,E,12476,100,12476,1,0
E,H,E,7369,100,7369,1,0
A,F,F,7730,100,7730,1,0
B,F,F,1240,100,1240,1,0
C,F,F,9235,100,9235,1,0
D,F,F,9646,100,9646,1,0
E,F,F,7457,100,7457,1,0
F,G,F,9045,100,9045,1,0
F,H,F,9417,100,9417,1,0
A,G,G,12873,100,12873,1,0
B,G,G,9054,100,9054,1,0
C,G,G,1334,100,1334,1,0
D,G,G,7623,100,7623,1,0
E,G,G,12435,100,12435,1,0
F,G,G,9005,100,9005,1,0
G,H,G,7490,100,7490,1,0
A,H,H,7804,100,7804,1,0
B,H,H,9419,100,9419,1,0
C,H,H,7666,100,7666,1,0
D,H,H,1333,100,1333,1,0
E,H,H,7339,100,7339,1,0
F,H,H,9395,100,9395,1,0
G,H,H,7504,100,7504,1,0
A,B,A,7616,100,7616,1,0
A,C,A,12994,100,12994,1,0
A,D,A,7880,100,7880,1,0
A,E,A,1467,100,1467,1,0
A,F,A,7780,100,7780,1,0
A,G,A,12939,100,12939,1,0
A,H,A,7804,100,7804,1,0
A,B,B,7649,100,7649,1,0
B,C,B,9079,100,9079,1,0
B,D,B,9530,100,9530,1,0
B,E,B,7614,100,7614,1,0
B,F,B,1247,100,1247,1,0
B,G,B,9099,100,9099,1,0
B,H,B,9514,100,9514,1,0
A,C,C,12965,100,12965,1,0
B,C,C,9058,100,9058,1,0
C,D,C,7615,100,7615,1,0
C,E,C,12689,100,12689,1,0
C,F,C,9254,100,9254,1,0
C,G,C,1277,100,1277,1,0
C,H,C,7702,100,7702,1,0
A,D,D,7886,100,7886,1,0
B,D,D,9550,100,9550,1,0
C,D,D,7670,100,7670,1,0
D,E,D,7650,100,7650,1,0
D,F,D,9670,100,9670,1,0
D,G,D,7682,100,7682,1,0
D,H,D,1374,100,1374,1,0
A,E,E,1527,100,1527,1,0
B,E,E,7568,100,7568,1,0
C,E,E,12724,100,12724,1,0
D,E,E,7604,100,7604,1,0
E,F,E,7466,100,7466,1,0
E,G,E,12453,100,12453,1,0
E,H,E,7300,100,7300,1,0
A,F,F,7771,100,7771,1,0
B,F,F,1266,100,1266,1,0
C,F,F,9223,100,9223,1,0
D,F,F,9682,100,9682,1,0
E,F,F,7466,100,7466,1,0
F,G,F,9023,100,9023,1,0
F,H,F,9385,100,9385,1,0
A,G,G,12952,100,12952,1,0
B,G,G,9053,100,9053,1,0
C,G,G,1372,100,1372,1,0
D,G,G,7691,100,7691,1,0
E,G,G,12460,100,12460,1,0
F,G,G,9032,100,9032,1,0
G,H,G,7467,100,7467,1,0
A,H,H,7803,100,7803,1,0
B,H,H,9428,100,9428,1,0
C,H,H,7700,100,7700,1,0
D,H,H,1322,100,1322,1,0
E,H,H,7353,100,7353,1,0
F,H,H,9377,100,9377,1,0
G,H,H,7497,100,7497,1,0
A,B,A,7629,100,7629,1,0
A,C,A,12966,100,12966,1,0
A,D,A,7867,100,7867,1,0
A,E,A,1508,100,1508,1,0
A,F,A,7719,100,7719,1,0
A,G,A,12922,100,12922,1,0
A,H,A,7800,100,7800,1,0
A,B,B,7631,100,7631,1,0
B,C,B,9109,100,9109,1,0
B,D,B,9513,100,9513,1,0
B,E,B,7589,100,7589,1,0
B,F,B,1247,100,1247,1,0
B,G,B,9075,100,9075,1,0
B,H,B,9439,100,9439,1,0
A,C,C,13017,100,13017,1,0
B,C,C,9083,100,9083,1,0
C,D,C,7669,100,7669,1,0
