pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,8273.425944498702,8274.0,-0.5740555012980622,0.5740555012980622
A-C,11157.544951484571,11158.048751486325,-0.5038000017539161,0.5038000017539161
A-D,8510.083191375159,8510.0,0.08319137515900366,0.08319137515900366
A-E,1310.64402517691,1310.8112359550562,-0.1672107781462273,0.1672107781462273
A-F,8153.267978192081,8152.5,0.7679781920805908,0.7679781920805908
A-G,11101.122979650958,11100.895027624309,0.22795202664929093,0.22795202664929093
A-H,8689.431573605012,8689.244732576984,0.18684102802762936,0.18684102802762936
B-C,9751.65261665201,9751.723756906078,-0.07114025406735891,0.07114025406735891
B-D,12725.913323732104,12726.47299270073,-0.5596689686262835,0.5596689686262835
B-E,8381.094543787707,8380.437743190661,0.6568005970457307,0.6568005970457307
B-F,1276.4069447308627,1276.5710659898475,-0.16412125898477825,0.16412125898477825
B-G,9684.467708603286,9684.390243902439,0.0774647008474858,0.0774647008474858
B-H,12844.923576350202,12844.423529411766,0.5000469384358439,0.5000469384358439
C-D,7263.090224605616,7262.376923076923,0.713301528692682,0.713301528692682
C-E,11175.008878212942,11174.999999999998,0.008878212944182451,0.008878212944182451
C-F,9985.990555460752,9985.543396226414,0.4471592343379598,0.4471592343379598
C-G,1243.4535755703357,1243.4475138121545,0.006061758181203913,0.006061758181203913
C-H,7340.3996277235265,7340.772343263672,-0.3727155401456912,0.3727155401456912
D-E,8543.014761854936,8542.519600307454,0.4951615474819846,0.4951615474819846
D-F,12770.213907222513,12770.397647058824,-0.1837398363113607,0.1837398363113607
D-G,7355.756817340549,7356.0,-0.24318265945112216,0.24318265945112216
D-H,1206.4570888423248,1206.476756756757,-0.01966791443214788,0.01966791443214788
E-F,8065.590848700972,8066.259800153727,-0.6689514527552092,0.6689514527552092
E-G,10973.434479494743,10973.417241379311,0.017238115431609913,0.017238115431609913
E-H,8538.541354457931,8539.080106100795,-0.5387516428636445,0.5387516428636445
F-G,9761.736264253652,9762.000000000002,-0.26373574634999386,0.26373574634999386
F-H,12774.411006222952,12774.441379310343,-0.03037308739112632,0.03037308739112632
G-H,7231.793792455256,7231.725416442773,0.06837601248298597,0.06837601248298597
