pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4672.244476984835,4672.176012643382,0.06846434145336389,0.06846434145336389
A-C,9282.95340058666,9284.033491716056,-1.0800911293954414,1.0800911293954414
A-D,8072.46743759612,8072.892201552303,-0.42476395618268725,0.42476395618268725
A-E,1399.6770334903158,1401.6425933780595,-1.965559887743666,1.965559887743666
A-F,4935.329488934476,4935.5750417438685,-0.2455528093923931,0.2455528093923931
A-G,9558.864746126132,9557.415169113987,1.4495770121448004,1.4495770121448004
A-H,8363.439609565592,8362.913482406728,0.5261271588642558,0.5261271588642558
B-C,5423.543821577603,5423.561225397123,-0.017403819520040997,0.017403819520040997
B-D,5265.105442560284,5264.862246948046,0.2431956122381962,0.2431956122381962
B-E,4719.441600558615,4720.214915404327,-0.7733148457118659,0.7733148457118659
B-F,1480.0076765516624,1481.1669990849612,-1.1593225332987913,1.1593225332987913
B-G,5774.546766967138,5775.252811543773,-0.7060445766346675,0.7060445766346675
B-H,5557.223008816926,5557.927591579805,-0.7045827628789993,0.7045827628789993
C-D,9158.983601204865,9158.711071212554,0.2725299923113198,0.2725299923113198
C-E,9207.246727691941,9205.467048193192,1.7796794987498288,1.7796794987498288
C-F,5698.002602108753,5699.370290455279,-1.367688346525938,1.367688346525938
C-G,1316.2322176850244,1317.8915016232636,-1.6592839382392413,1.6592839382392413
C-H,9291.792219030684,9291.535849382797,0.25636964788645855,0.25636964788645855
D-E,8119.591028912666,8118.852525629627,0.7385032830388809,0.7385032830388809
D-F,5330.844100453929,5332.053494439885,-1.2093939859560123,1.2093939859560123
D-G,9430.0004988993,9429.670386100448,0.3301127988524968,0.3301127988524968
D-H,1377.3995623828216,1379.0186737181198,-1.6191113352981574,1.6191113352981574
E-F,4552.4230366352185,4553.844556575452,-1.4215199402333383,1.4215199402333383
E-G,9289.44543176652,9290.014660414694,-0.5692286481735209,0.5692286481735209
E-H,8177.924691752008,8177.553978022664,0.370713729344061,0.370713729344061
F-G,5709.746274274869,5710.167722846438,-0.42144857156836224,0.42144857156836224
F-H,5246.621162084504,5247.02561587436,-0.40445378985532443,0.40445378985532443
G-H,9370.262804842412,9369.946014095849,0.3167907465631288,0.3167907465631288
