pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,3265.963963197308,3266.5322245322245,-0.5682613349163148,0.5682613349163148
A-C,8563.0,8563.0,0.0,0.0
A-D,8845.18144100263,8845.0,0.18144100263089058,0.18144100263089058
A-E,1545.581166164796,1545.581166164796,0.0,0.0
A-F,3698.718052307495,3698.9999999999995,-0.2819476925046729,0.2819476925046729
A-G,8679.88330758928,8679.58577912254,0.29752846673909517,0.29752846673909517
A-H,9103.474914446035,9103.0,0.4749144460347452,0.4749144460347452
B-C,6585.328457200573,6585.000000000001,0.3284572005723021,0.3284572005723021
B-D,5799.47299270073,5799.47299270073,0.0,0.0
B-E,3643.088684653541,3642.4377431906614,0.650941462879473,0.650941462879473
B-F,1534.6637308516363,1534.8578680203043,-0.19413716866802133,0.19413716866802133
B-G,6796.272476741616,6796.609756097561,-0.3372793559456113,0.3372793559456113
B-H,6139.018604670729,6139.0,0.018604670728564088,0.018604670728564088
C-D,8758.08336708574,8758.467775467776,-0.3844083820367814,0.3844083820367814
C-E,8648.395505937438,8649.0,-0.6044940625615709,0.6044940625615709
C-F,6685.470943140122,6685.0,0.47094314012156246,0.47094314012156246
C-G,1595.552486187845,1595.552486187845,0.0,0.0
C-H,9071.986091731304,9071.939449541283,0.046642190020065755,0.046642190020065755
D-E,9032.262279081295,9033.158982511924,-0.8967034306297137,0.8967034306297137
D-F,5914.71975223534,5913.889005786429,0.8307464489107588,0.8307464489107588
D-G,9002.798627864904,9002.571065989849,0.22756187505547132,0.22756187505547132
D-H,1433.3812858184615,1433.4767567567567,-0.09547093829519326,0.09547093829519326
E-F,3400.595749250139,3399.4289340101527,1.1668152399861356,1.1668152399861356
E-G,8478.065599603175,8478.0,0.06559960317463265,0.06559960317463265
E-H,9048.88903208365,9049.359999999999,-0.470967916347945,0.470967916347945
F-G,6532.206073742066,6532.283316880553,-0.07724313848666498,0.07724313848666498
F-H,5889.580551523947,5889.580551523947,0.0,0.0
G-H,9065.439216074064,9065.465558194775,-0.026342120710978634,0.026342120710978634
