pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4654.616825371526,4656.515869017632,-1.8990436461062927,1.8990436461062927
A-C,10116.010538530745,10113.5,2.5105385307451797,2.5105385307451797
A-D,8495.699467322898,8492.59900990099,3.1004574219077767,3.1004574219077767
A-E,1504.0583374169246,1504.3011764705882,-0.2428390536636016,0.2428390536636016
A-F,5129.398771215093,5131.80824742268,-2.4094762075874314,2.4094762075874314
A-G,10321.718173444058,10321.76249219238,-0.04431874832152971,0.04431874832152971
A-H,8620.056674204121,8621.0,-0.9433257958789909,0.9433257958789909
B-C,6369.486204012841,6371.536986301369,-2.050782288528353,2.050782288528353
B-D,4761.366810733004,4763.1049723756905,-1.738161642686464,1.738161642686464
B-E,5343.661056461157,5341.530275229356,2.1307812318009383,2.1307812318009383
B-F,1449.9034525891361,1448.3890410958907,1.5144114932454613,1.5144114932454613
B-G,6782.494294967317,6780.780487804878,1.7138071624385702,1.7138071624385702
B-H,4951.808731602375,4949.677002967359,2.131728635015861,2.131728635015861
C-D,8523.375808728582,8521.999999999998,1.3758087285841611,1.3758087285841611
C-E,10378.317111688888,10377.939449541283,0.37766214760449657,0.37766214760449657
C-F,6201.988831361006,6204.0,-2.011168638993695,2.011168638993695
C-G,1544.4470184705328,1545.47299270073,-1.0259742301971073,1.0259742301971073
C-H,8629.75028148659,8629.75,0.00028148658930149395,0.00028148658930149395
D-E,9315.879117384593,9316.0,-0.1208826154070266,0.1208826154070266
D-F,5000.0010523546425,5002.397647058824,-2.3965947041815525,2.3965947041815525
D-G,9076.452836028855,9075.857868020305,0.5949680085504951,0.5949680085504951
D-H,1297.6425135088202,1297.5,0.14251350882022962,0.14251350882022962
E-F,5441.090484190515,5440.0,1.0904841905148714,1.0904841905148714
E-G,10367.105376798745,10369.000000000002,-1.8946232012567634,1.8946232012567634
E-H,9254.830965730027,9256.64,-1.8090342699724715,1.8090342699724715
F-G,6295.786425423917,6294.590163934427,1.1962614894891885,1.1962614894891885
F-H,4814.980366632624,4813.367288378767,1.6130782538575659,1.6130782538575659
G-H,8967.70793387688,8969.396674584325,-1.6887407074445946,1.6887407074445946
