pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,3889.5217327446485,3888.968261964736,0.553470779912459,0.553470779912459
A-C,4978.940822651192,4979.0,-0.059177348807679664,0.059177348807679664
A-D,3642.9385743936864,3643.5901639344265,-0.6515895407401331,0.6515895407401331
A-E,1134.580009234226,1134.6658959537572,-0.0858867195311177,0.0858867195311177
A-F,3765.846467116128,3766.226196473552,-0.379729357423912,0.379729357423912
A-G,5032.43103294115,5032.604109589041,-0.17307664789132104,0.17307664789132104
A-H,3875.25951764773,3874.414355628059,0.8451620196706244,0.8451620196706244
B-C,3630.355451839459,3630.5369863013702,-0.18153446191126932,0.18153446191126932
B-D,5452.811269302727,5453.4149108589945,-0.6036415562675757,0.6036415562675757
B-E,4250.696983967842,4251.000000000001,-0.30301603215866635,0.30301603215866635
B-F,1050.4350853640585,1050.53698630137,-0.10190093731148409,0.10190093731148409
B-G,3600.434838518711,3600.0,0.4348385187108761,0.4348385187108761
B-H,5720.262581801339,5720.000000000001,0.262581801338456,0.262581801338456
C-D,3608.972425070888,3608.3689956331878,0.6034294377004699,0.6034294377004699
C-E,5263.682622409882,5263.999999999999,-0.3173775901168483,0.3173775901168483
C-F,3733.9486208043454,3733.5,0.44862080434540985,0.44862080434540985
C-G,1115.0366353788295,1115.0,0.03663537882948731,0.03663537882948731
C-H,3912.1763596529536,3912.5285481239803,-0.35218847102669315,0.35218847102669315
D-E,3822.8494131822545,3822.0798722044724,0.7695409777820714,0.7695409777820714
D-F,5343.674858329552,5343.192941176471,0.481917153080758,0.481917153080758
D-G,3865.0660277563748,3865.5710659898477,-0.5050382334729875,0.5050382334729875
D-H,1041.3484014957494,1041.5232432432433,-0.17484174749392878,0.17484174749392878
E-F,3839.8559500697615,3839.1529411764704,0.7030088932910985,0.7030088932910985
E-G,5082.828720146928,5083.091073038774,-0.2623528918456941,0.2623528918456941
E-H,3742.997812900078,3743.3427991886415,-0.3449862885636321,0.3449862885636321
F-G,3399.553507769722,3399.6282527881044,-0.07474501838260039,0.07474501838260039
F-H,5419.435882518125,5420.4299249901305,-0.9940424720052761,0.9940424720052761
G-H,3877.3697861528794,3876.530275229357,0.8395109235225391,0.8395109235225391
