pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,2011.9359582831971,2012.5077721810055,-0.5718138978083971,0.5718138978083971
A-C,3757.1683582680857,3757.519813967903,-0.35145569981705194,0.35145569981705194
A-D,3251.005251961616,3251.5748691278864,-0.5696171662702909,0.5696171662702909
A-E,1374.9406012233355,1377.1534062931246,-2.212805069789056,2.212805069789056
A-F,2594.206927260317,2594.251627838205,-0.04470057788785198,0.04470057788785198
A-G,3683.975126398476,3682.509032324086,1.46609407438973,1.46609407438973
A-H,3353.1304417906285,3353.9151940847623,-0.7847522941337957,0.7847522941337957
B-C,2749.665526077907,2749.4668816149892,0.19864446291785498,0.19864446291785498
B-D,3361.127203059858,3360.717255804258,0.4099472555999455,0.4099472555999455
B-E,2487.890454859897,2487.985689751932,-0.09523489203502322,0.09523489203502322
B-F,1382.2257907013243,1383.6336758261507,-1.4078851248264073,1.4078851248264073
B-G,2681.5145896347603,2682.498676005049,-0.9840863702888782,0.9840863702888782
B-H,3610.7285283589154,3610.3718888211597,0.3566395377556546,0.3566395377556546
C-D,1869.6312529124998,1868.9333252148851,0.6979276976146593,0.6979276976146593
C-E,4274.4764967357905,4273.865583707821,0.6109130279692181,0.6109130279692181
C-F,3000.8425738850274,3000.8358201786195,0.006753706407835125,0.006753706407835125
C-G,1340.880328762687,1341.945365977037,-1.0650372143500135,1.0650372143500135
C-H,2580.8690603890814,2581.8968203225572,-1.0277599334758634,1.0277599334758634
D-E,3838.148809913951,3837.0226946781463,1.1261152358047184,1.1261152358047184
D-F,3645.464808234147,3646.0687149834675,-0.6039067493206858,0.6039067493206858
D-G,2324.7862179096737,2325.7151683237275,-0.9289504140538156,0.9289504140538156
D-H,1510.7152937106014,1512.0254902120976,-1.3101965014961934,1.3101965014961934
E-F,2302.1871352168337,2302.277318614597,-0.09018339776321227,0.09018339776321227
E-G,3747.2037019771587,3747.580268867725,-0.3765668905662096,0.3765668905662096
E-H,3364.6117347574286,3365.2090292357498,-0.597294478321146,0.597294478321146
F-G,2276.046200325948,2276.4538245854233,-0.407624259475142,0.407624259475142
F-H,3334.248884372147,3333.2712944815353,0.9775898906118528,0.9775898906118528
G-H,2147.5715710520635,2147.3716483477087,0.19992270435477622,0.19992270435477622
