a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,2082,100,2082,1,0
A,C,A,4989,100,4989,1,0
A,D,A,5106,100,5106,1,0
A,E,A,1338,100,1338,1,0
A,F,A,2408,100,2408,1,0
A,G,A,5088,100,5088,1,0
A,H,A,5127,100,5127,1,0
A,B,B,2075,100,2075,1,0
B,C,B,3542,100,3542,1,0
B,D,B,4934,100,4934,1,0
B,E,B,2536,100,2536,1,0
B,F,B,1250,100,1250,1,0
B,G,B,3768,100,3768,1,0
B,H,B,5060,100,5060,1,0
A,C,C,4977,100,4977,1,0
B,C,C,3550,100,3550,1,0
C,D,C,3175,100,3175,1,0
C,E,C,5202,100,5202,1,0
C,F,C,3775,100,3775,1,0
C,G,C,1460,100,1460,1,0
C,H,C,3651,100,3651,1,0
A,D,D,5080,100,5080,1,0
B,D,D,4886,100,4886,1,0
C,D,D,3190,100,3190,1,0
D,E,D,5281,100,5281,1,0
D,F,D,5090,100,5090,1,0
D,G,D,3373,100,3373,1,0
D,H,D,1262,100,1262,1,0
A,E,E,1408,100,1408,1,0
B,E,E,2540,100,2540,1,0
C,E,E,5227,100,5227,1,0
D,E,E,5336,100,5336,1,0
E,F,E,2135,100,2135,1,0
E,G,E,4931,100,4931,1,0
E,H,E,4969,100,4969,1,0
A,F,F,2374,100,2374,1,0
B,F,F,1289,100,1289,1,0
C,F,F,3774,100,3774,1,0
D,F,F,5099,100,5099,1,0
E,F,F,2139,100,2139,1,0
F,G,F,3501,100,3501,1,0
F,H,F,4866,100,4866,1,0
A,G,G,5038,100,5038,1,0
B,G,G,3748,100,3748,1,0
C,G,G,1384,100,1384,1,0
D,G,G,3360,100,3360,1,0
E,G,G,4934,100,4934,1,0
F,G,G,3518,100,3518,1,0
G,H,G,3191,100,3191,1,0
A,H,H,5105,100,5105,1,0
B,H,H,5068,100,5068,1,0
C,H,H,3599,100,3599,1,0
D,H,H,1342,100,1342,1,0
E,H,H,4981,100,4981,1,0
F,H,H,4941,100,4941,1,0
G,H,H,3161,100,3161,1,0
A,B,A,2084,100,2084,1,0
A,C,A,4979,100,4979,1,0
A,D,A,5106,100,5106,1,0
A,E,A,1378,100,1378,1,0
A,F,A,2381,100,2381,1,0
A,G,A,5011,100,5011,1,0
A,H,A,5123,100,5123,1,0
A,B,B,2055,100,2055,1,0
B,C,B,3578,100,3578,1,0
B,D,B,4888,100,4888,1,0
B,E,B,2507,100,2507,1,0
B,F,B,1283,100,1283,1,0
B,G,B,3800,100,3800,1,0
B,H,B,5077,100,5077,1,0
A,C,C,4976,100,4976,1,0
B,C,C,3564,100,3564,1,0
C,D,C,3187,100,3187,1,0
C,E,C,5205,100,5205,1,0
C,F,C,3779,100,3779,1,0
C,G,C,1449,100,1449,1,0
C,H,C,3567,100,3567,1,0
A,D,D,5083,100,5083,1,0
B,D,D,4909,100,4909,1,0
C,D,D,3217,100,3217,1,0
D,E,D,5261,100,5261,1,0
D,F,D,5087,100,5087,1,0
D,G,D,3342,100,3342,1,0
D,H,D,1288,100,1288,1,0
A,E,E,1342,100,1342,1,0
B,E,E,2479,100,2479,1,0
C,E,E,5201,100,5201,1,0
D,E,E,5231,100,5231,1,0
E,F,E,2123,100,2123,1,0
E,G,E,4941,100,4941,1,0
E,H,E,4996,100,4996,1,0
A,F,F,2399,100,2399,1,0
B,F,F,1273,100,1273,1,0
C,F,F,3752,100,3752,1,0
D,F,F,5062,100,5062,1,0
E,F,F,2125,100,2125,1,0
F,G,F,3494,100,3494,1,0
F,H,F,4947,100,4947,1,0
A,G,G,5051,100,5051,1,0
B,G,G,3767,100,3767,1,0
C,G,G,1458,100,1458,1,0
D,G,G,3362,100,3362,1,0
E,G,G,4934,100,4934,1,0
F,G,G,3489,100,3489,1,0
G,H,G,3175,100,3175,1,0
A,H,H,5155,100,5155,1,0
B,H,H,4984,100,4984,1,0
C,H,H,3613,100,3613,1,0
D,H,H,1303,100,1303,1,0
E,H,H,4971,100,4971,1,0
F,H,H,4916,100,4916,1,0
G,H,H,3174,100,3174,1,0
A,B,A,2051,100,2051,1,0
A,C,A,4970,100,4970,1,0
A,D,A,5100,100,5100,1,0
A,E,A,1310,100,1310,1,0
A,F,A,2368,100,2368,1,0
A,G,A,5005,100,5005,1,0
A,H,A,5184,100,5184,1,0
A,B,B,2054,100,2054,1,0
B,C,B,3526,100,3526,1,0
B,D,B,4895,100,4895,1,0
B,E,B,2547,100,2547,1,0
B,F,B,1280,100,1280,1,0
B,G,B,3779,100,3779,1,0
B,H,B,5061,100,5061,1,0
A,C,C,4963,100,4963,1,0
B,C,C,3488,100,3488,1,0
C,D,C,3178,100,3178,1,0
C,E,C,5208,100,5208,1,0
C,F,C,3770,100,3770,1,0
C,G,C,1431,100,1431,1,0
C,H,C,3618,100,3618,1,0
A,D,D,5092,100,5092,1,0
B,D,D,4932,100,4932,1,0
C,D,D,3190,100,3190,1,0
D,E,D,5269,100,5269,1,0
D,F,D,5083,100,5083,1,0
D,G,D,3328,100,3328,1,0
D,H,D,1291,100,1291,1,0
A,E,E,1372,100,1372,1,0
B,E,E,2533,100,2533,1,0
C,E,E,5174,100,5174,1,0
D,E,E,5331,100,5331,1,0
E,F,E,2185,100,2185,1,0
E,G,E,4902,100,4902,1,0
E,H,E,4952,100,4952,1,0
A,F,F,2399,100,2399,1,0
B,F,F,1256,100,1256,1,0
C,F,F,3757,100,3757,1,0
D,F,F,5102,100,5102,1,0
E,F,F,2134,100,2134,1,0
F,G,F,3512,100,3512,1,0
F,H,F,4917,100,4917,1,0
A,G,G,5070,100,5070,1,0
B,G,G,3755,100,3755,1,0
C,G,G,1465,100,1465,1,0
D,G,G,3324,100,3324,1,0
E,G,G,4902,100,4902,1,0
F,G,G,3517,100,3517,1,0
G,H,G,3225,100,3225,1,0
A,H,H,5118,100,5118,1,0
B,H,H,4997,100,4997,1,0
C,H,H,3623,100,3623,1,0
D,H,H,1275,100,1275,1,0
E,H,H,5003,100,5003,1,0
F,H,H,4909,100,4909,1,0
G,H,H,3211,100,3211,1,0
A,B,A,2047,100,2047,1,0
A,C,A,4940,100,4940,1,0
A,D,A,5105,100,5105,1,0
A,E,A,1347,100,1347,1,0
A,F,A,2410,100,2410,1,0
A,G,A,5066,100,5066,1,0
A,H,A,5090,100,5090,1,0
A,B,B,2032,100,2032,1,0
B,C,B,3510,100,3510,1,0
B,D,B,4907,100,4907,1,0
B,E,B,2563,100,2563,1,0
B,F,B,1305,100,1305,1,0
B,G,B,3764,100,3764,1,0
B,H,B,5097,100,5097,1,0
A,C,C,4966,100,4966,1,0
B,C,C,3567,100,3567,1,0
C,D,C,3191,100,3191,1,0
C,E,C,5248,100,5248,1,0
C,F,C,3774,100,3774,1,0
C,G,C,1452,100,1452,1,0
C,H,C,3636,100,3636,1,0
A,D,D,5084,100,5084,1,0
B,D,D,4910,100,4910,1,0
C,D,D,3180,100,3180,1,0
D,E,D,5306,100,5306,1,0
D,F,D,5058,100,5058,1,0
D,G,D,3359,100,3359,1,0
D,H,D,1302,100,1302,1,0
A,E,E,1376,100,1376,1,0
B,E,E,2524,100,2524,1,0
C,E,E,5246,100,5246,1,0
D,E,E,5273,100,5273,1,0
E,F,E,2117,100,2117,1,0
E,G,E,4907,100,4907,1,0
E,H,E,4977,100,4977,1,0
A,F,F,2392,100,2392,1,0
B,F,F,1283,100,1283,1,0
C,F,F,3767,100,3767,1,0
D,F,F,5126,100,5126,1,0
E,F,F,2146,100,2146,1,0
F,G,F,3520,100,3520,1,0
F,H,F,4970,100,4970,1,0
A,G,G,5092,100,5092,1,0
B,G,G,3746,100,3746,1,0
C,G,G,1412,100,1412,1,0
D,G,G,3333,100,3333,1,0
E,G,G,4928,100,4928,1,0
F,G,G,3502,100,3502,1,0
G,H,G,3163,100,3163,1,0
A,H,H,5150,100,5150,1,0
B,H,H,5124,100,5124,1,0
C,H,H,3600,100,3600,1,0
D,H,H,1244,100,1244,1,0
E,H,H,4979,100,4979,1,0
F,H,H,4972,100,4972,1,0
G,H,H,3197,100,3197,1,0
A,B,A,2070,100,2070,1,0
A,C,A,4999,100,4999,1,0
A,D,A,5098,100,5098,1,0
A,E,A,1340,100,1340,1,0
A,F,A,2386,100,2386,1,0
A,G,A,5114,100,5114,1,0
A,H,A,5121,100,5121,1,0
A,B,B,2069,100,2069,1,0
B,C,B,3517,100,3517,1,0
B,D,B,4885,100,4885,1,0
B,E,B,2532,100,2532,1,0
B,F,B,1288,100,1288,1,0
B,G,B,3774,100,3774,1,0
B,H,B,5067,100,5067,1,0
A,C,C,5015,100,5015,1,0
B,C,C,3572,100,3572,1,0
C,D,C,3179,100,3179,1,0
C,E,C,5236,100,5236,1,0
C,F,C,3755,100,3755,1,0
C,G,C,1413,100,1413,1,0
C,H,C,3624,100,3624,1,0
A,D,D,5105,100,5105,1,0
B,D,D,4915,100,4915,1,0
C,D,D,3184,100,3184,1,0
D,E,D,5322,100,5322,1,0
D,F,D,5074,100,5074,1,0
D,G,D,3347,100,3347,1,0
D,H,D,1272,100,1272,1,0
A,E,E,1374,100,1374,1,0
B,E,E,2521,100,2521,1,0
C,E,E,5215,100,5215,1,0
D,E,E,5320,100,5320,1,0
E,F,E,2110,100,2110,1,0
E,G,E,4924,100,4924,1,0
E,H,E,4969,100,4969,1,0
A,F,F,2398,100,2398,1,0
B,F,F,1253,100,1253,1,0
C,F,F,3751,100,3751,1,0
D,F,F,5075,100,5075,1,0
E,F,F,2101,100,2101,1,0
F,G,F,3501,100,3501,1,0
F,H,F,4927,100,4927,1,0
A,G,G,5080,100,5080,1,0
B,G,G,3761,100,3761,1,0
C,G,G,1467,100,1467,1,0
D,G,G,3356,100,3356,1,0
E,G,G,4941,100,4941,1,0
F,G,G,3495,100,3495,1,0
G,H,G,3190,100,3190,1,0
A,H,H,5121,100,5121,1,0
B,H,H,5043,100,5043,1,0
C,H,H,3602,100,3602,1,0
D,H,H,1298,100,1298,1,0
E,H,H,4994,100,4994,1,0
F,H,H,4931,100,4931,1,0
G,H,H,3219,100,3219,1,0
A,B,A,2059,100,2059,1,0
A,C,A,5095,100,5095,1,0
A,D,A,5092,100,5092,1,0
A,E,A,1328,100,1328,1,0
A,F,A,2365,100,2365,1,0
A,G,A,5025,100,5025,1,0
A,H,A,5111,100,5111,1,0
A,B,B,2050,100,2050,1,0
B,C,B,3545,100,3545,1,0
B,D,B,4879,100,4879,1,0
B,E,B,2545,100,2545,1,0
B,F,B,1281,100,1281,1,0
B,G,B,3786,100,3786,1,0
B,H,B,5000,100,5000,1,0
A,C,C,5016,100,5016,1,0
B,C,C,3519,100,3519,1,0
C,D,C,3216,100,3216,1,0
C,E,C,5256,100,5256,1,0
C,F,C,3783,100,3783,1,0
C,G,C,1387,100,1387,1,0
C,H,C,3597,100,3597,1,0
A,D,D,5085,100,5085,1,0
B,D,D,4913,100,4913,1,0
C,D,D,3208,100,3208,1,0
D,E,D,5311,100,5311,1,0
D,F,D,5106,100,5106,1,0
D,G,D,3365,100,3365,1,0
D,H,D,1293,100,1293,1,0
