pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,1496.7924499042342,1496.7420654911841,0.050384413050096555,0.050384413050096555
A-C,2748.0,2748.0,0.0,0.0
A-D,2686.108601589386,2686.0,0.10860158938612585,0.10860158938612585
A-E,1575.5285126428262,1575.36,0.16851264282627199,0.16851264282627199
A-F,2356.882747986653,2357.5,-0.6172520133468424,0.6172520133468424
A-G,2918.0213064331483,2917.7970297029706,0.22427673017773486,0.22427673017773486
A-H,2922.7436618402135,2922.5,0.2436618402134627,0.2436618402134627
B-C,1934.834092754844,1935.0,-0.16590724515594957,0.16590724515594957
B-D,1338.9824844433206,1338.9999999999998,-0.017515556679200017,0.017515556679200017
B-E,2382.2685082903276,2382.4697247706417,-0.20121648031408768,0.20121648031408768
B-F,1547.1437163822234,1546.9260273972602,0.2176889849631607,0.2176889849631607
B-G,2255.5154924062344,2255.390243902439,0.12524850379531927,0.12524850379531927
B-H,1829.6626055146087,1829.8544378698227,-0.1918323552140464,0.1918323552140464
C-D,2728.1098057244253,2728.0,0.10980572442531411,0.10980572442531411
C-E,3301.7283018867925,3301.7283018867925,0.0,0.0
C-F,2271.1252994798906,2271.0,0.1252994798906002,0.1252994798906002
C-G,1305.7254990030267,1305.7429591431971,-0.017460140170442173,0.017460140170442173
C-H,2889.837874291101,2890.0,-0.1621257088991115,0.1621257088991115
D-E,3360.255341597045,3360.519600307455,-0.26425871041010396,0.26425871041010396
D-F,1899.2516141941069,1898.9999999999998,0.2516141941071055,0.2516141941071055
D-G,2963.266458642276,2963.5369863013702,-0.2705276590941139,0.2705276590941139
D-H,1358.0464864864866,1358.0464864864866,0.0,0.0
E-F,2123.079872204473,2123.079872204473,0.0,0.0
E-G,2794.0,2794.0,0.0,0.0
E-H,2896.9016838815187,2896.6674364896076,0.23424739191113986,0.23424739191113986
F-G,1642.4798252130133,1643.0,-0.5201747869866722,0.5201747869866722
F-H,1047.6335758708788,1048.390243902439,-0.7566680315601388,0.7566680315601388
G-H,2492.771643420834,2492.0644490644495,0.7071943563846617,0.7071943563846617
