pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,1969.4739826008367,1969.9999999999998,-0.5260173991630381,0.5260173991630381
A-C,3742.707597066677,3742.4767567567565,0.2308403099204952,0.2308403099204952
A-D,3394.0266944202717,3392.590163934426,1.4365304858456511,1.4365304858456511
A-E,1427.4713657644836,1428.0,-0.5286342355163924,0.5286342355163924
A-F,2372.6323123973784,2373.4655581947745,-0.8332457973961027,0.8332457973961027
A-G,4025.381634826857,4025.4743758212876,-0.09274099443064188,0.09274099443064188
A-H,3692.6528368564836,3693.0000000000005,-0.3471631435168092,0.3471631435168092
B-C,2008.8934780940394,2009.5,-0.6065219059605624,0.6065219059605624
B-D,1475.070076407572,1475.5136960600373,-0.4436196524652587,0.4436196524652587
B-E,2395.503024510824,2395.064449064449,0.43857544637512547,0.43857544637512547
B-F,1328.3722365518736,1327.4630136986302,0.9092228532433637,0.9092228532433637
B-G,2357.8461978859377,2357.0,0.8461978859377268,0.8461978859377268
B-H,2036.690048252685,2036.5498753117208,0.14017294096424848,0.14017294096424848
C-D,1785.7755053964706,1785.901876675603,-0.12637127913239965,0.12637127913239965
C-E,4000.3464574250766,3999.7655172413793,0.5809401836972938,0.5809401836972938
C-F,2511.1728542541637,2511.5,-0.32714574583633294,0.32714574583633294
C-G,1125.1096285972126,1124.657458563536,0.45217003367656616,0.45217003367656616
C-H,2258.2317646558836,2257.75,0.4817646558835804,0.4817646558835804
D-E,3698.364600623389,3698.9596000816155,-0.594999458226539,0.594999458226539
D-F,2067.321164000931,2068.0,-0.6788359990691788,0.6788359990691788
D-G,2133.1222568233666,2132.847058823529,0.2751979998374736,0.2751979998374736
D-H,1559.3021906847553,1560.0,-0.69780931524474,0.69780931524474
E-F,1925.6089771276186,1925.4235294117645,0.18544771585402486,0.18544771585402486
E-G,3873.8611746168176,3874.5314437555357,-0.6702691387181403,0.6702691387181403
E-H,3370.282459718829,3370.177516778523,0.10494294030604578,0.10494294030604578
F-G,2208.0742011072857,2208.0,0.07420110728571672,0.07420110728571672
F-H,1463.3130610206977,1463.2195121951218,0.09354882557590827,0.09354882557590827
G-H,1729.5279562495257,1729.9311163895488,-0.4031601400231466,0.4031601400231466
