pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,2660.3150831751677,2660.616,-0.3009168248322567,0.3009168248322567
A-C,4123.267272649512,4124.089,-0.8217273504878904,0.8217273504878904
A-D,4051.55155897788,4051.3045,0.24705897787998765,0.24705897787998765
A-E,1364.9902958916912,1365.2575,-0.2672041083087606,0.2672041083087606
A-F,3008.8556236206036,3009.324,-0.46837637939643173,0.46837637939643173
A-G,4448.276449316671,4446.7685,1.5079493166704196,1.5079493166704196
A-H,4470.570433234956,4470.5905,-0.020066765044248314,0.020066765044248314
B-C,1637.7200159170889,1638.036,-0.31598408291119995,0.31598408291119995
B-D,3007.5478981588076,3007.9195,-0.37160184119238693,0.37160184119238693
B-E,2814.033739945482,2814.573,-0.5392600545178539,0.5392600545178539
B-F,1619.134633895653,1618.315,0.8196338956529416,0.8196338956529416
B-G,2274.463507699901,2275.1645,-0.7009923000987328,0.7009923000987328
B-H,3510.497428011722,3510.7055,-0.20807198827787943,0.20807198827787943
C-D,4129.449697091216,4129.434,0.015697091215770342,0.015697091215770342
C-E,4176.649469733513,4175.2095,1.439969733512953,1.439969733512953
C-F,2469.2237586743636,2469.815,-0.5912413256364744,0.5912413256364744
C-G,1549.5376855812922,1549.7195,-0.18181441870774506,0.18181441870774506
C-H,4534.070355318014,4533.754,0.31635531801384786,0.31635531801384786
D-E,4134.561121765213,4134.648,-0.08687823478703649,0.08687823478703649
D-F,3235.8227703185826,3235.887,-0.06422968141760066,0.06422968141760066
D-G,4432.319668744377,4431.997,0.3226687443766423,0.3226687443766423
D-H,1526.3924806341035,1526.443,-0.050519365896434465,0.050519365896434465
E-F,2366.9835781964193,2367.705,-0.721421803580597,0.721421803580597
E-G,4003.1543888087303,4003.557,-0.4026111912694432,0.4026111912694432
E-H,4066.5194887414755,4066.087,0.4324887414754812,0.4324887414754812
F-G,1909.865795154128,1910.8035,-0.9377048458720765,0.9377048458720765
F-H,2972.805814749418,2973.557,-0.7511852505817842,0.7511852505817842
G-H,4295.513043246796,4295.159,0.35404324679620913,0.35404324679620913
