pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,6052.376695433438,6052.829,-0.45230456656190654,0.45230456656190654
A-C,11692.499455545301,11692.994,-0.4945444546992803,0.4945444546992803
A-D,9481.056636794301,9481.1715,-0.11486320569929376,0.11486320569929376
A-E,1391.0200762963527,1391.0785,-0.05842370364734961,0.05842370364734961
A-F,5957.740020067865,5957.774,-0.03397993213548034,0.03397993213548034
A-G,12278.932835579428,12277.5245,1.4083355794282397,1.4083355794282397
A-H,9603.34192805994,9603.876,-0.5340719400610396,0.5340719400610396
B-C,8515.390773242525,8515.866,-0.4752267574749567,0.4752267574749567
B-D,9695.173373389709,9694.7485,0.42487338970931887,0.42487338970931887
B-E,6276.481746463108,6276.4135,0.06824646310815297,0.06824646310815297
B-F,1521.298018171696,1521.333,-0.034981828304125884,0.034981828304125884
B-G,8926.303519471323,8926.4465,-0.14298052867707156,0.14298052867707156
B-H,9769.487479298481,9769.2735,0.2139792984817177,0.2139792984817177
C-D,5713.7255695605645,5713.85,-0.12443043943585508,0.12443043943585508
C-E,11895.171224024178,11894.512,0.6592240241770924,0.6592240241770924
C-F,8560.973932037714,8560.6435,0.33043203771376284,0.33043203771376284
C-G,1502.9454405205995,1503.0835,-0.1380594794004537,0.1380594794004537
C-H,5864.377430481397,5864.3925,-0.015069518603013421,0.015069518603013421
D-E,9681.43505389472,9681.642,-0.20694610527971236,0.20694610527971236
D-F,9532.71851221316,9532.785,-0.06648778684029821,0.06648778684029821
D-G,6381.809988623064,6381.91,-0.10001137693598139,0.10001137693598139
D-H,1502.4798968460607,1502.4225,0.05739684606078299,0.05739684606078299
E-F,5843.084221945419,5843.087,-0.0027780545815403457,0.0027780545815403457
E-G,12321.753508903194,12322.5035,-0.7499910968072072,0.7499910968072072
E-H,9586.922194134084,9586.6565,0.265694134084697,0.265694134084697
F-G,8753.576593856693,8753.9255,-0.3489061433065217,0.3489061433065217
F-H,9376.605943167113,9376.529,0.0769431671124039,0.0769431671124039
G-H,6184.434574883738,6184.5905,-0.15592511626255146,0.15592511626255146
