pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,5509.271265034555,5509.467775467776,-0.19651043322119222,0.19651043322119222
A-C,9258.226333779872,9257.5,0.7263337798722205,0.7263337798722205
A-D,9467.0,9467.0,0.0,0.0
A-E,1513.6828240252898,1513.6828240252898,0.0,0.0
A-F,5597.239535947341,5597.0,0.23953594734120998,0.23953594734120998
A-G,9458.117841820818,9459.000000000002,-0.8821581791835342,0.8821581791835342
A-H,9618.65818633693,9618.5,0.15818633693015727,0.15818633693015727
B-C,9448.460843578107,9448.536986301371,-0.07614272326463833,0.07614272326463833
B-D,12946.607721729655,12945.999999999998,0.607721729656987,0.607721729656987
B-E,5695.341106602767,5695.180327868852,0.16077873391441244,0.16077873391441244
B-F,1424.9067266310892,1424.9260273972602,-0.01930076617099985,0.01930076617099985
B-G,9828.7009316331,9828.640000000001,0.06093163309924421,0.06093163309924421
B-H,13100.507357876331,13101.15294117647,-0.6455833001382416,0.6455833001382416
C-D,6773.42369825453,6773.867256637168,-0.4435583826380025,0.4435583826380025
C-E,9746.111400800077,9747.0,-0.8885991999231919,0.8885991999231919
C-F,9603.511690010104,9603.5,0.01169001010384818,0.01169001010384818
C-G,1380.5524861878453,1380.5524861878453,0.0,0.0
C-H,7015.130368713259,7014.742538975501,0.38782973775778373,0.38782973775778373
D-E,9928.037553412036,9928.0,0.037553412035777,0.037553412035777
D-F,13000.922404510235,13001.795294117646,-0.8728896074117074,0.8728896074117074
D-G,6590.937093023632,6590.536986301371,0.4001067222607162,0.4001067222607162
D-H,1342.951248513674,1342.951248513674,0.0,0.0
E-F,5403.766531007585,5404.0,-0.2334689924146005,0.2334689924146005
E-G,9747.186555113427,9746.456603773584,0.7299513398429553,0.7299513398429553
E-H,9876.890168040643,9877.0,-0.10983195935659751,0.10983195935659751
F-G,9785.409836065575,9785.409836065575,0.0,0.0
F-H,13008.11205455033,13007.414910858994,0.69714369133726,0.69714369133726
G-H,6568.692771055062,6569.0,-0.3072289449382879,0.3072289449382879
