a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,3966,100,3966,1,0
A,C,A,12605,100,12605,1,0
A,D,A,9413,100,9413,1,0
A,E,A,1369,100,1369,1,0
A,F,A,4233,100,4233,1,0
A,G,A,12822,100,12822,1,0
A,H,A,9410,100,9410,1,0
A,B,B,3950,100,3950,1,0
B,C,B,10416,100,10416,1,0
B,D,B,9120,100,9120,1,0
B,E,B,4259,100,4259,1,0
B,F,B,1658,100,1658,1,0
B,G,B,10615,100,10615,1,0
B,H,B,9095,100,9095,1,0
A,C,C,12631,100,12631,1,0
B,C,C,10387,100,10387,1,0
C,D,C,5837,100,5837,1,0
C,E,C,12745,100,12745,1,0
C,F,C,10837,100,10837,1,0
C,G,C,1465,100,1465,1,0
C,H,C,5909,100,5909,1,0
A,D,D,9432,100,9432,1,0
B,D,D,9113,100,9113,1,0
C,D,D,5850,100,5850,1,0
D,E,D,9645,100,9645,1,0
D,F,D,9705,100,9705,1,0
D,G,D,6086,100,6086,1,0
D,H,D,1436,100,1436,1,0
A,E,E,1353,100,1353,1,0
B,E,E,4223,100,4223,1,0
C,E,E,12732,100,12732,1,0
D,E,E,9536,100,9536,1,0
E,F,E,4006,100,4006,1,0
E,G,E,12856,100,12856,1,0
E,H,E,9345,100,9345,1,0
A,F,F,4305,100,4305,1,0
B,F,F,1627,100,1627,1,0
C,F,F,10880,100,10880,1,0
D,F,F,9647,100,9647,1,0
E,F,F,3997,100,3997,1,0
F,G,F,10913,100,10913,1,0
F,H,F,9309,100,9309,1,0
A,G,G,12821,100,12821,1,0
B,G,G,10616,100,10616,1,0
C,G,G,1475,100,1475,1,0
D,G,G,6113,100,6113,1,0
E,G,G,12891,100,12891,1,0
F,G,G,10932,100,10932,1,0
G,H,G,5835,100,5835,1,0
A,H,H,9399,100,9399,1,0
B,H,H,9050,100,9050,1,0
C,H,H,5882,100,5882,1,0
D,H,H,1430,100,1430,1,0
E,H,H,9356,100,9356,1,0
F,H,H,9343,100,9343,1,0
G,H,H,5809,100,5809,1,0
A,B,A,3964,100,3964,1,0
A,C,A,12635,100,12635,1,0
A,D,A,9432,100,9432,1,0
A,E,A,1390,100,1390,1,0
A,F,A,4257,100,4257,1,0
A,G,A,12782,100,12782,1,0
A,H,A,9372,100,9372,1,0
A,B,B,3924,100,3924,1,0
B,C,B,10385,100,10385,1,0
B,D,B,9109,100,9109,1,0
B,E,B,4255,100,4255,1,0
B,F,B,1582,100,1582,1,0
B,G,B,10684,100,10684,1,0
B,H,B,9075,100,9075,1,0
A,C,C,12676,100,12676,1,0
B,C,C,10389,100,10389,1,0
C,D,C,5849,100,5849,1,0
C,E,C,12756,100,12756,1,0
C,F,C,10884,100,10884,1,0
C,G,C,1442,100,1442,1,0
