pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,8388.571405803337,8388.794087084389,-0.22268128105133655,0.22268128105133655
A-C,12274.645273524095,12276.679639026415,-2.0343655023207248,2.0343655023207248
A-D,8156.21463330082,8156.239982983921,-0.025349683101012488,0.025349683101012488
A-E,1345.5092418307336,1347.333331831329,-1.8240900005953335,1.8240900005953335
A-F,8518.245094103624,8518.382273588242,-0.13717948461817286,0.13717948461817286
A-G,12236.930067587158,12234.160617938429,2.769449648729278,2.769449648729278
A-H,8371.19921846617,8371.861136734817,-0.6619182686463319,0.6619182686463319
B-C,8668.390747775697,8668.518108630758,-0.1273608550618519,0.1273608550618519
B-D,11358.459313125106,11357.538185986741,0.9211271383646817,0.9211271383646817
B-E,8432.0617611285,8432.493663026962,-0.4319018984624563,0.4319018984624563
B-F,1280.7220602118498,1282.2650962765017,-1.5430360646519148,1.5430360646519148
B-G,8723.558135589548,8724.14470072384,-0.5865651342919591,0.5865651342919591
B-H,11352.89875045202,11352.973107605492,-0.07435715347310179,0.07435715347310179
C-D,8243.127648080246,8242.559699447158,0.5679486330882355,0.5679486330882355
C-E,12384.28775547083,12382.297562809375,1.9901926614547847,1.9901926614547847
C-F,8839.298002388403,8839.120881546063,0.17712084233971837,0.17712084233971837
C-G,1245.875011222919,1247.493271011984,-1.6182597890649504,1.6182597890649504
C-H,8126.512964968939,8126.886269405215,-0.3733044362761575,0.3733044362761575
D-E,8385.816434797312,8386.22158200848,-0.40514721116778674,0.40514721116778674
D-F,11515.897079860113,11516.380194335678,-0.48311447556443454,0.48311447556443454
D-G,8232.13598698796,8232.79918512732,-0.6631981393602473,0.6631981393602473
D-H,1400.149522620093,1401.6992590365987,-1.549736416505766,1.549736416505766
E-F,8357.479997280061,8357.538212529147,-0.058215249086060794,0.058215249086060794
E-G,12211.952787824799,12213.360607114795,-1.4078192899960413,1.4078192899960413
E-H,8377.024135604393,8376.863310464953,0.1608251394409308,0.1608251394409308
F-G,8713.500160145102,8713.843017676687,-0.3428575315847411,0.3428575315847411
F-H,11356.249831163099,11355.418299502164,0.8315316609350702,0.8315316609350702
G-H,7905.158617144619,7905.59235548364,-0.4337383390211471,0.4337383390211471
