pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4669.368897171441,4670.064449064449,-0.6955518930080871,0.6955518930080871
A-C,12169.297129348433,12165.35037406484,3.9467552835940296,3.9467552835940296
A-D,10326.095632941227,10326.000000000002,0.09563294122563093,0.09563294122563093
A-E,1400.9563115415397,1403.650546021841,-2.6942344803012475,2.6942344803012475
A-F,4852.249729836251,4853.000000000001,-0.7502701637495193,0.7502701637495193
A-G,12038.79789766403,12038.60975609756,0.18814156647022173,0.18814156647022173
A-H,10385.448926724312,10388.5,-3.0510732756883954,3.0510732756883954
B-C,8916.700299589987,8917.534441805226,-0.8341422152388986,0.8341422152388986
B-D,8785.252281688205,8787.5,-2.2477183117953246,2.2477183117953246
B-E,4704.8712586554675,4703.0,1.8712586554675,1.8712586554675
B-F,1324.9101752693455,1324.0,0.9101752693454728,0.9101752693454728
B-G,8758.505920171196,8755.428934010153,3.0769861610424414,3.0769861610424414
B-H,8913.562687837093,8913.157758882477,0.40492895461648004,0.40492895461648004
C-D,4402.647944963544,4402.0,0.6479449635444325,0.6479449635444325
C-E,12113.255628930505,12113.94290375204,-0.6872748215355386,0.6872748215355386
C-F,8965.33237372702,8967.0,-1.66762627297976,1.66762627297976
C-G,1553.5689512481797,1555.0,-1.431048751820299,1.431048751820299
C-H,4730.511778814189,4732.469724770642,-1.9579459564529316,1.9579459564529316
D-E,10336.25609273323,10333.000000000002,3.2560927332287974,3.2560927332287974
D-F,8825.202840583252,8826.334872979214,-1.1320323959625966,1.1320323959625966
D-G,4737.336212735406,4736.5,0.836212735405752,0.836212735405752
D-H,1427.705448505294,1428.5000000000002,-0.7945514947061838,0.7945514947061838
E-F,4494.598287977183,4494.779310344828,-0.1810223676457099,0.1810223676457099
E-G,11806.19088712108,11810.0,-3.809112878920132,3.809112878920132
E-H,10206.367248627164,10206.428934010151,-0.061685382986979675,0.061685382986979675
F-G,8579.443051704746,8579.590163934427,-0.14711222968071525,0.14711222968071525
F-H,8739.639354205465,8737.0,2.6393542054647696,2.6393542054647696
G-H,4597.981987820751,4597.4655581947745,0.5164296259763432,0.5164296259763432
