pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,5097.160050761128,5097.06444906445,0.09560169667838636,0.09560169667838636
A-C,8928.573889696912,8929.095022624435,-0.521132927522558,0.521132927522558
A-D,8657.497969686166,8657.0,0.49796968616647064,0.49796968616647064
A-E,1475.6070095704406,1475.614727854856,-0.007718284415432208,0.007718284415432208
A-F,5161.045639858781,5161.000000000001,0.045639858780305076,0.045639858780305076
A-G,9019.834818965097,9019.56303862113,0.27178034396638395,0.27178034396638395
A-H,8848.776258563421,8849.0,-0.22374143657907553,0.22374143657907553
B-C,9884.688025764688,9884.534441805226,0.15358395946168457,0.15358395946168457
B-D,11764.396253920177,11764.188460097414,0.20779382276305114,0.20779382276305114
B-E,5353.743281533357,5353.530275229357,0.21300630399946385,0.21300630399946385
B-F,1371.9959938640995,1372.0000000000002,-0.004006135900681329,0.004006135900681329
B-G,9990.375034758867,9990.0,0.37503475886660453,0.37503475886660453
B-H,11941.476515712073,11942.400990099011,-0.9244743869385275,0.9244743869385275
C-D,4587.521341181625,4587.433628318584,0.08771286304090609,0.08771286304090609
C-E,9011.405237198514,9011.5,-0.09476280148555816,0.09476280148555816
C-F,9868.546099809604,9868.095022624435,0.45107718516919704,0.45107718516919704
C-G,1330.0513608804433,1330.1611030478955,-0.10974216745216836,0.10974216745216836
C-H,4829.2462768631885,4829.0,0.24627686318854103,0.24627686318854103
D-E,8756.332206783418,8756.561199000833,-0.22899221741499787,0.22899221741499787
D-F,11734.070900046001,11734.602352941178,-0.5314528951766988,0.5314528951766988
D-G,4788.506001805723,4788.463013698631,0.04298810709224199,0.04298810709224199
D-H,1507.5601310602653,1507.4777887462983,0.08234231396704672,0.08234231396704672
E-F,5027.477546361436,5027.460063897764,0.017482463672422455,0.017482463672422455
E-G,8883.700566316667,8884.0,-0.2994336833326088,0.2994336833326088
E-H,8693.353069111763,8692.693368700264,0.659700411499216,0.659700411499216
F-G,9790.248438438091,9790.590163934427,-0.3417254963351297,0.3417254963351297
F-H,11736.768644763935,11736.38395904437,0.3846857195658231,0.3846857195658231
G-H,4604.476065588851,4604.500000000001,-0.023934411149639345,0.023934411149639345
