material,wall_count,safe_distance_cm_p95lt0p15,safe_distance_cm_p95lt0p25,p95_at_0cm_m,p95_at_40cm_m,p95_at_100cm_m
light_drywall,0,0,0,0.06264127790927887,0.06248243898153305,0.06229807063937187
light_drywall,1,0,0,0.09641812741756439,0.06915878504514694,0.0632433220744133
light_drywall,2,0,0,0.12093326449394226,0.07571658492088318,0.06400369107723236
light_drywall,3,5,0,0.16302862763404846,0.0856594517827034,0.06523177027702332
light_drywall,4,15,0,0.19510529935359955,0.09450049698352814,0.0660666823387146
gypsum_block,0,0,0,0.06235555559396744,0.06243923306465149,0.06237718462944031
gypsum_block,1,0,0,0.14184987545013428,0.07737218588590622,0.06388814002275467
gypsum_block,2,10,0,0.18487665057182312,0.09100229293107986,0.06529424339532852
gypsum_block,3,25,5,0.26919299364089966,0.1132807657122612,0.06759124994277954
gypsum_block,4,35,15,0.3273044526576996,0.13152408599853516,0.06959265470504761
aerated_concrete,0,0,0,0.06249311566352844,0.062331341207027435,0.06244388595223427
aerated_concrete,1,10,0,0.1809883713722229,0.08632024377584457,0.06449910253286362
aerated_concrete,2,25,0,0.23715190589427948,0.10448787361383438,0.06681700795888901
aerated_concrete,3,40,15,0.3508959710597992,0.1365923136472702,0.06968262791633606
aerated_concrete,4,50,25,0.42793896794319153,0.16085053980350494,0.07290241867303848
sand_lime_brick,0,0,0,0.06218167394399643,0.06255203485488892,0.06252267211675644
sand_lime_brick,1,25,5,0.2581098973751068,0.10576651245355606,0.06567329168319702
sand_lime_brick,2,35,15,0.33839595317840576,0.13297559320926666,0.06907011568546295
sand_lime_brick,3,50,30,0.5079922676086426,0.18433600664138794,0.07469278573989868
sand_lime_brick,4,60,35,0.622462272644043,0.22056879103183746,0.07995200157165527
reinforced_concrete_C25_30,0,0,0,0.06252221763134003,0.06260621547698975,0.06250476837158203
reinforced_concrete_C25_30,1,40,15,0.36925044655799866,0.13686367869377136,0.06823237240314484
reinforced_concrete_C25_30,2,50,25,0.48365217447280884,0.17521962523460388,0.0733102411031723
reinforced_concrete_C25_30,3,70,50,0.6688185334205627,0.25190722942352295,0.08241041004657745
reinforced_concrete_C25_30,4,80,50,0.7930206060409546,0.3052878975868225,0.09084922075271606
reinforced_concrete_C30_37,0,0,0,0.06252221763134003,0.06260621547698975,0.06250476837158203
reinforced_concrete_C30_37,1,50,25,0.435214102268219,0.159564808011055,0.06999894231557846
reinforced_concrete_C30_37,2,60,35,0.5688967704772949,0.20504412055015564,0.07666340470314026
reinforced_concrete_C30_37,3,70,50,0.7577247023582458,0.298559308052063,0.08851701021194458
reinforced_concrete_C30_37,4,80,60,0.888500452041626,0.362667053937912,0.09909544140100479
reinforced_concrete_C40_50,0,0,0,0.06252221763134003,0.06260621547698975,0.06250476837158203
reinforced_concrete_C40_50,1,50,30,0.4952777922153473,0.18581198155879974,0.07241442799568176
reinforced_concrete_C40_50,2,70,40,0.6480309963226318,0.23828524351119995,0.08091334998607635
reinforced_concrete_C40_50,3,80,60,0.8541296720504761,0.35023412108421326,0.0958593413233757
reinforced_concrete_C40_50,4,90,70,0.9983417987823486,0.42609015107154846,0.10908301174640656
