host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.863235,1777207423.336619,22,,BS2DCE,,0,ok,3157,3157,100,2,0
0.863235,1777207423.336619,22,,BS2DCE,,1,ok,2947,2947,100,2,0
0.863313,1777207423.336697,22,,BS2DCE,,2,ok,3092,3092,100,2,0
0.863313,1777207423.336697,22,,BS2DCE,,3,ok,2673,2673,100,2,0
0.863313,1777207423.336697,22,,BS2DCE,,4,ok,3074,3074,100,2,0
0.866029,1777207423.339413,22,,BS2DCE,,5,ok,2975,2975,100,2,0
0.866029,1777207423.339413,22,,BS2DCE,,6,ok,3184,3184,100,2,0
0.866029,1777207423.339413,22,,BS2DCE,,7,ok,2888,2888,100,2,0
0.966369,1777207423.439753,23,,BS2DCE,,1,ok,2919,2919,100,3,0
0.966369,1777207423.439753,23,,BS2DCE,,3,ok,2695,2695,100,3,0
0.966369,1777207423.439753,23,,BS2DCE,,4,ok,3057,3057,100,3,0
1.222141,1777207423.695525,24,,BS2DCE,,1,ok,2932,2932,100,4,0
1.222141,1777207423.695525,24,,BS2DCE,,3,ok,2675,2675,100,4,0
1.401379,1777207423.874763,25,,BS2DCE,,3,ok,2644,2644,100,5,0
1.403845,1777207423.877229,25,,BS2DCE,,1,ok,2970,2970,100,5,0
1.403845,1777207423.877229,25,,BS2DCE,,4,ok,3006,3006,100,5,0
1.403845,1777207423.877229,25,,BS2DCE,,6,ok,3166,3166,100,5,0
1.635356,1777207424.10874,26,,BS2DCE,,1,ok,2953,2953,100,6,0
1.635356,1777207424.10874,26,,BS2DCE,,3,ok,2633,2633,100,6,0
1.635356,1777207424.10874,26,,BS2DCE,,4,ok,2986,2986,100,6,0
1.813944,1777207424.287328,27,,BS2DCE,,1,ok,2954,2954,100,7,0
1.813944,1777207424.287328,27,,BS2DCE,,3,ok,2666,2666,100,7,0
2.023869,1777207424.497253,28,,BS2DCE,,1,ok,2955,2955,100,8,0
2.026907,1777207424.500291,28,,BS2DCE,,3,ok,2655,2655,100,8,0
2.026907,1777207424.500291,28,,BS2DCE,,4,ok,2980,2980,100,8,0
2.026907,1777207424.500291,28,,BS2DCE,,6,ok,3162,3162,100,8,0
2.2049,1777207424.678284,29,,BS2DCE,,1,ok,2953,2953,100,9,0
2.2049,1777207424.678284,29,,BS2DCE,,3,ok,2664,2664,100,9,0
2.2049,1777207424.678284,29,,BS2DCE,,6,ok,3171,3171,100,9,0
2.407067,1777207424.880451,30,,BS2DCE,,1,ok,2972,2972,100,10,0
2.407067,1777207424.880451,30,,BS2DCE,,3,ok,2673,2673,100,10,0
2.563887,1777207425.037271,31,,BS2DCE,,1,ok,2969,2969,100,11,0
2.617326,1777207425.09071,31,,BS2DCE,,3,ok,2690,2690,100,11,0
2.617326,1777207425.09071,31,,BS2DCE,,4,ok,2930,2930,100,11,0
2.617326,1777207425.09071,31,,BS2DCE,,6,ok,3161,3161,100,11,0
2.819789,1777207425.293173,32,,BS2DCE,,1,ok,2955,2955,100,12,0
2.819789,1777207425.293173,32,,BS2DCE,,3,ok,2664,2664,100,12,0
2.819789,1777207425.293173,32,,BS2DCE,,4,ok,2924,2924,100,12,0
3.021873,1777207425.495257,33,,BS2DCE,,1,ok,2936,2936,100,13,0
3.021873,1777207425.495257,33,,BS2DCE,,3,ok,2666,2666,100,13,0
3.201254,1777207425.674638,34,,BS2DCE,,3,ok,2660,2660,100,14,0
3.204712,1777207425.678096,34,,BS2DCE,,1,ok,2960,2960,100,14,0
3.204712,1777207425.678096,34,,BS2DCE,,4,ok,2947,2947,100,14,0
3.204712,1777207425.678096,34,,BS2DCE,,6,ok,3186,3186,100,14,0
3.412135,1777207425.885519,35,,BS2DCE,,1,ok,2938,2938,100,15,0
3.412135,1777207425.885519,35,,BS2DCE,,3,ok,2697,2697,100,15,0
3.412135,1777207425.885519,35,,BS2DCE,,4,ok,3031,3031,100,15,0
3.614597,1777207426.087981,36,,BS2DCE,,1,ok,2956,2956,100,16,0
3.614597,1777207426.087981,36,,BS2DCE,,3,ok,2641,2641,100,16,0
3.823724,1777207426.297108,37,,BS2DCE,,1,ok,2970,2970,100,17,0
3.827149,1777207426.300533,37,,BS2DCE,,3,ok,2678,2678,100,17,0
