host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
0.02043,1777207422.493814,4032,,BSF66F,,cal_static,4,success,100,4,4,3,4,0
0.177909,1777207422.651293,4033,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.433326,1777207422.90671,4034,,BSF66F,,cal_static,4,success,100,4,4,6,7,0
0.594083,1777207423.067467,4035,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.845449,1777207423.318833,4036,,BSF66F,,cal_static,4,success,100,4,4,1,1,0
1.027202,1777207423.500586,4037,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.186628,1777207423.660012,4038,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
1.415801,1777207423.889185,4039,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.623979,1777207424.097363,4040,,BSF66F,,cal_static,4,success,96,4,4,661,987,0
1.801355,1777207424.274739,4041,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.032937,1777207424.506321,4042,,BSF66F,,cal_static,4,success,96,4,4,1490,2004,0
2.180528,1777207424.653912,4043,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.469081,1777207424.942465,4044,,BSF66F,,cal_static,4,success,97,4,4,30,45,0
2.593303,1777207425.066687,4045,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.855943,1777207425.329327,4046,,BSF66F,,cal_static,4,success,97,4,4,7347,8263,0
2.988404,1777207425.461788,4047,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
3.22121,1777207425.694594,4048,,BSF66F,,cal_static,4,success,97,4,4,21,28,0
3.365655,1777207425.839039,4049,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
3.654207,1777207426.127591,4050,,BSF66F,,cal_static,4,success,97,4,4,31,47,0
3.780929,1777207426.254313,4051,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
4.032834,1777207426.506218,4052,,BSF66F,,cal_static,4,success,98,4,4,3,3,0
4.193925,1777207426.667309,4053,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
4.445281,1777207426.918665,4054,,BSF66F,,cal_static,4,success,98,4,4,85,138,0
4.625526,1777207427.09891,4055,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
4.835703,1777207427.309087,4056,,BSF66F,,cal_static,4,success,98,4,4,94525,95421,0
5.015471,1777207427.488855,4057,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
5.240616,1777207427.714,4058,,BSF66F,,cal_static,4,success,98,4,4,8,9,0
5.401237,1777207427.874621,4059,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
5.63285,1777207428.106234,4060,,BSF66F,,cal_static,4,success,98,4,4,19,22,0
5.780553,1777207428.253937,4061,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
6.068775,1777207428.542159,4062,,BSF66F,,cal_static,4,success,98,4,4,18,20,0
6.193105,1777207428.666489,4063,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
6.433036,1777207428.90642,4064,,BSF66F,,cal_static,4,success,98,4,4,8,9,0
6.586085,1777207429.059469,4065,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
6.837799,1777207429.311183,4066,,BSF66F,,cal_static,4,success,98,4,4,10,11,0
6.995254,1777207429.468638,4067,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
7.253505,1777207429.726889,4068,,BSF66F,,cal_static,4,success,98,4,4,278,426,0
7.378032,1777207429.851416,4069,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
7.632721,1777207430.106105,4070,,BSF66F,,cal_static,4,success,98,4,4,5,6,0
