host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
3.845126,1777208482.468433,3956,,BS2DCE,,cal_roto,5,97,"A,C,F,H","ok,ok,ok,ok","100,100,88,100"
4.055373,1777208482.67868,3957,,BS2DCE,,cal_roto,5,97,"C,A,F,H","ok,ok,ok,ok","100,100,90,100"
4.311568,1777208482.934875,3958,,BS2DCE,,cal_roto,5,97,"C,A,F,H","ok,ok,ok,ok","100,100,90,100"
4.437753,1777208483.06106,3959,,BS2DCE,,cal_roto,5,97,"A,C,F,H","ok,ok,ok,ok","100,100,91,100"
4.645652,1777208483.268959,3960,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,92,100"
4.799051,1777208483.422358,3961,,BS2DCE,,cal_roto,5,96,"A,C,F,H","ok,ok,timeout,ok","100,100,85,100"
4.925135,1777208483.548442,3962,,BS2DCE,,cal_roto,5,97,"A,C,H,E","ok,ok,ok,ok","100,100,100,88"
5.030512,1777208483.653819,3963,,BS2DCE,,cal_roto,5,97,"A,C,H,E","ok,ok,ok,ok","100,100,100,90"
5.241405,1777208483.864712,3964,,BS2DCE,,cal_roto,5,97,"A,C,E,H","ok,ok,ok,ok","100,100,90,100"
5.442521,1777208484.065828,3965,,BS2DCE,,cal_roto,5,97,"C,A,E,H","ok,ok,ok,ok","100,100,91,100"
5.69823,1777208484.321537,3966,,BS2DCE,,cal_roto,5,98,"C,A,E,H","ok,ok,ok,ok","100,100,92,100"
5.90883,1777208484.532137,3967,,BS2DCE,,cal_roto,5,98,"A,C,E,H","ok,ok,ok,ok","100,100,92,100"
6.085834,1777208484.709141,3968,,BS2DCE,,cal_roto,5,98,"A,C,E,H","ok,ok,ok,ok","100,100,93,100"
6.237591,1777208484.860898,3969,,BS2DCE,,cal_roto,5,98,"A,C,H,E","ok,ok,ok,ok","100,100,100,93"
6.449388,1777208485.072695,3970,,BS2DCE,,cal_roto,5,98,"A,C,H,E","ok,ok,ok,ok","100,100,100,94"
6.627551,1777208485.250858,3971,,BS2DCE,,cal_roto,5,97,"A,C,H,E","ok,timeout,ok,ok","100,95,100,94"
6.725153,1777208485.34846,3972,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,94,100"
6.831498,1777208485.454805,3973,,BS2DCE,,cal_roto,5,98,"B,A,E,H","ok,ok,ok,ok","100,100,95,100"
7.040185,1777208485.663492,3974,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
7.242502,1777208485.865809,3975,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
7.401948,1777208486.025255,3976,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,ok,timeout","100,100,95,96"
7.52758,1777208486.150887,3977,,BS2DCE,,cal_roto,5,97,"A,B,H,E","ok,ok,ok,ok","100,100,96,95"
7.657385,1777208486.280692,3978,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,96,96"
7.859043,1777208486.48235,3979,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,96,96"
8.037744,1777208486.661051,3980,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
8.247461,1777208486.870768,3981,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,96,100"
8.452275,1777208487.075582,3982,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
8.630269,1777208487.253576,3983,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
8.88919,1777208487.512497,3984,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
8.991587,1777208487.614894,3985,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,timeout","100,100,100,93"
9.117494,1777208487.740801,3986,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,100,94"
9.24496,1777208487.868267,3987,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,100,94"
9.456445,1777208488.079752,3988,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,94,100"
9.657862,1777208488.281169,3989,,BS2DCE,,cal_roto,5,98,"B,A,E,H","ok,ok,ok,ok","100,100,95,100"
9.838226,1777208488.461533,3990,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
10.04875,1777208488.672057,3991,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
10.277807,1777208488.901114,3992,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
10.430037,1777208489.053344,3993,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,100,95"
10.641267,1777208489.264574,3994,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
10.864035,1777208489.487342,3995,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
11.097729,1777208489.721036,3996,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
11.256256,1777208489.879563,3997,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,96,100"
11.457889,1777208490.081196,3998,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
11.637807,1777208490.261114,3999,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
11.847493,1777208490.4708,4000,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
12.050152,1777208490.673459,4001,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
12.229866,1777208490.853173,4002,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
12.462457,1777208491.085764,4003,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,timeout,ok","100,100,95,100"
12.590178,1777208491.213485,4004,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
12.642766,1777208491.266073,4005,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,100,96"
12.846362,1777208491.469669,4006,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
13.025119,1777208491.648426,4007,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
13.25531,1777208491.878617,4008,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
13.438929,1777208492.062236,4009,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
13.647362,1777208492.270669,4010,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
13.878397,1777208492.501704,4011,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
14.009222,1777208492.632529,4012,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,timeout,reject","100,100,96,94"
14.134741,1777208492.758048,4013,,BS2DCE,,cal_roto,5,97,"B,A,E,H","ok,ok,ok,ok","100,100,96,94"
14.239842,1777208492.863149,4014,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,ok,ok","100,100,96,94"
14.445801,1777208493.069108,4015,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,ok,ok","100,100,96,95"
14.643186,1777208493.266493,4016,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,ok,ok","100,100,96,95"
14.854794,1777208493.478101,4017,,BS2DCE,,cal_roto,5,97,"A,B,H,E","ok,ok,ok,ok","100,100,95,96"
15.090262,1777208493.713569,4018,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,95,100"
15.237611,1777208493.860918,4019,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,95,100"
15.448048,1777208494.071355,4020,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
15.651142,1777208494.274449,4021,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,100,96"
15.830153,1777208494.45346,4022,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
16.040039,1777208494.663346,4023,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
16.242256,1777208494.865563,4024,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
16.444788,1777208495.068095,4025,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
16.654865,1777208495.278172,4026,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
16.858808,1777208495.482115,4027,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
17.037712,1777208495.661019,4028,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
17.247779,1777208495.871086,4029,,BS2DCE,,cal_roto,5,100,"B,A,E,H","ok,ok,ok,ok","100,100,100,100"
17.39874,1777208496.022047,4030,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,timeout","100,100,100,94"
17.524865,1777208496.148172,4031,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,100,95"
17.627934,1777208496.251241,4032,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,100,95"
17.841057,1777208496.464364,4033,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,95,100"
18.04254,1777208496.665847,4034,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,95,100"
18.245573,1777208496.86888,4035,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,95,100"
18.426027,1777208497.049334,4036,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
18.657261,1777208497.280568,4037,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,100,96"
18.837179,1777208497.460486,4038,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,100,96"
19.018579,1777208497.641886,4039,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,timeout,ok","100,100,95,96"
19.120023,1777208497.74333,4040,,BS2DCE,,cal_roto,5,97,"A,B,E,H","ok,ok,ok,ok","100,100,95,96"
19.249615,1777208497.872922,4041,,BS2DCE,,cal_roto,5,97,"A,B,H,E","ok,ok,ok,ok","100,100,96,95"
19.432676,1777208498.055983,4042,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,96,96"
19.639575,1777208498.262882,4043,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,96,96"
19.844126,1777208498.467433,4044,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
20.046161,1777208498.669468,4045,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,96,100"
20.254903,1777208498.87821,4046,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
20.457408,1777208499.080715,4047,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
20.637254,1777208499.260561,4048,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
20.847909,1777208499.471216,4049,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
21.049765,1777208499.673072,4050,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
21.231151,1777208499.854458,4051,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
21.43971,1777208500.063017,4052,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
21.642292,1777208500.265599,4053,,BS2DCE,,cal_roto,5,100,"B,A,E,H","ok,ok,ok,ok","100,100,100,100"
21.846357,1777208500.469664,4054,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
22.024731,1777208500.648038,4055,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
22.255184,1777208500.878491,4056,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
22.386241,1777208501.009548,4057,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,timeout,ok","100,100,96,100"
22.51964,1777208501.142947,4058,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
22.647518,1777208501.270825,4059,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,96,100"
22.879419,1777208501.502726,4060,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
23.029964,1777208501.653271,4061,,BS2DCE,,cal_roto,5,100,"B,A,E,H","ok,ok,ok,ok","100,100,100,100"
23.239668,1777208501.862975,4062,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
23.443555,1777208502.066862,4063,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
23.642769,1777208502.266076,4064,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
23.824927,1777208502.448234,4065,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
23.983932,1777208502.607239,4066,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,timeout","100,100,100,94"
24.137398,1777208502.760705,4067,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,100,94"
24.23742,1777208502.860727,4068,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,94,100"
24.44883,1777208503.072137,4069,,BS2DCE,,cal_roto,5,98,"B,A,E,H","ok,ok,ok,ok","100,100,95,100"
24.649791,1777208503.273098,4070,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
24.829686,1777208503.452993,4071,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
25.039948,1777208503.663255,4072,,BS2DCE,,cal_roto,5,98,"A,B,E,H","ok,ok,ok,ok","100,100,95,100"
25.24249,1777208503.865797,4073,,BS2DCE,,cal_roto,5,98,"A,B,H,E","ok,ok,ok,ok","100,100,100,95"
25.44452,1777208504.067827,4074,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
25.62642,1777208504.249727,4075,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
25.857105,1777208504.480412,4076,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
26.037098,1777208504.660405,4077,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,96,100"
26.248503,1777208504.87181,4078,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
26.449447,1777208505.072754,4079,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
26.633164,1777208505.256471,4080,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
26.882528,1777208505.505835,4081,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
27.093453,1777208505.71676,4082,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
27.295167,1777208505.918474,4083,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
27.529702,1777208506.153009,4084,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
27.657162,1777208506.280469,4085,,BS2DCE,,cal_roto,5,100,"B,A,E,H","ok,ok,ok,ok","100,100,100,100"
27.865491,1777208506.488798,4086,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
28.048486,1777208506.671793,4087,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
28.247803,1777208506.87111,4088,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
28.429536,1777208507.052843,4089,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
28.641119,1777208507.264426,4090,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
28.842175,1777208507.465482,4091,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
28.999756,1777208507.623063,4092,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,timeout,ok","100,100,96,100"
29.128699,1777208507.752006,4093,,BS2DCE,,cal_roto,5,99,"B,A,E,H","ok,ok,ok,ok","100,100,96,100"
29.254555,1777208507.877862,4094,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
29.483642,1777208508.106949,4095,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
29.636916,1777208508.260223,4096,,BS2DCE,,cal_roto,5,99,"A,B,E,H","ok,ok,ok,ok","100,100,96,100"
29.847067,1777208508.470374,4097,,BS2DCE,,cal_roto,5,99,"A,B,H,E","ok,ok,ok,ok","100,100,100,96"
30.049707,1777208508.673014,4098,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
30.230761,1777208508.854068,4099,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
30.439476,1777208509.062783,4100,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
30.642213,1777208509.26552,4101,,BS2DCE,,cal_roto,5,100,"B,A,E,H","ok,ok,ok,ok","100,100,100,100"
30.845814,1777208509.469121,4102,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
31.054849,1777208509.678156,4103,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
31.255455,1777208509.878762,4104,,BS2DCE,,cal_roto,5,100,"A,B,E,H","ok,ok,ok,ok","100,100,100,100"
31.439309,1777208510.062616,4105,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
31.647105,1777208510.270412,4106,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
31.850903,1777208510.47421,4107,,BS2DCE,,cal_roto,5,100,"A,B,H,E","ok,ok,ok,ok","100,100,100,100"
