host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.674549,1777235281.695714,88856,,BSDC91,,cal_roto,5,A,ok,ok,2717,2717,0,0,100,100
0.677612,1777235281.698777,88856,,BSDC91,,cal_roto,5,B,ok,ok,2372,2372,0,0,100,100
0.677662,1777235281.698827,88856,,BSDC91,,cal_roto,5,C,ok,ok,3072,3072,0,0,100,100
0.725356,1777235281.746521,88856,,BSDC91,,cal_roto,5,D,ok,ok,3525,3525,0,0,100,100
0.725398,1777235281.746563,88856,,BSDC91,,cal_roto,5,E,ok,ok,2651,2651,0,0,100,100
0.728369,1777235281.749534,88856,,BSDC91,,cal_roto,5,F,ok,ok,2094,2094,0,0,100,100
0.728417,1777235281.749582,88856,,BSDC91,,cal_roto,5,G,ok,ok,3117,3117,0,0,100,100
0.730661,1777235281.751826,88856,,BSDC91,,cal_roto,5,H,ok,ok,3433,3433,0,0,100,100
0.904934,1777235281.926099,88857,,BSDC91,,cal_roto,5,A,ok,ok,2309,2309,0,0,100,100
0.904974,1777235281.926139,88857,,BSDC91,,cal_roto,5,B,ok,ok,2757,2757,0,0,100,100
0.907961,1777235281.929126,88857,,BSDC91,,cal_roto,5,C,ok,ok,3113,3113,0,0,100,100
0.908017,1777235281.929182,88857,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2694,3525,0,0,75,75
0.910354,1777235281.931519,88857,,BSDC91,,cal_roto,5,E,ok,ok,2516,2516,0,0,100,100
0.935739,1777235281.956904,88857,,BSDC91,,cal_roto,5,F,reject,raw_outlier,2768,2094,0,0,75,75
0.935794,1777235281.956959,88857,,BSDC91,,cal_roto,5,G,ok,ok,3229,3229,0,0,100,100
1.114886,1777235282.136051,88858,,BSDC91,,cal_roto,5,A,reject,raw_outlier,2872,2309,0,0,80,80
1.114936,1777235282.136101,88858,,BSDC91,,cal_roto,5,B,ok,ok,2809,2809,0,0,100,100
1.118034,1777235282.139199,88858,,BSDC91,,cal_roto,5,C,ok,ok,2999,2999,0,0,100,100
1.11816,1777235282.139325,88858,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2512,3525,0,0,60,60
1.12095,1777235282.142115,88858,,BSDC91,,cal_roto,5,E,ok,ok,2520,2520,0,0,100,100
1.138032,1777235282.159197,88858,,BSDC91,,cal_roto,5,F,reject,raw_outlier,3109,2094,0,0,60,60
1.138058,1777235282.159223,88858,,BSDC91,,cal_roto,5,G,ok,ok,3152,3152,0,0,100,100
1.248661,1777235282.269826,88859,,BSDC91,,cal_roto,5,A,reject,raw_outlier,2785,2309,0,0,66,66
1.24873,1777235282.269895,88859,,BSDC91,,cal_roto,5,B,ok,ok,2890,2890,0,0,100,100
1.265925,1777235282.28709,88859,,BSDC91,,cal_roto,5,C,ok,ok,2981,2981,0,0,100,100
1.266008,1777235282.287173,88859,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2434,3525,0,0,50,50
1.269127,1777235282.290292,88859,,BSDC91,,cal_roto,5,E,ok,ok,2786,2786,0,0,100,100
1.269233,1777235282.290398,88859,,BSDC91,,cal_roto,5,F,reject,raw_outlier,3244,2094,0,0,50,50
1.294736,1777235282.315901,88859,,BSDC91,,cal_roto,5,G,timeout,rx_timeout,0,3152,0,0,83,83
1.296741,1777235282.317906,88859,,BSDC91,,cal_roto,5,H,reject,raw_outlier,2484,3433,0,0,50,50
