sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
24056,,BSF66F,,cal_static,4,E,ok,ok,3854,3854,0,0,100,100
24056,,BSF66F,,cal_static,4,F,ok,ok,2355,2355,0,0,100,100
24056,,BSF66F,,cal_static,4,G,ok,ok,2006,2006,0,0,100,100
24056,,BSF66F,,cal_static,4,H,ok,ok,3519,3519,0,0,100,100
24057,,BSF66F,,cal_static,4,A,ok,ok,3847,3847,0,0,100,100
24057,,BSF66F,,cal_static,4,B,ok,ok,2586,2586,0,0,100,100
24057,,BSF66F,,cal_static,4,C,ok,ok,2149,2149,0,0,100,100
24057,,BSF66F,,cal_static,4,D,ok,ok,3522,3522,0,0,100,100
24058,,BSF66F,,cal_static,4,E,ok,ok,3712,3712,0,0,100,100
24058,,BSF66F,,cal_static,4,F,ok,ok,2355,2355,0,0,100,100
24058,,BSF66F,,cal_static,4,G,ok,ok,1982,1982,0,0,100,100
24058,,BSF66F,,cal_static,4,H,ok,ok,3479,3479,0,0,100,100
24059,,BSF66F,,cal_static,4,A,ok,ok,3900,3900,0,0,100,100
24059,,BSF66F,,cal_static,4,B,ok,ok,2489,2489,0,0,100,100
24059,,BSF66F,,cal_static,4,C,ok,ok,2170,2170,0,0,100,100
24059,,BSF66F,,cal_static,4,D,ok,ok,3492,3492,0,0,100,100
24060,,BSF66F,,cal_static,4,E,ok,ok,3783,3783,0,0,100,100
24060,,BSF66F,,cal_static,4,F,ok,ok,2362,2362,0,0,100,100
24060,,BSF66F,,cal_static,4,G,ok,ok,1980,1980,0,0,100,100
24060,,BSF66F,,cal_static,4,H,ok,ok,3511,3511,0,0,100,100
24061,,BSF66F,,cal_static,4,A,ok,ok,3918,3918,0,0,100,100
24061,,BSF66F,,cal_static,4,B,ok,ok,2537,2537,0,0,100,100
24061,,BSF66F,,cal_static,4,C,ok,ok,2186,2186,0,0,100,100
24061,,BSF66F,,cal_static,4,D,ok,ok,3491,3491,0,0,100,100
24062,,BSF66F,,cal_static,4,E,ok,ok,3776,3776,0,0,100,100
24062,,BSF66F,,cal_static,4,F,ok,ok,2353,2353,0,0,100,100
24062,,BSF66F,,cal_static,4,G,ok,ok,2040,2040,0,0,100,100
24062,,BSF66F,,cal_static,4,H,ok,ok,3536,3536,0,0,100,100
24063,,BSF66F,,cal_static,4,A,ok,ok,3836,3836,0,0,100,100
24063,,BSF66F,,cal_static,4,B,ok,ok,2487,2487,0,0,100,100
24063,,BSF66F,,cal_static,4,C,ok,ok,2163,2163,0,0,100,100
24063,,BSF66F,,cal_static,4,D,ok,ok,3499,3499,0,0,100,100
24064,,BSF66F,,cal_static,4,E,ok,ok,3782,3782,0,0,100,100
24064,,BSF66F,,cal_static,4,F,ok,ok,2343,2343,0,0,100,100
24064,,BSF66F,,cal_static,4,G,ok,ok,2018,2018,0,0,100,100
24064,,BSF66F,,cal_static,4,H,ok,ok,3513,3513,0,0,100,100
24065,,BSF66F,,cal_static,4,A,ok,ok,3857,3857,0,0,100,100
24065,,BSF66F,,cal_static,4,B,ok,ok,2588,2588,0,0,100,100
24065,,BSF66F,,cal_static,4,C,timeout,rx_timeout,0,2163,0,0,88,88
24065,,BSF66F,,cal_static,4,D,ok,ok,3467,3467,0,0,100,100
24066,,BSF66F,,cal_static,4,E,ok,ok,3771,3771,0,0,100,100
24066,,BSF66F,,cal_static,4,F,ok,ok,2374,2374,0,0,100,100
24066,,BSF66F,,cal_static,4,G,ok,ok,1994,1994,0,0,100,100
24066,,BSF66F,,cal_static,4,H,ok,ok,3526,3526,0,0,100,100
24067,,BSF66F,,cal_static,4,A,ok,ok,3820,3820,0,0,100,100
24067,,BSF66F,,cal_static,4,B,ok,ok,2475,2475,0,0,100,100
24067,,BSF66F,,cal_static,4,C,ok,ok,2132,2132,0,0,90,90
24067,,BSF66F,,cal_static,4,D,timeout,rx_timeout,0,3467,0,0,90,90
24068,,BSF66F,,cal_static,4,E,ok,ok,3753,3753,0,0,100,100
24068,,BSF66F,,cal_static,4,F,timeout,rx_timeout,0,2374,0,0,90,90
24068,,BSF66F,,cal_static,4,G,ok,ok,1972,1972,0,0,100,100
24068,,BSF66F,,cal_static,4,H,ok,ok,3542,3542,0,0,100,100
24069,,BSF66F,,cal_static,4,A,ok,ok,3875,3875,0,0,100,100
24069,,BSF66F,,cal_static,4,B,ok,ok,2552,2552,0,0,100,100
24069,,BSF66F,,cal_static,4,C,ok,ok,2151,2151,0,0,90,90
24069,,BSF66F,,cal_static,4,D,ok,ok,3468,3468,0,0,90,90
24070,,BSF66F,,cal_static,4,E,ok,ok,3822,3822,0,0,100,100
24070,,BSF66F,,cal_static,4,F,ok,ok,2343,2343,0,0,91,91
24070,,BSF66F,,cal_static,4,G,ok,ok,1985,1985,0,0,100,100
24070,,BSF66F,,cal_static,4,H,timeout,rx_timeout,0,3542,0,0,91,91
24071,,BSF66F,,cal_static,4,A,ok,ok,3844,3844,0,0,100,100
24071,,BSF66F,,cal_static,4,B,ok,ok,2490,2490,0,0,100,100
24071,,BSF66F,,cal_static,4,C,ok,ok,2138,2138,0,0,91,91
24071,,BSF66F,,cal_static,4,D,ok,ok,3496,3496,0,0,91,91
24072,,BSF66F,,cal_static,4,E,ok,ok,3776,3776,0,0,100,100
24072,,BSF66F,,cal_static,4,F,ok,ok,2386,2386,0,0,92,92
24072,,BSF66F,,cal_static,4,G,ok,ok,2001,2001,0,0,100,100
24072,,BSF66F,,cal_static,4,H,ok,ok,3487,3487,0,0,92,92
24073,,BSF66F,,cal_static,4,A,ok,ok,3821,3821,0,0,100,100
24073,,BSF66F,,cal_static,4,B,ok,ok,2501,2501,0,0,100,100
24073,,BSF66F,,cal_static,4,C,ok,ok,2181,2181,0,0,92,92
24073,,BSF66F,,cal_static,4,D,ok,ok,3539,3539,0,0,92,92
24074,,BSF66F,,cal_static,4,E,ok,ok,3804,3804,0,0,100,100
24074,,BSF66F,,cal_static,4,F,ok,ok,2344,2344,0,0,92,92
24074,,BSF66F,,cal_static,4,G,ok,ok,2016,2016,0,0,100,100
24074,,BSF66F,,cal_static,4,H,ok,ok,3522,3522,0,0,92,92
24075,,BSF66F,,cal_static,4,A,ok,ok,3830,3830,0,0,100,100
24075,,BSF66F,,cal_static,4,B,ok,ok,2494,2494,0,0,100,100
24075,,BSF66F,,cal_static,4,C,ok,ok,2123,2123,0,0,92,92
24075,,BSF66F,,cal_static,4,D,ok,ok,3541,3541,0,0,92,92
24076,,BSF66F,,cal_static,4,E,ok,ok,3800,3800,0,0,100,100
24076,,BSF66F,,cal_static,4,F,ok,ok,2369,2369,0,0,93,93
24076,,BSF66F,,cal_static,4,G,ok,ok,1990,1990,0,0,100,100
24076,,BSF66F,,cal_static,4,H,ok,ok,3474,3474,0,0,93,93
24077,,BSF66F,,cal_static,4,A,ok,ok,3790,3790,0,0,100,100
24077,,BSF66F,,cal_static,4,B,ok,ok,2545,2545,0,0,100,100
24077,,BSF66F,,cal_static,4,C,ok,ok,2173,2173,0,0,93,93
24077,,BSF66F,,cal_static,4,D,ok,ok,3530,3530,0,0,93,93
24078,,BSF66F,,cal_static,4,E,ok,ok,3767,3767,0,0,100,100
24078,,BSF66F,,cal_static,4,F,ok,ok,2349,2349,0,0,93,93
24078,,BSF66F,,cal_static,4,G,ok,ok,2012,2012,0,0,100,100
24078,,BSF66F,,cal_static,4,H,ok,ok,3499,3499,0,0,93,93
24079,,BSF66F,,cal_static,4,A,ok,ok,3866,3866,0,0,100,100
24079,,BSF66F,,cal_static,4,B,ok,ok,2520,2520,0,0,100,100
24079,,BSF66F,,cal_static,4,C,ok,ok,2133,2133,0,0,93,93
24079,,BSF66F,,cal_static,4,D,ok,ok,3492,3492,0,0,93,93
24080,,BSF66F,,cal_static,4,E,ok,ok,3760,3760,0,0,100,100
24080,,BSF66F,,cal_static,4,F,ok,ok,2343,2343,0,0,94,94
