sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
24056,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24057,,BSF66F,,cal_static,4,success,100,4,4,32500009,32500997,0
24058,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24059,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24060,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24061,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24062,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24063,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24064,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24065,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
24066,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24067,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
24068,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
24069,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
94,,BSDC91,,cal_roto,5,success,81,4,4,76,113,0
24070,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
95,,BSDC91,,cal_roto,5,success,82,4,4,20,29,0
24071,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
77,,BS2DCE,,cal_roto,5,success,94,4,4,241,370,0
96,,BSDC91,,cal_roto,5,success,83,4,4,70,97,0
24072,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
78,,BS2DCE,,cal_roto,5,success,94,4,4,84,136,0
97,,BSDC91,,cal_roto,5,success,83,4,4,112,154,0
24073,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
79,,BS2DCE,,cal_roto,5,success,94,4,4,114,175,0
98,,BSDC91,,cal_roto,5,success,85,4,4,104,139,0
24074,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
80,,BS2DCE,,cal_roto,5,success,95,4,4,94,134,0
99,,BSDC91,,cal_roto,5,success,85,4,4,45,56,0
24075,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
81,,BS2DCE,,cal_roto,5,success,95,4,4,51,79,0
100,,BSDC91,,cal_roto,5,success,86,4,4,65,79,0
24076,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
82,,BS2DCE,,cal_roto,5,success,95,4,4,121,185,0
101,,BSDC91,,cal_roto,5,success,86,4,4,3,3,0
83,,BS2DCE,,cal_roto,5,success,95,4,4,86,135,0
24077,,BSF66F,,cal_static,4,success,96,4,4,12166348,12167321,0
102,,BSDC91,,cal_roto,5,success,87,4,4,23,23,0
24078,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
84,,BS2DCE,,cal_roto,5,success,96,4,4,99,129,0
103,,BSDC91,,cal_roto,5,success,88,4,4,30,32,0
24079,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
85,,BS2DCE,,cal_roto,5,success,96,4,4,68,82,0
104,,BSDC91,,cal_roto,5,success,88,4,4,13,16,0
24080,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
