sweep,peer_name,plan,pmode,quality_flag_percent,targets,statuses,qualities
1015,BS2DCE,cal_roto,5,100,"C,D,E,G","ok,ok,ok,ok","100,100,100,100"
1018,BSDC91,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
24944,BSF66F,cal_static,4,99,"E,F,G,H","ok,ok,ok,ok","100,100,96,100"
1018,BSDC91,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
1015,BS2DCE,cal_roto,5,100,"C,D,E,G","ok,ok,ok,ok","100,100,100,100"
1018,BSDC91,cal_roto,5,100,"A,C,E,G","ok,ok,ok,ok","100,100,100,100"
24944,BSF66F,cal_static,4,99,"E,F,G,H","ok,ok,ok,ok","100,100,96,100"
24948,BSF66F,cal_static,4,0,"A,B,C,D","pending,pending,pending,pending","0,0,0,0"
24949,BSF66F,cal_static,4,0,"A,B,C,D","pending,pending,pending,pending","0,0,0,0"
24950,BSF66F,cal_static,4,0,"A,B,C,D","pending,pending,pending,pending","0,0,0,0"
24951,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24952,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24953,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24954,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24955,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24956,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24957,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24958,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24959,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24960,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24961,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24962,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24963,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24964,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24965,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24966,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24967,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24968,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24969,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24970,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24971,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24972,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24973,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1040,BSDC91,cal_roto,5,87,"A,C,E,F","ok,ok,ok,ok","85,100,71,92"
24974,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1041,BSDC91,cal_roto,5,86,"C,A,E,F","ok,timeout,ok,ok","100,80,73,93"
1031,BS2DCE,cal_roto,5,100,"A,C,F,H","ok,ok,ok,ok","100,100,100,100"
1042,BSDC91,cal_roto,5,87,"C,A,E,F","ok,ok,ok,ok","100,81,75,93"
24975,BSF66F,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1032,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1043,BSDC91,cal_roto,5,88,"A,C,E,F","ok,ok,ok,ok","82,100,76,94"
24976,BSF66F,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1033,BS2DCE,cal_roto,5,100,"C,A,F,H","ok,ok,ok,ok","100,100,100,100"
1044,BSDC91,cal_roto,5,88,"A,C,E,F","ok,ok,ok,ok","83,100,77,94"
