sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
4401,,BS2DCE,,cal_roto,5,success,100,4,4,101,151,0
4402,,BS2DCE,,cal_roto,5,success,100,4,4,54,81,0
4403,,BS2DCE,,cal_roto,5,success,100,4,4,43,64,0
4404,,BS2DCE,,cal_roto,5,success,100,4,4,80,123,0
4405,,BS2DCE,,cal_roto,5,success,100,4,4,108,164,0
4406,,BS2DCE,,cal_roto,5,success,100,4,4,136,203,0
4407,,BS2DCE,,cal_roto,5,success,100,4,4,117,168,0
4408,,BS2DCE,,cal_roto,5,success,100,4,4,109,166,0
4409,,BS2DCE,,cal_roto,5,success,100,4,4,146,226,0
4410,,BS2DCE,,cal_roto,5,success,100,4,4,163,231,0
4411,,BS2DCE,,cal_roto,5,success,100,4,4,157,242,0
4412,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
4413,,BS2DCE,,cal_roto,5,success,100,4,4,42,46,0
4414,,BS2DCE,,cal_roto,5,success,100,4,4,107,123,0
4415,,BS2DCE,,cal_roto,5,success,100,4,4,79,93,0
4416,,BS2DCE,,cal_roto,5,success,100,4,4,86,104,0
4417,,BS2DCE,,cal_roto,5,success,100,4,4,65,77,0
4418,,BS2DCE,,cal_roto,5,success,100,4,4,21,24,0
4419,,BS2DCE,,cal_roto,5,success,100,4,4,230,265,0
4420,,BS2DCE,,cal_roto,5,pending,99,4,3,0,0,0
4421,,BS2DCE,,cal_roto,5,success,99,4,4,53,61,0
4422,,BS2DCE,,cal_roto,5,success,99,4,4,13,14,0
4423,,BS2DCE,,cal_roto,5,success,99,4,4,25,28,0
4424,,BS2DCE,,cal_roto,5,success,99,4,4,62,67,0
4425,,BS2DCE,,cal_roto,5,success,99,4,4,6,6,0
4426,,BS2DCE,,cal_roto,5,success,100,4,4,44,45,0
4427,,BS2DCE,,cal_roto,5,success,100,4,4,250,268,0
4428,,BS2DCE,,cal_roto,5,success,100,4,4,7,7,0
4429,,BS2DCE,,cal_roto,5,success,100,4,4,86,91,0
4430,,BS2DCE,,cal_roto,5,success,100,4,4,28,29,0
4431,,BS2DCE,,cal_roto,5,success,100,4,4,7,8,0
4432,,BS2DCE,,cal_roto,5,success,100,4,4,30,32,0
4433,,BS2DCE,,cal_roto,5,success,100,4,4,75,84,0
4434,,BS2DCE,,cal_roto,5,success,100,4,4,97,112,0
4435,,BS2DCE,,cal_roto,5,success,100,4,4,107,129,0
4436,,BS2DCE,,cal_roto,5,success,100,4,4,166,197,0
4437,,BS2DCE,,cal_roto,5,success,100,4,4,73,86,0
4438,,BS2DCE,,cal_roto,5,success,100,4,4,8,9,0
4439,,BS2DCE,,cal_roto,5,success,100,4,4,115,133,0
4440,,BS2DCE,,cal_roto,5,success,100,4,4,22,25,0
4441,,BS2DCE,,cal_roto,5,success,100,4,4,1,1,0
4442,,BS2DCE,,cal_roto,5,success,100,4,4,11,12,0
4443,,BS2DCE,,cal_roto,5,success,100,4,4,11,11,0
4444,,BS2DCE,,cal_roto,5,success,100,4,4,14,15,0
4445,,BS2DCE,,cal_roto,5,success,100,4,4,30,31,0
4446,,BS2DCE,,cal_roto,5,success,100,4,4,127,139,0
4447,,BS2DCE,,cal_roto,5,success,100,4,4,39,45,0
4448,,BS2DCE,,cal_roto,5,success,100,4,4,78,82,0
4449,,BS2DCE,,cal_roto,5,success,100,4,4,5,6,0
4450,,BS2DCE,,cal_roto,5,success,100,4,4,33,34,0
4451,,BS2DCE,,cal_roto,5,success,100,4,4,65,70,0
4452,,BS2DCE,,cal_roto,5,success,100,4,4,74,82,0
4453,,BS2DCE,,cal_roto,5,success,100,4,4,89,104,0
4454,,BS2DCE,,cal_roto,5,success,100,4,4,103,122,0
4455,,BS2DCE,,cal_roto,5,success,100,4,4,130,155,0
4456,,BS2DCE,,cal_roto,5,success,100,4,4,30,35,0
4457,,BS2DCE,,cal_roto,5,success,100,4,4,79,86,0
4458,,BS2DCE,,cal_roto,5,success,100,4,4,73,86,0
4459,,BS2DCE,,cal_roto,5,success,100,4,4,32,37,0
4460,,BS2DCE,,cal_roto,5,success,100,4,4,5,5,0
4461,,BS2DCE,,cal_roto,5,success,100,4,4,9,9,0
4462,,BS2DCE,,cal_roto,5,success,100,4,4,21,23,0
4463,,BS2DCE,,cal_roto,5,success,100,4,4,16,17,0
4464,,BS2DCE,,cal_roto,5,success,100,4,4,169,196,0
4465,,BS2DCE,,cal_roto,5,success,100,4,4,143,156,0
4466,,BS2DCE,,cal_roto,5,success,100,4,4,145,158,0
4467,,BS2DCE,,cal_roto,5,success,100,4,4,71,76,0
4468,,BS2DCE,,cal_roto,5,success,100,4,4,140,155,0
4469,,BS2DCE,,cal_roto,5,success,100,4,4,63,67,0
4470,,BS2DCE,,cal_roto,5,success,100,4,4,90,96,0
4471,,BS2DCE,,cal_roto,5,success,100,4,4,84,95,0
4472,,BS2DCE,,cal_roto,5,success,100,4,4,57,68,0
4473,,BS2DCE,,cal_roto,5,success,100,4,4,141,169,0
4474,,BS2DCE,,cal_roto,5,success,100,4,4,117,140,0
4475,,BS2DCE,,cal_roto,5,success,100,4,4,20,24,0
4476,,BS2DCE,,cal_roto,5,success,100,4,4,108,130,0
4477,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
4478,,BS2DCE,,cal_roto,5,success,98,4,4,40,45,0
4479,,BS2DCE,,cal_roto,5,success,98,4,4,37,42,0
4480,,BS2DCE,,cal_roto,5,success,98,4,4,1,1,0
4481,,BS2DCE,,cal_roto,5,success,98,4,4,31,35,0
4482,,BS2DCE,,cal_roto,5,success,99,4,4,24,26,0
4483,,BS2DCE,,cal_roto,5,success,99,4,4,16,17,0
4484,,BS2DCE,,cal_roto,5,success,99,4,4,0,1,0
4485,,BS2DCE,,cal_roto,5,success,99,4,4,116,129,0
4486,,BS2DCE,,cal_roto,5,success,99,4,4,74,84,0
4487,,BS2DCE,,cal_roto,5,success,99,4,4,60,65,0
4488,,BS2DCE,,cal_roto,5,success,99,4,4,9,10,0
4489,,BS2DCE,,cal_roto,5,success,99,4,4,73,77,0
4490,,BS2DCE,,cal_roto,5,success,100,4,4,72,80,0
4491,,BS2DCE,,cal_roto,5,success,100,4,4,65,74,0
4492,,BS2DCE,,cal_roto,5,success,100,4,4,55,64,0
4493,,BS2DCE,,cal_roto,5,success,100,4,4,94,113,0
4494,,BS2DCE,,cal_roto,5,success,100,4,4,109,128,0
4495,,BS2DCE,,cal_roto,5,success,100,4,4,1,2,0
4496,,BS2DCE,,cal_roto,5,success,100,4,4,29,33,0
4497,,BS2DCE,,cal_roto,5,success,100,4,4,36,41,0
4498,,BS2DCE,,cal_roto,5,success,100,4,4,14,16,0
4499,,BS2DCE,,cal_roto,5,success,100,4,4,10,12,0
4500,,BS2DCE,,cal_roto,5,success,100,4,4,15,17,0
4501,,BS2DCE,,cal_roto,5,success,100,4,4,41,44,0
4502,,BS2DCE,,cal_roto,5,success,100,4,4,5,6,0
4503,,BS2DCE,,cal_roto,5,success,100,4,4,95,104,0
4504,,BS2DCE,,cal_roto,5,success,100,4,4,53,62,0
4505,,BS2DCE,,cal_roto,5,success,100,4,4,92,99,0
4506,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
4507,,BS2DCE,,cal_roto,5,success,98,4,4,15,17,0
4508,,BS2DCE,,cal_roto,5,success,98,4,4,2,3,0
4509,,BS2DCE,,cal_roto,5,success,98,4,4,50,53,0
4510,,BS2DCE,,cal_roto,5,success,98,4,4,48,52,0
4511,,BS2DCE,,cal_roto,5,success,98,4,4,75,85,0
4512,,BS2DCE,,cal_roto,5,success,98,4,4,89,104,0
4513,,BS2DCE,,cal_roto,5,success,98,4,4,69,83,0
4514,,BS2DCE,,cal_roto,5,success,99,4,4,32,37,0
4515,,BS2DCE,,cal_roto,5,success,99,4,4,81,96,0
4516,,BS2DCE,,cal_roto,5,success,99,4,4,145,166,0
4517,,BS2DCE,,cal_roto,5,success,99,4,4,45,50,0
4518,,BS2DCE,,cal_roto,5,success,99,4,4,2,2,0
4519,,BS2DCE,,cal_roto,5,success,99,4,4,36,40,0
4520,,BS2DCE,,cal_roto,5,success,99,4,4,60,65,0
4521,,BS2DCE,,cal_roto,5,success,99,4,4,10,10,0
4522,,BS2DCE,,cal_roto,5,success,100,4,4,84,87,0
4523,,BS2DCE,,cal_roto,5,success,100,4,4,40,43,0
4524,,BS2DCE,,cal_roto,5,success,100,4,4,14,15,0
4525,,BS2DCE,,cal_roto,5,success,100,4,4,58,63,0
4526,,BS2DCE,,cal_roto,5,success,100,4,4,31,33,0
4527,,BS2DCE,,cal_roto,5,success,100,4,4,15,15,0
4528,,BS2DCE,,cal_roto,5,success,100,4,4,36,39,0
4529,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
4530,,BS2DCE,,cal_roto,5,success,99,4,4,83,93,0
4531,,BS2DCE,,cal_roto,5,success,99,4,4,90,103,0
4532,,BS2DCE,,cal_roto,5,success,99,4,4,79,93,0
4533,,BS2DCE,,cal_roto,5,success,99,4,4,72,86,0
4534,,BS2DCE,,cal_roto,5,success,99,4,4,56,65,0
4535,,BS2DCE,,cal_roto,5,success,99,4,4,11,13,0
4536,,BS2DCE,,cal_roto,5,success,99,4,4,56,63,0
4537,,BS2DCE,,cal_roto,5,success,99,4,4,13,15,0
4538,,BS2DCE,,cal_roto,5,success,100,4,4,12,14,0
4539,,BS2DCE,,cal_roto,5,success,100,4,4,5,6,0
4540,,BS2DCE,,cal_roto,5,success,100,4,4,50,54,0
4541,,BS2DCE,,cal_roto,5,success,100,4,4,4,5,0
4542,,BS2DCE,,cal_roto,5,success,100,4,4,58,59,0
