sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
10931,,BS2DCE,,0,ok,2560,2560,100,3,0
10931,,BS2DCE,,1,ok,2420,2420,66,2,1
10931,,BS2DCE,,2,ok,3224,3224,66,2,1
10931,,BS2DCE,,3,ok,1632,1632,100,3,0
10931,,BS2DCE,,4,ok,2708,2708,100,3,0
10931,,BS2DCE,,5,ok,2163,2163,100,3,0
10932,,BS2DCE,,0,timeout,0,2560,75,3,1
10932,,BS2DCE,,1,ok,3023,3023,75,3,1
10932,,BS2DCE,,2,ok,2905,2905,75,3,1
10932,,BS2DCE,,3,ok,1747,1747,100,4,0
10932,,BS2DCE,,4,ok,2733,2733,100,4,0
10932,,BS2DCE,,5,reject,2904,2163,75,3,1
10932,,BS2DCE,,6,reject,2738,3198,75,3,1
10933,,BS2DCE,,0,ok,2866,2866,80,4,1
10933,,BS2DCE,,1,timeout,0,3023,60,3,2
10933,,BS2DCE,,2,ok,2899,2899,80,4,1
10933,,BS2DCE,,3,ok,1945,1945,100,5,0
10933,,BS2DCE,,4,ok,2798,2798,100,5,0
10933,,BS2DCE,,5,reject,3344,2163,60,3,2
10933,,BS2DCE,,6,reject,2662,3198,60,3,2
10933,,BS2DCE,,7,reject,2993,3445,60,3,2
10934,,BS2DCE,,0,reject,1944,2866,66,4,2
10934,,BS2DCE,,1,reject,3540,3023,50,3,3
10934,,BS2DCE,,2,ok,2872,2872,83,5,1
10934,,BS2DCE,,3,ok,1882,1882,100,6,0
10934,,BS2DCE,,4,ok,2854,2854,100,6,0
10934,,BS2DCE,,5,reject,3058,2163,50,3,3
10935,,BS2DCE,,0,reject,0,2866,57,4,3
10935,,BS2DCE,,1,timeout,0,3023,42,3,4
10935,,BS2DCE,,2,ok,2878,2878,85,6,1
10935,,BS2DCE,,3,ok,1897,1897,100,7,0
10935,,BS2DCE,,4,ok,2916,2916,100,7,0
10935,,BS2DCE,,5,reject,2713,2163,42,3,4
10935,,BS2DCE,,6,reject,2565,3198,42,3,4
10936,,BS2DCE,,0,ok,3105,3105,62,5,3
10936,,BS2DCE,,1,ok,2825,2825,50,4,4
10936,,BS2DCE,,2,ok,2684,2684,87,7,1
10936,,BS2DCE,,3,ok,1996,1996,100,8,0
10936,,BS2DCE,,4,ok,3014,3014,100,8,0
10936,,BS2DCE,,5,reject,2732,2163,37,3,5
10936,,BS2DCE,,6,ok,2810,2810,50,4,4
10936,,BS2DCE,,7,ok,3093,3093,50,4,4
10937,,BS2DCE,,0,ok,3265,3265,66,6,3
10937,,BS2DCE,,1,ok,2425,2425,55,5,4
10937,,BS2DCE,,2,ok,2808,2808,88,8,1
10937,,BS2DCE,,3,ok,1901,1901,100,9,0
10937,,BS2DCE,,4,ok,3227,3227,100,9,0
10937,,BS2DCE,,5,ok,2158,2158,44,4,5
10938,,BS2DCE,,0,ok,3151,3151,70,7,3
10938,,BS2DCE,,1,ok,2030,2030,60,6,4
10938,,BS2DCE,,2,ok,3073,3073,90,9,1
10938,,BS2DCE,,3,ok,1562,1562,100,10,0
10938,,BS2DCE,,4,ok,2934,2934,100,10,0
10938,,BS2DCE,,5,ok,1947,1947,50,5,5
10938,,BS2DCE,,6,ok,2782,2782,60,6,4
10939,,BS2DCE,,2,ok,3106,3106,90,10,1
10939,,BS2DCE,,3,ok,1278,1278,100,11,0
10940,,BS2DCE,,2,ok,3125,3125,91,11,1
10940,,BS2DCE,,3,ok,1344,1344,100,12,0
10940,,BS2DCE,,4,ok,2630,2630,100,12,0
10940,,BS2DCE,,6,ok,3204,3204,66,8,4
10941,,BS2DCE,,2,ok,3023,3023,92,12,1
10941,,BS2DCE,,3,ok,1342,1342,100,13,0
10941,,BS2DCE,,4,ok,2646,2646,100,13,0
10942,,BS2DCE,,2,ok,2987,2987,92,13,1
10942,,BS2DCE,,3,ok,1511,1511,100,14,0
10943,,BS2DCE,,2,ok,2924,2924,93,14,1
10943,,BS2DCE,,3,ok,1731,1731,100,15,0
10943,,BS2DCE,,4,ok,2681,2681,100,15,0
10943,,BS2DCE,,6,ok,2849,2849,73,11,4
10944,,BS2DCE,,2,ok,2870,2870,93,15,1
10944,,BS2DCE,,3,ok,1832,1832,100,16,0
10944,,BS2DCE,,6,ok,2772,2772,75,12,4
10945,,BS2DCE,,2,ok,2920,2920,94,16,1
10945,,BS2DCE,,3,ok,2004,2004,100,17,0
10946,,BS2DCE,,2,ok,2977,2977,94,17,1
10946,,BS2DCE,,3,ok,1895,1895,100,18,0
10946,,BS2DCE,,4,ok,2813,2813,100,18,0
10946,,BS2DCE,,6,ok,2485,2485,77,14,4
10947,,BS2DCE,,2,ok,2810,2810,94,18,1
10947,,BS2DCE,,3,ok,1939,1939,100,19,0
10947,,BS2DCE,,4,ok,2938,2938,100,19,0
10948,,BS2DCE,,2,ok,2693,2693,95,19,1
10948,,BS2DCE,,3,ok,2087,2087,100,20,0
10949,,BS2DCE,,2,ok,2716,2716,95,20,1
10949,,BS2DCE,,3,ok,2003,2003,100,21,0
10949,,BS2DCE,,4,ok,3166,3166,100,21,0
10949,,BS2DCE,,6,ok,2506,2506,80,17,4
10950,,BS2DCE,,2,ok,2675,2675,95,21,1
10950,,BS2DCE,,3,ok,1910,1910,100,22,0
10950,,BS2DCE,,4,ok,3165,3165,100,22,0
10951,,BS2DCE,,2,ok,2876,2876,95,22,1
10951,,BS2DCE,,3,ok,1761,1761,100,23,0
10952,,BS2DCE,,2,ok,2806,2806,95,23,1
10952,,BS2DCE,,3,ok,1619,1619,100,24,0
