sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
8552,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8553,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8554,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8555,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8556,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8557,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8558,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8559,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8560,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8561,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8562,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8563,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8564,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8565,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8566,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8567,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8568,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8569,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8570,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8571,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8572,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8573,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8574,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8575,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8576,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8577,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8578,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8579,,BSDC91,,cal_roto,5,100,"D,B,E,G","ok,ok,ok,ok","100,100,100,100"
8580,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8581,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8582,,BSDC91,,cal_roto,5,100,"B,D,G,E","ok,ok,ok,ok","100,100,100,100"
8583,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
8584,,BSDC91,,cal_roto,5,100,"B,D,E,G","ok,ok,ok,ok","100,100,100,100"
