sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
23132,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
23133,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
23134,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
23135,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
23136,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
23137,,BSF66F,,cal_static,4,pending,87,4,2,0,0,0
23138,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
23139,,BSF66F,,cal_static,4,pending,89,4,4,0,0,0
23140,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
23141,,BSF66F,,cal_static,4,pending,90,4,4,0,0,0
8552,,BSDC91,,cal_roto,5,success,100,4,4,666,962,0
23142,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
8553,,BSDC91,,cal_roto,5,success,100,4,4,513,753,0
23143,,BSF66F,,cal_static,4,pending,91,4,4,0,0,0
8554,,BSDC91,,cal_roto,5,success,100,4,4,446,634,0
23144,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
8555,,BSDC91,,cal_roto,5,success,100,4,4,172,255,0
23145,,BSF66F,,cal_static,4,pending,92,4,4,0,0,0
8556,,BSDC91,,cal_roto,5,success,100,4,4,114,150,0
23146,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
8557,,BSDC91,,cal_roto,5,success,100,4,4,94,122,0
23147,,BSF66F,,cal_static,4,pending,92,4,4,0,0,0
8558,,BSDC91,,cal_roto,5,success,100,4,4,108,135,0
23148,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
8559,,BSDC91,,cal_roto,5,success,100,4,4,162,215,0
23149,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
8560,,BSDC91,,cal_roto,5,success,100,4,4,85,120,0
10940,,BS2DCE,,cal_roto,5,success,88,4,4,497,766,0
23150,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
10941,,BS2DCE,,cal_roto,5,success,89,4,4,343,496,0
8561,,BSDC91,,cal_roto,5,success,100,4,4,299,409,0
23151,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
10942,,BS2DCE,,cal_roto,5,success,90,4,4,345,496,0
8562,,BSDC91,,cal_roto,5,success,100,4,4,404,589,0
23152,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
10943,,BS2DCE,,cal_roto,5,success,90,4,4,5,7,0
8563,,BSDC91,,cal_roto,5,success,100,4,4,678,835,0
23153,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
10944,,BS2DCE,,cal_roto,5,success,91,4,4,152,196,0
8564,,BSDC91,,cal_roto,5,success,100,4,4,815,1013,0
23154,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
10945,,BS2DCE,,cal_roto,5,success,92,4,4,89,132,0
8565,,BSDC91,,cal_roto,5,success,100,4,4,903,1229,0
23155,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
10946,,BS2DCE,,cal_roto,5,success,92,4,4,73,92,0
8566,,BSDC91,,cal_roto,5,success,100,4,4,832,1231,0
23156,,BSF66F,,cal_static,4,pending,98,4,3,0,0,0
10947,,BS2DCE,,cal_roto,5,success,92,4,4,123,166,0
8567,,BSDC91,,cal_roto,5,success,100,4,4,852,1296,0
23157,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
10948,,BS2DCE,,cal_roto,5,success,93,4,4,37,48,0
8568,,BSDC91,,cal_roto,5,success,100,4,4,869,1311,0
23158,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10949,,BS2DCE,,cal_roto,5,success,93,4,4,60,83,0
8569,,BSDC91,,cal_roto,5,success,100,4,4,930,1398,0
23159,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
10950,,BS2DCE,,cal_roto,5,success,93,4,4,47,67,0
8570,,BSDC91,,cal_roto,5,success,100,4,4,804,1209,0
23160,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10951,,BS2DCE,,cal_roto,5,success,94,4,4,20,27,0
8571,,BSDC91,,cal_roto,5,success,100,4,4,744,1065,0
10952,,BS2DCE,,cal_roto,5,success,94,4,4,14,19,0
23161,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
8572,,BSDC91,,cal_roto,5,success,100,4,4,428,618,0
10953,,BS2DCE,,cal_roto,5,success,94,4,4,63,85,0
23162,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
8573,,BSDC91,,cal_roto,5,success,100,4,4,258,380,0
23163,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
10954,,BS2DCE,,cal_roto,5,success,95,4,4,181,246,0
8574,,BSDC91,,cal_roto,5,success,100,4,4,183,272,0
23164,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10955,,BS2DCE,,cal_roto,5,success,95,4,4,101,145,0
8575,,BSDC91,,cal_roto,5,success,100,4,4,109,147,0
23165,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
10956,,BS2DCE,,cal_roto,5,success,95,4,4,210,324,0
8576,,BSDC91,,cal_roto,5,success,100,4,4,60,91,0
23166,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10957,,BS2DCE,,cal_roto,5,success,95,4,4,271,412,0
8577,,BSDC91,,cal_roto,5,success,100,4,4,159,200,0
23167,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
10958,,BS2DCE,,cal_roto,5,success,95,4,4,50,69,0
8578,,BSDC91,,cal_roto,5,success,100,4,4,136,180,0
23168,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
8579,,BSDC91,,cal_roto,5,success,100,4,4,179,254,0
10959,,BS2DCE,,cal_roto,5,success,95,4,4,527,826,0
23169,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
10960,,BS2DCE,,cal_roto,5,success,95,4,4,382,558,0
8580,,BSDC91,,cal_roto,5,success,100,4,4,286,399,0
23170,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10961,,BS2DCE,,cal_roto,5,success,95,4,4,290,431,0
8581,,BSDC91,,cal_roto,5,success,100,4,4,434,621,0
10962,,BS2DCE,,cal_roto,5,pending,95,4,3,0,0,0
23171,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
8582,,BSDC91,,cal_roto,5,success,100,4,4,671,833,0
10963,,BS2DCE,,cal_roto,5,success,95,4,4,99,147,0
23172,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
8583,,BSDC91,,cal_roto,5,success,100,4,4,838,1067,0
10964,,BS2DCE,,cal_roto,5,success,95,4,4,64,86,0
23173,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
10965,,BS2DCE,,cal_roto,5,success,96,4,4,99,140,0
8584,,BSDC91,,cal_roto,5,success,100,4,4,925,1262,0
23174,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10966,,BS2DCE,,cal_roto,5,success,96,4,4,97,127,0
8585,,BSDC91,,cal_roto,5,success,100,4,4,683,1034,0
23175,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10967,,BS2DCE,,cal_roto,5,success,96,4,4,93,109,0
8586,,BSDC91,,cal_roto,5,success,100,4,4,786,1218,0
23176,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10968,,BS2DCE,,cal_roto,5,success,96,4,4,54,79,0
8587,,BSDC91,,cal_roto,5,success,100,4,4,695,1041,0
23177,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10969,,BS2DCE,,cal_roto,5,success,96,4,4,54,79,0
8588,,BSDC91,,cal_roto,5,success,100,4,4,934,1414,0
23178,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10970,,BS2DCE,,cal_roto,5,success,97,4,4,26,33,0
8589,,BSDC91,,cal_roto,5,success,100,4,4,750,1140,0
23179,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10971,,BS2DCE,,cal_roto,5,success,97,4,4,37,51,0
8590,,BSDC91,,cal_roto,5,success,100,4,4,655,962,0
10972,,BS2DCE,,cal_roto,5,success,97,4,4,18,23,0
23180,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
8591,,BSDC91,,cal_roto,5,success,100,4,4,457,672,0
10973,,BS2DCE,,cal_roto,5,success,97,4,4,28,39,0
23181,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
8592,,BSDC91,,cal_roto,5,success,100,4,4,111,157,0
23182,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10974,,BS2DCE,,cal_roto,5,success,97,4,4,145,176,0
8593,,BSDC91,,cal_roto,5,success,100,4,4,154,231,0
23183,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10975,,BS2DCE,,cal_roto,5,success,97,4,4,146,212,0
8594,,BSDC91,,cal_roto,5,success,100,4,4,100,153,0
10976,,BS2DCE,,cal_roto,5,success,97,4,4,132,214,0
23184,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
8595,,BSDC91,,cal_roto,5,success,100,4,4,96,146,0
23185,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10977,,BS2DCE,,cal_roto,5,success,97,4,4,298,482,0
8596,,BSDC91,,cal_roto,5,success,100,4,4,174,219,0
23186,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
10978,,BS2DCE,,cal_roto,5,success,98,4,4,98,142,0
8597,,BSDC91,,cal_roto,5,success,100,4,4,73,97,0
23187,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
10979,,BS2DCE,,cal_roto,5,success,98,4,4,484,756,0
8598,,BSDC91,,cal_roto,5,success,100,4,4,270,392,0
