host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.352503,1777158551.655553,63800,,BSDC91,,cal_roto,5,A,ok,ok,2539,2539,0,0,100,100
0.35255,1777158551.6556,63800,,BSDC91,,cal_roto,5,B,ok,ok,2174,2174,0,0,100,100
0.354939,1777158551.657989,63800,,BSDC91,,cal_roto,5,C,ok,ok,3083,3083,0,0,100,100
0.378963,1777158551.682014,63800,,BSDC91,,cal_roto,5,D,ok,ok,3343,3343,0,0,100,100
0.381381,1777158551.684431,63800,,BSDC91,,cal_roto,5,E,ok,ok,2753,2753,0,0,100,100
0.381454,1777158551.684505,63800,,BSDC91,,cal_roto,5,F,ok,ok,2531,2531,0,0,100,100
0.382993,1777158551.686044,63800,,BSDC91,,cal_roto,5,G,ok,ok,3260,3260,0,0,100,100
0.402171,1777158551.705222,63800,,BSDC91,,cal_roto,5,H,ok,ok,3666,3666,0,0,100,100
0.558249,1777158551.8613,63801,,BSDC91,,cal_roto,5,A,ok,ok,2528,2528,0,0,100,100
0.560287,1777158551.863338,63801,,BSDC91,,cal_roto,5,B,reject,raw_outlier,2801,2174,0,0,75,75
0.562499,1777158551.865549,63801,,BSDC91,,cal_roto,5,C,ok,ok,3050,3050,0,0,100,100
0.562567,1777158551.865617,63801,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2637,3343,0,0,75,75
0.564252,1777158551.867303,63801,,BSDC91,,cal_roto,5,E,ok,ok,2848,2848,0,0,100,100
0.581414,1777158551.884464,63801,,BSDC91,,cal_roto,5,F,ok,ok,2748,2748,0,0,100,100
0.583005,1777158551.886056,63801,,BSDC91,,cal_roto,5,G,ok,ok,3015,3015,0,0,100,100
0.760896,1777158552.063947,63802,,BSDC91,,cal_roto,5,A,ok,ok,2694,2694,0,0,100,100
0.762512,1777158552.065563,63802,,BSDC91,,cal_roto,5,B,reject,raw_outlier,2873,2174,0,0,60,60
0.764967,1777158552.068018,63802,,BSDC91,,cal_roto,5,C,ok,ok,3030,3030,0,0,100,100
0.765056,1777158552.068107,63802,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2588,3343,0,0,60,60
0.766592,1777158552.069642,63802,,BSDC91,,cal_roto,5,E,ok,ok,2805,2805,0,0,100,100
0.783917,1777158552.086968,63802,,BSDC91,,cal_roto,5,F,ok,ok,2948,2948,0,0,100,100
0.785578,1777158552.088628,63802,,BSDC91,,cal_roto,5,G,ok,ok,2887,2887,0,0,100,100
0.924923,1777158552.227974,63803,,BSDC91,,cal_roto,5,A,ok,ok,2813,2813,0,0,100,100
