host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
0.031029,1777158551.33408,2325,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
0.261658,1777158551.564709,2326,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
0.411768,1777158551.714819,2327,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
0.644281,1777158551.947332,2328,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
0.8016,1777158552.104651,2329,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1.079361,1777158552.382412,2330,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1.208736,1777158552.511787,2331,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1.469285,1777158552.772336,2332,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1.619216,1777158552.922267,2333,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1.85428,1777158553.15733,2334,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
2.009325,1777158553.312375,2335,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
2.240638,1777158553.543688,2336,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
2.426825,1777158553.729875,2337,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
2.646995,1777158553.950045,2338,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
2.804353,1777158554.107404,2339,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
3.06162,1777158554.364671,2340,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
3.269281,1777158554.572332,2341,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
3.449764,1777158554.752815,2342,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
3.63116,1777158554.93421,2343,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,timeout","100,100,100,92"
3.859793,1777158555.162844,2344,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
4.011734,1777158555.314784,2345,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,100,100,93"
4.246279,1777158555.54933,2346,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
4.401664,1777158555.704715,2347,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,100,100,93"
4.679389,1777158555.982439,2348,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
4.809413,1777158556.112464,2349,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,100,100,94"
5.069407,1777158556.372458,2350,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
5.19678,1777158556.499831,2351,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,timeout,ok,ok","100,94,100,94"
5.479759,1777158556.78281,2352,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
5.609792,1777158556.912843,2353,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,ok,ok,ok","100,94,100,94"
5.842252,1777158557.145303,2354,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
6.023614,1777158557.326665,2355,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,ok,ok,ok","100,95,100,95"
6.247026,1777158557.550077,2356,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
6.404273,1777158557.707323,2357,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,ok,ok,ok","100,95,100,95"
6.586329,1777158557.889379,2358,,BSF66F,,cal_static,4,98,"A,B,C,D","ok,ok,ok,timeout","100,100,100,95"
6.839428,1777158558.142479,2359,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,ok,ok,ok","100,95,100,95"
7.070024,1777158558.373074,2360,,BSF66F,,cal_static,4,98,"A,B,C,D","ok,ok,ok,ok","100,100,100,95"
7.231328,1777158558.534378,2361,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,ok,ok,ok","100,95,100,95"
7.46205,1777158558.765101,2362,,BSF66F,,cal_static,4,98,"A,B,C,D","ok,ok,ok,ok","100,100,100,95"
7.612379,1777158558.915429,2363,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,ok,ok,ok","100,95,100,95"
7.846138,1777158559.149188,2364,,BSF66F,,cal_static,4,98,"A,B,C,D","ok,ok,ok,ok","100,100,100,95"
8.001916,1777158559.304967,2365,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
8.331759,1777158559.63481,2366,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
8.437491,1777158559.740542,2367,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
8.667408,1777158559.970459,2368,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
8.819542,1777158560.122593,2369,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
9.054018,1777158560.357068,2370,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
9.20946,1777158560.51251,2371,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
9.464503,1777158560.767553,2372,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
9.623748,1777158560.926798,2373,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
9.874455,1777158561.177506,2374,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
10.004545,1777158561.307596,2375,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
10.259399,1777158561.56245,2376,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
10.387033,1777158561.690083,2377,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
10.649746,1777158561.952797,2378,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
10.831836,1777158562.134886,2379,,BSF66F,,cal_static,4,98,"E,F,G,H","ok,ok,ok,ok","100,96,100,96"
11.062059,1777158562.36511,2380,,BSF66F,,cal_static,4,99,"A,B,C,D","ok,ok,ok,ok","100,100,100,96"
11.212142,1777158562.515192,2381,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
11.446975,1777158562.750025,2382,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
11.602355,1777158562.905406,2383,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
11.877663,1777158563.180714,2384,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
