host_elapsed_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
0.423,3471956,82,D,3,0xa103,0xb103,0xe1,18728,7,2197,124,1670,20
0.623,3472155,83,H,7,0xa107,0xb103,0xe1,18026,7,2047,122,5967,20
0.701,3472234,84,H,7,0xa107,0xb102,0xe1,18987,7,2086,120,6792,20
1.022,3472555,85,H,7,0xa107,0xb103,0xe1,18421,7,1957,118,6179,20
1.101,3472634,86,E,4,0xa104,0xb102,0xe1,17048,7,1936,122,2282,20
1.248,3472780,87,F,5,0xa105,0xb101,0xe1,17665,7,2039,123,7674,20
1.447,3472980,88,H,7,0xa107,0xb101,0xe1,19429,7,2064,118,6865,20
1.824,3473357,89,H,7,0xa107,0xb103,0xe1,19077,7,2202,123,5874,20
1.902,3473435,90,H,7,0xa107,0xb102,0xe1,15330,7,380,57,1939,20
2.048,3473580,91,H,7,0xa107,0xb101,0xe1,18556,7,1938,117,6466,20
2.223,3473756,92,H,7,0xa107,0xb103,0xe1,19640,7,2122,119,7271,20
2.241,3473774,93,C,2,0xa102,0xb101,0xe1,17206,7,1859,119,6486,20
2.701,3474235,94,E,4,0xa104,0xb102,0xe1,19731,7,2204,121,540,20
2.901,3474434,95,E,4,0xa104,0xb102,0xe1,17412,7,1913,120,1405,20
3.101,3474634,96,H,7,0xa107,0xb102,0xe1,17704,7,1849,117,6639,20
3.247,3474780,97,H,7,0xa107,0xb101,0xe1,17679,7,2074,124,5851,20
3.646,3475179,98,H,7,0xa107,0xb101,0xe1,17969,7,2108,124,7019,20
3.902,3475435,99,H,7,0xa107,0xb102,0xe1,18844,7,2036,119,5475,20
4.646,3476179,100,H,7,0xa107,0xb101,0xe1,18493,7,2100,122,7398,20
5.247,3476780,101,H,7,0xa107,0xb101,0xe1,18209,7,2034,121,6196,20
6.246,3477780,102,H,7,0xa107,0xb101,0xe1,18237,7,2071,122,7208,20
6.446,3477979,103,H,7,0xa107,0xb101,0xe1,18685,7,2192,124,5193,20
6.646,3478179,104,H,7,0xa107,0xb101,0xe1,18904,7,2182,123,7021,20
7.301,3478834,105,H,7,0xa107,0xb102,0xe1,18468,7,2029,120,5921,20
8.022,3479555,106,D,3,0xa103,0xb103,0xe1,20769,7,2320,121,6509,20
8.101,3479634,107,H,7,0xa107,0xb102,0xe1,19768,7,2319,124,4866,20
8.502,3480035,108,H,7,0xa107,0xb102,0xe1,15437,7,410,59,3296,20
8.625,3480158,109,H,7,0xa107,0xb103,0xe1,18438,7,2198,125,7326,20
8.643,3480176,110,F,5,0xa105,0xb101,0xe1,18039,7,2015,121,7869,20
8.705,3480238,111,E,4,0xa104,0xb102,0xe1,18421,7,2161,124,4860,20
8.781,3480315,112,E,4,0xa104,0xb102,0xe1,17734,7,1884,118,2948,20
8.822,3480355,113,D,3,0xa103,0xb103,0xe1,19135,7,2173,122,6362,20
8.901,3480435,114,E,4,0xa104,0xb102,0xe1,17413,7,2010,123,1331,20
9.239,3480772,115,A,0,0xa100,0xb101,0xe1,15765,7,1732,120,560,20
9.646,3481180,116,H,7,0xa107,0xb101,0xe1,19469,7,2139,120,5106,20
9.901,3481434,117,H,7,0xa107,0xb102,0xe1,18878,7,2074,120,6991,20
10.046,3481579,118,H,7,0xa107,0xb101,0xe1,18773,7,2097,121,6889,20
10.701,3482235,119,H,7,0xa107,0xb102,0xe1,18196,7,1933,118,6499,20
11.023,3482555,120,H,7,0xa107,0xb103,0xe1,17646,7,1843,117,6584,20
11.101,3482634,121,H,7,0xa107,0xb102,0xe1,18377,7,2019,120,6572,20
11.301,3482834,122,H,7,0xa107,0xb102,0xe1,17873,7,2063,123,6854,20
11.447,3482980,123,H,7,0xa107,0xb101,0xe1,18604,7,1943,117,6207,20
11.503,3483037,124,H,7,0xa107,0xb102,0xe1,18780,7,2029,119,6892,20
11.822,3483356,125,H,7,0xa107,0xb103,0xe1,17978,7,2109,124,6624,20
12.384,3483917,126,H,7,0xa107,0xb102,0xe1,16956,7,1832,119,6468,20
12.501,3484035,127,E,4,0xa104,0xb102,0xe1,19132,7,2102,120,5550,20
12.850,3484380,128,H,7,0xa107,0xb101,0xe1,16164,7,1547,112,6188,20
13.445,3484979,129,H,7,0xa107,0xb101,0xe1,18354,7,1983,119,4454,20
13.701,3485234,130,H,7,0xa107,0xb102,0xe1,18585,7,2008,119,6442,20
13.824,3485358,131,H,7,0xa107,0xb103,0xe1,18243,7,1938,118,3728,20
14.046,3485580,132,H,7,0xa107,0xb101,0xe1,18968,7,1981,117,6493,20
14.446,3485980,133,H,7,0xa107,0xb101,0xe1,15165,7,350,55,2776,20
14.645,3486179,134,H,7,0xa107,0xb101,0xe1,19074,7,2166,122,7238,20
14.845,3486379,135,H,7,0xa107,0xb101,0xe1,19532,7,2040,117,5032,20
15.048,3486580,136,H,7,0xa107,0xb101,0xe1,18493,7,2100,122,6906,20
15.248,3486782,137,F,5,0xa105,0xb101,0xe1,15975,7,1844,123,7231,20
15.700,3487233,138,H,7,0xa107,0xb102,0xe1,19353,7,2091,119,5644,20
16.023,3487555,139,C,2,0xa102,0xb103,0xe1,16418,7,1926,124,6357,20
16.100,3487634,140,H,7,0xa107,0xb102,0xe1,19432,7,2243,123,7109,20
16.224,3487758,141,H,7,0xa107,0xb103,0xe1,17923,7,1904,118,6054,20
16.500,3488034,142,E,4,0xa104,0xb102,0xe1,18295,7,2181,125,3738,20
17.101,3488635,143,H,7,0xa107,0xb102,0xe1,18370,7,2052,121,6533,20
17.224,3488758,144,D,3,0xa103,0xb103,0xe1,17453,7,1982,122,4646,20
17.424,3488958,145,H,7,0xa107,0xb103,0xe1,18013,7,1979,120,6913,20
17.624,3489158,146,D,3,0xa103,0xb103,0xe1,19933,7,2190,120,6494,20
17.901,3489434,147,E,4,0xa104,0xb102,0xe1,17716,7,1979,121,3690,20
18.222,3489756,148,H,7,0xa107,0xb103,0xe1,17363,7,1876,119,6171,20
18.301,3489835,149,E,4,0xa104,0xb102,0xe1,17443,7,1853,118,2341,20
19.846,3491380,150,F,5,0xa105,0xb101,0xe1,18472,7,2167,124,7816,20
20.245,3491779,151,F,5,0xa105,0xb101,0xe1,17146,7,2044,125,8044,20
20.622,3492156,152,H,7,0xa107,0xb103,0xe1,18486,7,2031,120,6513,20
20.640,3492174,153,A,0,0xa100,0xb101,0xe1,17559,7,1994,122,2078,20
20.700,3492234,154,H,7,0xa107,0xb102,0xe1,17202,7,2018,124,3880,20
20.824,3492358,155,D,3,0xa103,0xb103,0xe1,17422,7,2011,123,3108,20
21.023,3492557,156,H,7,0xa107,0xb103,0xe1,19247,7,2150,121,6849,20
21.302,3492837,157,E,4,0xa104,0xb102,0xe1,18267,7,2143,124,5494,20
21.421,3492955,158,H,7,0xa107,0xb103,0xe1,17949,7,1972,120,6484,20
21.513,3493034,159,E,4,0xa104,0xb102,0xe1,17639,7,2036,123,5051,20
21.622,3493156,160,C,2,0xa102,0xb103,0xe1,17166,7,1886,120,6816,20
22.021,3493555,161,D,3,0xa103,0xb103,0xe1,18519,7,2103,122,1970,20
22.101,3493634,162,H,7,0xa107,0xb102,0xe1,18246,7,2072,122,6626,20
22.300,3493834,163,E,4,0xa104,0xb102,0xe1,18141,7,2094,123,6359,20
22.646,3494180,164,H,7,0xa107,0xb101,0xe1,18859,7,2072,120,6346,20
23.021,3494556,165,H,7,0xa107,0xb103,0xe1,18652,7,2153,123,7006,20
23.100,3494635,166,H,7,0xa107,0xb102,0xe1,18080,7,2121,124,6901,20
23.501,3495034,167,H,7,0xa107,0xb102,0xe1,18092,7,2021,121,5397,20
23.700,3495234,168,H,7,0xa107,0xb102,0xe1,17951,7,1907,118,5591,20
23.846,3495381,169,H,7,0xa107,0xb101,0xe1,16940,7,670,72,3601,20
24.037,3495572,170,D,3,0xa103,0xb101,0xe1,19446,7,2101,119,1832,20
24.237,3495772,171,D,3,0xa103,0xb101,0xe1,20015,7,2348,124,5095,20
24.645,3496180,172,H,7,0xa107,0xb101,0xe1,18764,7,2096,121,6506,20
25.020,3496555,173,H,7,0xa107,0xb103,0xe1,19578,7,2151,120,6641,20
25.102,3496634,174,H,7,0xa107,0xb102,0xe1,18990,7,2192,123,5529,20
25.445,3496980,175,H,7,0xa107,0xb101,0xe1,18286,7,2009,120,6640,20
25.902,3497435,176,E,4,0xa104,0xb102,0xe1,13374,6,125,35,1317,20
26.244,3497779,177,H,7,0xa107,0xb101,0xe1,18155,7,2028,121,6975,20
27.625,3499159,178,C,2,0xa102,0xb103,0xe1,18290,7,2077,122,7238,20
27.642,3499177,179,F,5,0xa105,0xb101,0xe1,16283,7,1789,120,7206,20
28.220,3499755,180,H,7,0xa107,0xb103,0xe1,19470,7,2211,122,6837,20
28.445,3499979,181,H,7,0xa107,0xb101,0xe1,18039,7,1884,117,3260,20
28.645,3500180,182,H,7,0xa107,0xb101,0xe1,18595,7,2043,120,4636,20
29.645,3501180,183,F,5,0xa105,0xb101,0xe1,16848,7,1851,120,7514,20
29.847,3501382,184,F,5,0xa105,0xb101,0xe1,16906,7,1796,118,7739,20
30.099,3501634,185,H,7,0xa107,0xb102,0xe1,19137,7,2245,124,5024,20
30.447,3501982,186,H,7,0xa107,0xb101,0xe1,19293,7,2227,123,5435,20
30.902,3502437,187,E,4,0xa104,0xb102,0xe1,19288,7,2049,118,3730,20
31.047,3502582,188,H,7,0xa107,0xb101,0xe1,18128,7,2025,121,6889,20
31.098,3502633,189,H,7,0xa107,0xb102,0xe1,19211,7,2146,121,7276,20
31.445,3502980,190,F,5,0xa105,0xb101,0xe1,15715,7,1037,93,5790,20
32.502,3504037,191,H,7,0xa107,0xb102,0xe1,19123,7,2101,120,7173,20
32.620,3504155,192,H,7,0xa107,0xb103,0xe1,19269,7,2117,120,6161,20
32.699,3504234,193,E,4,0xa104,0xb102,0xe1,17826,7,1926,119,4384,20
32.899,3504434,194,H,7,0xa107,0xb102,0xe1,18493,7,1998,119,4698,20
33.044,3504579,195,F,5,0xa105,0xb101,0xe1,15958,7,1842,123,7428,20
33.446,3504982,196,H,7,0xa107,0xb101,0xe1,18218,7,2035,121,6705,20
34.444,3505979,197,H,7,0xa107,0xb101,0xe1,18111,7,1924,118,6726,20
34.644,3506179,198,H,7,0xa107,0xb101,0xe1,19579,7,2080,118,5428,20
34.846,3506382,199,F,5,0xa105,0xb101,0xe1,16128,7,1892,124,7614,20
35.246,3506780,200,F,5,0xa105,0xb101,0xe1,18444,7,2129,123,7979,20
35.645,3507180,201,H,7,0xa107,0xb101,0xe1,18818,7,2137,122,6439,20
35.845,3507380,202,F,5,0xa105,0xb101,0xe1,16204,7,1901,124,7650,20
36.499,3508034,203,E,4,0xa104,0xb102,0xe1,18459,7,2062,121,4048,20
36.646,3508181,204,F,5,0xa105,0xb101,0xe1,17859,7,2028,122,7745,20
36.702,3508237,205,E,4,0xa104,0xb102,0xe1,19657,7,2306,124,2798,20
36.820,3508355,206,D,3,0xa103,0xb103,0xe1,17483,7,1826,117,3923,20
37.036,3508572,207,D,3,0xa103,0xb101,0xe1,19753,7,2063,117,6828,20
37.099,3508633,208,E,4,0xa104,0xb102,0xe1,19196,7,2109,120,3191,20
38.041,3509576,209,F,5,0xa105,0xb101,0xe1,16044,7,1822,122,7311,20
38.420,3509956,210,D,3,0xa103,0xb103,0xe1,18481,7,2168,124,4938,20
38.438,3509974,211,A,0,0xa100,0xb101,0xe1,17119,7,1976,123,956,20
38.498,3510034,212,E,4,0xa104,0xb102,0xe1,19344,7,2090,119,1875,20
38.658,3510180,213,F,5,0xa105,0xb101,0xe1,15747,7,1759,121,7261,20
