sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
58381,,BS2DCE,,cal_roto,5,pending,85,4,2,0,0,0
58382,,BS2DCE,,cal_roto,5,success,86,4,4,143,203,0
58383,,BS2DCE,,cal_roto,5,success,87,4,4,103,147,0
58384,,BS2DCE,,cal_roto,5,success,87,4,4,155,218,0
58385,,BS2DCE,,cal_roto,5,success,88,4,4,110,158,0
58386,,BS2DCE,,cal_roto,5,pending,87,4,3,0,0,0
58387,,BS2DCE,,cal_roto,5,success,88,4,4,64,91,0
58388,,BS2DCE,,cal_roto,5,pending,87,4,3,0,0,0
58389,,BS2DCE,,cal_roto,5,success,88,4,4,3,5,0
58390,,BS2DCE,,cal_roto,5,pending,88,4,3,0,0,0
58391,,BS2DCE,,cal_roto,5,success,88,4,4,16,22,0
58392,,BS2DCE,,cal_roto,5,success,88,4,4,44,60,0
58393,,BS2DCE,,cal_roto,5,pending,88,4,3,0,0,0
58394,,BS2DCE,,cal_roto,5,success,88,4,4,116,166,0
58395,,BS2DCE,,cal_roto,5,success,89,4,4,132,191,0
58396,,BS2DCE,,cal_roto,5,success,89,4,4,103,156,0
58397,,BS2DCE,,cal_roto,5,success,89,4,4,81,125,0
58398,,BS2DCE,,cal_roto,5,pending,91,4,3,0,0,0
58399,,BS2DCE,,cal_roto,5,success,91,4,4,99,154,0
58400,,BS2DCE,,cal_roto,5,pending,90,4,3,0,0,0
58401,,BS2DCE,,cal_roto,5,success,91,4,4,112,183,0
58402,,BS2DCE,,cal_roto,5,success,91,4,4,149,242,0
58403,,BS2DCE,,cal_roto,5,pending,90,4,3,0,0,0
58404,,BS2DCE,,cal_roto,5,success,91,4,4,184,290,0
58405,,BS2DCE,,cal_roto,5,success,91,4,4,176,286,0
58406,,BS2DCE,,cal_roto,5,success,92,4,4,125,179,0
58407,,BS2DCE,,cal_roto,5,success,92,4,4,127,184,0
58408,,BS2DCE,,cal_roto,5,pending,91,4,3,0,0,0
58409,,BS2DCE,,cal_roto,5,success,91,4,4,142,225,0
58410,,BS2DCE,,cal_roto,5,success,92,4,4,167,243,0
58411,,BS2DCE,,cal_roto,5,success,92,4,4,59,88,0
58412,,BS2DCE,,cal_roto,5,success,92,4,4,107,157,0
58413,,BS2DCE,,cal_roto,5,success,92,4,4,110,162,0
58414,,BS2DCE,,cal_roto,5,pending,91,4,2,0,0,0
58415,,BS2DCE,,cal_roto,5,success,91,4,4,21,30,0
58416,,BS2DCE,,cal_roto,5,pending,89,4,2,0,0,0
58417,,BS2DCE,,cal_roto,5,success,90,4,4,6,8,0
58418,,BS2DCE,,cal_roto,5,pending,88,4,3,0,0,0
58419,,BS2DCE,,cal_roto,5,success,89,4,4,10,14,0
58420,,BS2DCE,,cal_roto,5,success,89,4,4,9,13,0
58421,,BS2DCE,,cal_roto,5,pending,89,4,3,0,0,0
58422,,BS2DCE,,cal_roto,5,success,90,4,4,121,178,0
58423,,BS2DCE,,cal_roto,5,success,90,4,4,94,143,0
58424,,BS2DCE,,cal_roto,5,success,90,4,4,118,184,0
58425,,BS2DCE,,cal_roto,5,success,90,4,4,104,160,0
58426,,BS2DCE,,cal_roto,5,success,91,4,4,99,143,0
58427,,BS2DCE,,cal_roto,5,pending,90,4,3,0,0,0
58428,,BS2DCE,,cal_roto,5,success,90,4,4,93,144,0
58429,,BS2DCE,,cal_roto,5,success,91,4,4,141,209,0
58430,,BS2DCE,,cal_roto,5,pending,91,4,3,0,0,0
58431,,BS2DCE,,cal_roto,5,success,91,4,4,149,237,0
58432,,BS2DCE,,cal_roto,5,success,91,4,4,168,268,0
58433,,BS2DCE,,cal_roto,5,pending,91,4,3,0,0,0
58434,,BS2DCE,,cal_roto,5,success,91,4,4,127,207,0
58435,,BS2DCE,,cal_roto,5,success,91,4,4,122,201,0
58436,,BS2DCE,,cal_roto,5,pending,90,4,3,0,0,0
58437,,BS2DCE,,cal_roto,5,success,91,4,4,173,258,0
