sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
58381,,BS2DCE,,cal_roto,5,85,"A,C,F,G","reject,timeout,ok,ok","93,68,81,100"
58382,,BS2DCE,,cal_roto,5,86,"C,A,F,G","ok,ok,ok,ok","70,94,82,100"
58383,,BS2DCE,,cal_roto,5,87,"C,A,F,G","ok,ok,ok,ok","72,94,83,100"
58384,,BS2DCE,,cal_roto,5,87,"A,C,F,G","ok,ok,ok,ok","94,73,84,100"
58385,,BS2DCE,,cal_roto,5,88,"A,C,F,G","ok,ok,ok,ok","95,75,85,100"
58386,,BS2DCE,,cal_roto,5,87,"A,C,F,G","timeout,ok,ok,ok","90,76,85,100"
58387,,BS2DCE,,cal_roto,5,88,"A,C,G,F","ok,ok,ok,ok","90,77,100,86"
58388,,BS2DCE,,cal_roto,5,87,"A,C,F,G","timeout,ok,ok,ok","86,78,86,100"
58389,,BS2DCE,,cal_roto,5,88,"A,C,F,G","ok,ok,ok,ok","87,79,87,100"
58390,,BS2DCE,,cal_roto,5,88,"C,A,F,G","timeout,ok,ok,ok","76,88,88,100"
58391,,BS2DCE,,cal_roto,5,88,"C,A,F,G","ok,ok,ok,ok","76,88,88,100"
58392,,BS2DCE,,cal_roto,5,88,"A,C,F,G","ok,ok,ok,ok","88,77,88,100"
58393,,BS2DCE,,cal_roto,5,88,"A,C,F,G","ok,timeout,ok,ok","89,75,89,100"
58394,,BS2DCE,,cal_roto,5,88,"A,C,F,G","ok,ok,ok,ok","89,75,89,100"
58395,,BS2DCE,,cal_roto,5,89,"A,C,G,F","ok,ok,ok,ok","90,76,100,90"
58396,,BS2DCE,,cal_roto,5,89,"A,C,F,G","ok,ok,ok,ok","90,77,90,100"
58397,,BS2DCE,,cal_roto,5,89,"A,C,F,G","ok,ok,ok,ok","90,78,90,100"
58398,,BS2DCE,,cal_roto,5,91,"C,A,F,G","reject,ok,ok,ok","76,94,94,100"
58399,,BS2DCE,,cal_roto,5,91,"C,A,F,G","ok,ok,ok,ok","77,94,94,100"
58400,,BS2DCE,,cal_roto,5,90,"A,C,F,G","ok,timeout,ok,ok","94,73,94,100"
58401,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","95,75,95,100"
58402,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","95,76,95,100"
58403,,BS2DCE,,cal_roto,5,90,"A,C,G,F","timeout,ok,ok,ok","90,77,100,95"
58404,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","91,78,95,100"
58405,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","91,79,95,100"
58406,,BS2DCE,,cal_roto,5,92,"C,A,F,G","ok,ok,ok,ok","80,92,96,100"
58407,,BS2DCE,,cal_roto,5,92,"C,A,F,G","ok,ok,ok,ok","80,92,96,100"
58408,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,timeout,ok","92,81,92,100"
58409,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","92,82,92,100"
58410,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,ok,ok","93,82,93,100"
58411,,BS2DCE,,cal_roto,5,92,"A,C,G,F","ok,ok,ok,ok","93,83,100,93"
58412,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,ok,ok","93,83,93,100"
58413,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,ok,ok","93,84,93,100"
58414,,BS2DCE,,cal_roto,5,91,"C,A,F,G","ok,timeout,timeout,ok","88,88,88,100"
58415,,BS2DCE,,cal_roto,5,91,"C,A,F,G","ok,ok,ok,ok","88,88,88,100"
58416,,BS2DCE,,cal_roto,5,89,"A,C,F,G","ok,reject,timeout,ok","89,84,84,100"
58417,,BS2DCE,,cal_roto,5,90,"A,C,F,G","ok,ok,ok,ok","90,85,85,100"
58418,,BS2DCE,,cal_roto,5,88,"A,C,F,G","ok,ok,timeout,ok","90,85,80,100"
58419,,BS2DCE,,cal_roto,5,89,"A,C,G,F","ok,ok,ok,ok","90,86,100,81"
58420,,BS2DCE,,cal_roto,5,89,"A,C,F,G","ok,ok,ok,ok","91,86,82,100"
58421,,BS2DCE,,cal_roto,5,89,"A,C,F,G","ok,timeout,ok,ok","91,83,83,100"
58422,,BS2DCE,,cal_roto,5,90,"C,A,F,G","ok,ok,ok,ok","84,92,84,100"
58423,,BS2DCE,,cal_roto,5,90,"C,A,F,G","ok,ok,ok,ok","84,92,84,100"
58424,,BS2DCE,,cal_roto,5,90,"A,C,F,G","ok,ok,ok,ok","92,85,85,100"
58425,,BS2DCE,,cal_roto,5,90,"A,C,F,G","ok,ok,ok,ok","92,85,85,100"
58426,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","93,86,86,100"
58427,,BS2DCE,,cal_roto,5,90,"A,C,G,F","ok,timeout,ok,ok","93,83,100,86"
58428,,BS2DCE,,cal_roto,5,90,"A,C,F,G","ok,ok,ok,ok","93,83,87,100"
58429,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","93,84,87,100"
58430,,BS2DCE,,cal_roto,5,91,"C,A,F,G","timeout,ok,ok,ok","82,94,88,100"
58431,,BS2DCE,,cal_roto,5,91,"C,A,F,G","ok,ok,ok,ok","83,94,88,100"
58432,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","94,84,89,100"
58433,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,timeout,ok,ok","95,80,90,100"
58434,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","95,80,90,100"
58435,,BS2DCE,,cal_roto,5,91,"A,C,G,F","ok,ok,ok,ok","95,81,100,90"
58436,,BS2DCE,,cal_roto,5,90,"A,C,F,G","ok,ok,ok,timeout","95,82,91,95"
58437,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","95,83,91,95"
58438,,BS2DCE,,cal_roto,5,92,"C,A,F,G","ok,ok,ok,ok","84,96,92,96"
58439,,BS2DCE,,cal_roto,5,92,"C,A,F,G","ok,ok,ok,ok","84,96,92,96"
58440,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,timeout,ok,ok","96,81,92,96"
58441,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","96,82,92,96"
58442,,BS2DCE,,cal_roto,5,91,"A,C,F,G","timeout,ok,ok,ok","93,82,93,96"
58443,,BS2DCE,,cal_roto,5,91,"A,C,G,F","ok,ok,ok,ok","93,83,96,93"
58444,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","93,83,93,96"
58445,,BS2DCE,,cal_roto,5,91,"A,C,F,G","ok,ok,ok,ok","93,84,93,96"
58446,,BS2DCE,,cal_roto,5,94,"C,A,F,G","ok,ok,ok,ok","88,94,94,100"
58447,,BS2DCE,,cal_roto,5,94,"C,A,F,G","ok,ok,ok,ok","88,94,94,100"
58448,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,timeout,ok,ok","94,84,94,100"
58449,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,ok,ok,ok","95,85,95,100"
58450,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,timeout,ok","95,85,90,100"
58451,,BS2DCE,,cal_roto,5,92,"A,C,G,F","ok,ok,ok,ok","95,86,100,90"
58452,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,ok,ok,ok","95,86,91,100"
58453,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,timeout,ok,ok","95,83,91,100"
58454,,BS2DCE,,cal_roto,5,93,"C,A,F,G","ok,ok,ok,ok","84,96,92,100"
58455,,BS2DCE,,cal_roto,5,92,"C,A,F,G","ok,ok,timeout,ok","84,96,88,100"
58456,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,ok,ok","96,85,88,100"
58457,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,ok,ok","96,85,89,100"
58458,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,ok,ok,ok","96,86,89,100"
58459,,BS2DCE,,cal_roto,5,93,"A,C,G,F","ok,ok,ok,ok","96,86,100,90"
58460,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,ok,ok,ok","96,87,90,100"
58461,,BS2DCE,,cal_roto,5,92,"A,C,F,G","ok,timeout,ok,ok","96,84,90,100"
58462,,BS2DCE,,cal_roto,5,95,"C,A,F,G","ok,ok,ok,ok","88,100,94,100"
58463,,BS2DCE,,cal_roto,5,95,"C,A,F,G","ok,ok,ok,ok","88,100,94,100"
58464,,BS2DCE,,cal_roto,5,95,"A,C,F,G","ok,ok,ok,ok","100,89,94,100"
58465,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,90,95,100"
58466,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,90,95,100"
58467,,BS2DCE,,cal_roto,5,96,"A,C,G,F","ok,ok,ok,ok","100,90,100,95"
58468,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,91,95,100"
58469,,BS2DCE,,cal_roto,5,95,"A,C,F,G","ok,timeout,ok,ok","100,87,95,100"
58470,,BS2DCE,,cal_roto,5,96,"C,A,F,G","ok,ok,ok,ok","88,100,96,100"
58471,,BS2DCE,,cal_roto,5,96,"C,A,F,G","ok,ok,ok,ok","88,100,96,100"
58472,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,88,96,100"
58473,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,89,96,100"
58474,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,89,96,100"
58475,,BS2DCE,,cal_roto,5,96,"A,C,G,F","ok,ok,ok,ok","100,90,100,96"
58476,,BS2DCE,,cal_roto,5,95,"A,C,F,G","timeout,ok,ok,ok","96,90,96,100"
58477,,BS2DCE,,cal_roto,5,95,"A,C,F,G","ok,ok,ok,ok","96,90,96,100"
58478,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","94,100,100,100"
58479,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","94,100,100,100"
58480,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,94,100,100"
58481,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,95,100,100"
58482,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,timeout,ok,ok","100,90,100,100"
58483,,BS2DCE,,cal_roto,5,97,"A,C,G,F","ok,ok,ok,ok","100,90,100,100"
58484,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,ok,ok,ok","100,91,100,100"
58485,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,ok,ok,ok","100,91,100,100"
58486,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","92,100,100,100"
58487,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","92,100,100,100"
58488,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,92,100,100"
58489,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,92,100,100"
58490,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,93,100,100"
58491,,BS2DCE,,cal_roto,5,98,"A,C,G,F","ok,ok,ok,ok","100,93,100,100"
58492,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,93,100,100"
58493,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,timeout,ok,ok","100,90,100,100"
58494,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","94,100,100,100"
58495,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","94,100,100,100"
58496,,BS2DCE,,cal_roto,5,98,"A,C,F,G","ok,ok,ok,ok","100,94,100,100"
58497,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,ok,timeout,ok","100,95,95,100"
58498,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,ok,ok,ok","100,95,95,100"
58499,,BS2DCE,,cal_roto,5,97,"A,C,G,F","ok,ok,ok,ok","100,95,100,95"
58500,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,ok,ok,ok","100,95,95,100"
58501,,BS2DCE,,cal_roto,5,97,"A,C,F,G","ok,ok,ok,ok","100,95,95,100"
58502,,BS2DCE,,cal_roto,5,97,"C,A,F,G","timeout,ok,ok,ok","92,100,96,100"
58503,,BS2DCE,,cal_roto,5,97,"C,A,F,G","ok,ok,ok,ok","92,100,96,100"
58504,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,timeout","100,92,96,96"
58505,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,92,96,96"
58506,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,93,96,96"
58507,,BS2DCE,,cal_roto,5,96,"A,C,G,F","ok,ok,ok,ok","100,93,96,96"
58508,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,93,96,96"
58509,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,93,96,96"
58510,,BS2DCE,,cal_roto,5,98,"C,A,F,G","ok,ok,ok,ok","94,100,100,100"
58511,,BS2DCE,,cal_roto,5,95,"C,A,F,G","timeout,ok,timeout,ok","88,100,94,100"
58512,,BS2DCE,,cal_roto,5,95,"A,C,F,G","ok,ok,ok,ok","100,89,94,100"
58513,,BS2DCE,,cal_roto,5,96,"A,C,F,G","ok,ok,ok,ok","100,90,95,100"
58514,,BS2DCE,,cal_roto,5,95,"A,C,F,G","ok,timeout,ok,ok","100,85,95,100"
58515,,BS2DCE,,cal_roto,5,95,"A,C,G,F","ok,ok,ok,ok","100,86,100,95"
58516,,BS2DCE,,cal_roto,5,95,"A,C,F,G","ok,ok,ok,ok","100,86,95,100"
58517,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,timeout,reject,ok","100,83,91,100"
58518,,BS2DCE,,cal_roto,5,94,"C,A,F,G","ok,ok,ok,ok","84,100,92,100"
58519,,BS2DCE,,cal_roto,5,93,"C,A,F,G","timeout,ok,ok,ok","80,100,92,100"
58520,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,ok,ok,ok","100,81,92,100"
58521,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,ok,ok,ok","100,82,92,100"
58522,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,ok,ok,ok","100,82,93,100"
58523,,BS2DCE,,cal_roto,5,94,"A,C,G,F","ok,ok,ok,ok","100,83,100,93"
58524,,BS2DCE,,cal_roto,5,93,"A,C,F,G","ok,timeout,ok,ok","100,80,93,100"
