sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
62000,,BSDC91,,cal_roto,5,success,89,4,4,115,176,0
62001,,BSDC91,,cal_roto,5,success,89,4,4,92,142,0
62002,,BSDC91,,cal_roto,5,success,90,4,4,58,87,0
62003,,BSDC91,,cal_roto,5,success,91,4,4,22,32,0
62004,,BSDC91,,cal_roto,5,success,91,4,4,60,91,0
62005,,BSDC91,,cal_roto,5,success,91,4,4,69,106,0
62006,,BSDC91,,cal_roto,5,success,92,4,4,228,333,0
62007,,BSDC91,,cal_roto,5,success,92,4,4,237,374,0
62008,,BSDC91,,cal_roto,5,success,93,4,4,177,203,0
62009,,BSDC91,,cal_roto,5,success,93,4,4,103,123,0
62010,,BSDC91,,cal_roto,5,success,93,4,4,38,40,0
62011,,BSDC91,,cal_roto,5,success,93,4,4,49,58,0
62012,,BSDC91,,cal_roto,5,success,93,4,4,102,152,0
62013,,BSDC91,,cal_roto,5,success,93,4,4,61,74,0
62014,,BSDC91,,cal_roto,5,success,94,4,4,40,52,0
62015,,BSDC91,,cal_roto,5,success,94,4,4,196,268,0
62016,,BSDC91,,cal_roto,5,success,95,4,4,75,97,0
62017,,BSDC91,,cal_roto,5,success,95,4,4,23,30,0
62018,,BSDC91,,cal_roto,5,success,95,4,4,14,15,0
62019,,BSDC91,,cal_roto,5,success,96,4,4,96,143,0
62020,,BSDC91,,cal_roto,5,success,96,4,4,84,124,0
62021,,BSDC91,,cal_roto,5,success,96,4,4,102,147,0
62022,,BSDC91,,cal_roto,5,success,96,4,4,79,124,0
62023,,BSDC91,,cal_roto,5,success,96,4,4,34,51,0
62024,,BSDC91,,cal_roto,5,success,97,4,4,67,104,0
62025,,BSDC91,,cal_roto,5,success,97,4,4,33,51,0
62026,,BSDC91,,cal_roto,5,success,97,4,4,178,261,0
62027,,BSDC91,,cal_roto,5,success,97,4,4,170,192,0
62028,,BSDC91,,cal_roto,5,success,97,4,4,219,304,0
62029,,BSDC91,,cal_roto,5,success,97,4,4,22,25,0
62030,,BSDC91,,cal_roto,5,success,97,4,4,44,51,0
62031,,BSDC91,,cal_roto,5,success,97,4,4,99,132,0
62032,,BSDC91,,cal_roto,5,success,98,4,4,41,53,0
62033,,BSDC91,,cal_roto,5,success,98,4,4,74,98,0
62034,,BSDC91,,cal_roto,5,success,98,4,4,53,72,0
62035,,BSDC91,,cal_roto,5,success,98,4,4,100,137,0
62036,,BSDC91,,cal_roto,5,success,98,4,4,95,132,0
62037,,BSDC91,,cal_roto,5,success,98,4,4,47,70,0
62038,,BSDC91,,cal_roto,5,success,98,4,4,101,120,0
62039,,BSDC91,,cal_roto,5,success,98,4,4,70,80,0
62040,,BSDC91,,cal_roto,5,success,99,4,4,115,169,0
62041,,BSDC91,,cal_roto,5,success,99,4,4,72,105,0
62042,,BSDC91,,cal_roto,5,success,99,4,4,57,84,0
62043,,BSDC91,,cal_roto,5,success,99,4,4,16,26,0
62044,,BSDC91,,cal_roto,5,success,99,4,4,53,83,0
62045,,BSDC91,,cal_roto,5,success,99,4,4,100,119,0
62046,,BSDC91,,cal_roto,5,success,99,4,4,154,190,0
62047,,BSDC91,,cal_roto,5,success,99,4,4,126,141,0
62048,,BSDC91,,cal_roto,5,success,100,4,4,12,14,0
62049,,BSDC91,,cal_roto,5,success,100,4,4,37,44,0
62050,,BSDC91,,cal_roto,5,success,100,4,4,100,122,0
62051,,BSDC91,,cal_roto,5,success,100,4,4,33,42,0
62052,,BSDC91,,cal_roto,5,success,100,4,4,30,40,0
62053,,BSDC91,,cal_roto,5,success,100,4,4,45,62,0
62054,,BSDC91,,cal_roto,5,success,100,4,4,115,155,0
62055,,BSDC91,,cal_roto,5,success,100,4,4,79,110,0
62056,,BSDC91,,cal_roto,5,success,100,4,4,53,66,0
62057,,BSDC91,,cal_roto,5,success,100,4,4,71,89,0
62058,,BSDC91,,cal_roto,5,success,100,4,4,103,116,0
62059,,BSDC91,,cal_roto,5,success,100,4,4,101,132,0
62060,,BSDC91,,cal_roto,5,success,100,4,4,62,83,0
62061,,BSDC91,,cal_roto,5,success,100,4,4,80,121,0
62062,,BSDC91,,cal_roto,5,success,100,4,4,22,36,0
62063,,BSDC91,,cal_roto,5,success,100,4,4,73,118,0
62064,,BSDC91,,cal_roto,5,success,100,4,4,194,281,0
62065,,BSDC91,,cal_roto,5,success,100,4,4,202,227,0
62066,,BSDC91,,cal_roto,5,success,100,4,4,233,264,0
62067,,BSDC91,,cal_roto,5,success,100,4,4,100,136,0
62068,,BSDC91,,cal_roto,5,success,100,4,4,61,66,0
62069,,BSDC91,,cal_roto,5,success,100,4,4,87,102,0
62070,,BSDC91,,cal_roto,5,success,100,4,4,52,73,0
62071,,BSDC91,,cal_roto,5,success,100,4,4,14,19,0
62072,,BSDC91,,cal_roto,5,success,100,4,4,100,121,0
62073,,BSDC91,,cal_roto,5,success,100,4,4,67,82,0
62074,,BSDC91,,cal_roto,5,pending,99,4,3,0,0,0
62075,,BSDC91,,cal_roto,5,success,99,4,4,33,40,0
62076,,BSDC91,,cal_roto,5,success,99,4,4,25,31,0
62077,,BSDC91,,cal_roto,5,success,99,4,4,41,57,0
62078,,BSDC91,,cal_roto,5,success,99,4,4,102,134,0
62079,,BSDC91,,cal_roto,5,success,99,4,4,81,101,0
62080,,BSDC91,,cal_roto,5,success,100,4,4,64,92,0
62081,,BSDC91,,cal_roto,5,success,100,4,4,47,73,0
62082,,BSDC91,,cal_roto,5,success,100,4,4,6,10,0
62083,,BSDC91,,cal_roto,5,success,100,4,4,42,67,0
62084,,BSDC91,,cal_roto,5,success,100,4,4,56,68,0
62085,,BSDC91,,cal_roto,5,success,100,4,4,268,360,0
62086,,BSDC91,,cal_roto,5,success,100,4,4,193,233,0
62087,,BSDC91,,cal_roto,5,success,100,4,4,202,253,0
62088,,BSDC91,,cal_roto,5,success,100,4,4,40,41,0
62089,,BSDC91,,cal_roto,5,success,100,4,4,61,69,0
62090,,BSDC91,,cal_roto,5,success,100,4,4,73,97,0
62091,,BSDC91,,cal_roto,5,success,100,4,4,31,39,0
62092,,BSDC91,,cal_roto,5,success,100,4,4,25,33,0
62093,,BSDC91,,cal_roto,5,success,100,4,4,175,233,0
62094,,BSDC91,,cal_roto,5,success,100,4,4,80,107,0
62095,,BSDC91,,cal_roto,5,success,100,4,4,52,68,0
62096,,BSDC91,,cal_roto,5,success,100,4,4,25,29,0
62097,,BSDC91,,cal_roto,5,success,100,4,4,96,137,0
62098,,BSDC91,,cal_roto,5,success,100,4,4,62,89,0
62099,,BSDC91,,cal_roto,5,success,100,4,4,128,182,0
62100,,BSDC91,,cal_roto,5,success,100,4,4,65,95,0
62101,,BSDC91,,cal_roto,5,success,100,4,4,93,132,0
62102,,BSDC91,,cal_roto,5,success,100,4,4,65,103,0
62103,,BSDC91,,cal_roto,5,success,100,4,4,88,115,0
62104,,BSDC91,,cal_roto,5,success,100,4,4,220,273,0
62105,,BSDC91,,cal_roto,5,success,100,4,4,161,177,0
62106,,BSDC91,,cal_roto,5,success,100,4,4,208,259,0
62107,,BSDC91,,cal_roto,5,success,100,4,4,24,27,0
62108,,BSDC91,,cal_roto,5,success,100,4,4,37,43,0
62109,,BSDC91,,cal_roto,5,success,100,4,4,83,100,0
62110,,BSDC91,,cal_roto,5,success,100,4,4,35,46,0
62111,,BSDC91,,cal_roto,5,success,100,4,4,105,122,0
62112,,BSDC91,,cal_roto,5,success,100,4,4,141,174,0
62113,,BSDC91,,cal_roto,5,success,100,4,4,40,60,0
62114,,BSDC91,,cal_roto,5,success,100,4,4,25,31,0
