sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
500,,BSF66F,,cal_static,4,success,100,4,4,17493,18486,0
501,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
502,,BSF66F,,cal_static,4,success,100,4,4,4,4,0
503,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
504,,BSF66F,,cal_static,4,success,100,4,4,17,20,0
505,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
506,,BSF66F,,cal_static,4,success,100,4,4,12,15,0
507,,BSF66F,,cal_static,4,pending,96,4,2,0,0,0
508,,BSF66F,,cal_static,4,success,100,4,4,5,6,0
509,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
510,,BSF66F,,cal_static,4,success,100,4,4,3,4,0
511,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
512,,BSF66F,,cal_static,4,success,100,4,4,12,14,0
513,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
514,,BSF66F,,cal_static,4,pending,100,4,3,0,0,0
515,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
516,,BSF66F,,cal_static,4,success,100,4,4,6,8,0
517,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
518,,BSF66F,,cal_static,4,success,100,4,4,8,10,0
519,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
520,,BSF66F,,cal_static,4,success,100,4,4,6,7,0
521,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
522,,BSF66F,,cal_static,4,success,100,4,4,3245,3995,0
523,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
524,,BSF66F,,cal_static,4,success,100,4,4,18,22,0
525,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
526,,BSF66F,,cal_static,4,success,100,4,4,18,21,0
527,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
528,,BSF66F,,cal_static,4,pending,98,4,3,0,0,0
529,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
530,,BSF66F,,cal_static,4,success,98,4,4,0,0,0
531,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
532,,BSF66F,,cal_static,4,success,98,4,4,7,8,0
533,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
534,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
535,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
536,,BSF66F,,cal_static,4,success,97,4,4,13,15,0
537,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
538,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
539,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
540,,BSF66F,,cal_static,4,success,96,4,4,1792,2446,0
541,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
542,,BSF66F,,cal_static,4,success,96,4,4,41731,42798,0
543,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
544,,BSF66F,,cal_static,4,success,97,4,4,1,1,0
545,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
546,,BSF66F,,cal_static,4,success,97,4,4,7,8,0
547,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
548,,BSF66F,,cal_static,4,success,97,4,4,4,4,0
549,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
550,,BSF66F,,cal_static,4,success,97,4,4,126,203,0
551,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
552,,BSF66F,,cal_static,4,success,97,4,4,4,5,0
553,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
554,,BSF66F,,cal_static,4,success,97,4,4,19,24,0
555,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
556,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
557,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
558,,BSF66F,,cal_static,4,success,96,4,4,2,3,0
559,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
560,,BSF66F,,cal_static,4,success,97,4,4,4,4,0
561,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
562,,BSF66F,,cal_static,4,success,98,4,4,16,18,0
563,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
564,,BSF66F,,cal_static,4,success,98,4,4,13,15,0
565,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
566,,BSF66F,,cal_static,4,success,98,4,4,2,2,0
567,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
568,,BSF66F,,cal_static,4,success,98,4,4,17,20,0
569,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
570,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
571,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
572,,BSF66F,,cal_static,4,success,97,4,4,16,18,0
573,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
574,,BSF66F,,cal_static,4,success,97,4,4,65,108,0
575,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
576,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
577,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
578,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
579,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
580,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
581,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
582,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
583,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
584,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
585,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
586,,BSF66F,,cal_static,4,success,96,4,4,11,13,0
587,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
588,,BSF66F,,cal_static,4,success,96,4,4,936,1357,0
589,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
590,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
591,,BSF66F,,cal_static,4,pending,97,4,2,0,0,0
592,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
593,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
594,,BSF66F,,cal_static,4,success,97,4,4,12,13,0
595,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
596,,BSF66F,,cal_static,4,success,97,4,4,11,12,0
597,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
598,,BSF66F,,cal_static,4,success,97,4,4,17,20,0
599,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
600,,BSF66F,,cal_static,4,success,97,4,4,7426,8358,0
601,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
602,,BSF66F,,cal_static,4,success,97,4,4,18,21,0
603,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
604,,BSF66F,,cal_static,4,success,97,4,4,10,12,0
605,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
606,,BSF66F,,cal_static,4,success,97,4,4,39500,40542,0
607,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
608,,BSF66F,,cal_static,4,success,98,4,4,673,987,0
609,,BSF66F,,cal_static,4,pending,97,4,2,0,0,0
610,,BSF66F,,cal_static,4,success,98,4,4,11,12,0
611,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
612,,BSF66F,,cal_static,4,success,98,4,4,8,10,0
613,,BSF66F,,cal_static,4,pending,95,4,2,0,0,0
614,,BSF66F,,cal_static,4,success,98,4,4,12,14,0
615,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
616,,BSF66F,,cal_static,4,success,98,4,4,5,6,0
617,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
618,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
619,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
620,,BSF66F,,cal_static,4,success,97,4,4,11,13,0
621,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
622,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
623,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
624,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
625,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
626,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
627,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
628,,BSF66F,,cal_static,4,success,95,4,4,11,12,0
629,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
630,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
631,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
632,,BSF66F,,cal_static,4,success,95,4,4,7972,8943,0
633,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
634,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
635,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
636,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
637,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
638,,BSF66F,,cal_static,4,pending,92,4,3,0,0,0
639,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
640,,BSF66F,,cal_static,4,success,93,4,4,13,14,0
641,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
642,,BSF66F,,cal_static,4,success,93,4,4,5,7,0
643,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
644,,BSF66F,,cal_static,4,success,93,4,4,4,5,0
645,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
646,,BSF66F,,cal_static,4,pending,92,4,3,0,0,0
647,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
648,,BSF66F,,cal_static,4,success,93,4,4,11,11,0
649,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
650,,BSF66F,,cal_static,4,pending,92,4,3,0,0,0
651,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
652,,BSF66F,,cal_static,4,pending,91,4,3,0,0,0
653,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
654,,BSF66F,,cal_static,4,success,91,4,4,11,12,0
655,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
656,,BSF66F,,cal_static,4,pending,92,4,3,0,0,0
657,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
658,,BSF66F,,cal_static,4,success,92,4,4,33600,34602,0
659,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
660,,BSF66F,,cal_static,4,success,92,4,4,6479,7410,0
661,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
662,,BSF66F,,cal_static,4,success,93,4,4,18,19,0
663,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
664,,BSF66F,,cal_static,4,success,93,4,4,259,404,0
665,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
666,,BSF66F,,cal_static,4,pending,92,4,3,0,0,0
667,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
668,,BSF66F,,cal_static,4,success,92,4,4,17,19,0
669,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
670,,BSF66F,,cal_static,4,success,93,4,4,53,88,0
671,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
672,,BSF66F,,cal_static,4,success,93,4,4,4,4,0
673,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
674,,BSF66F,,cal_static,4,success,93,4,4,0,0,0
675,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
676,,BSF66F,,cal_static,4,success,94,4,4,13,15,0
677,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
678,,BSF66F,,cal_static,4,success,94,4,4,3,3,0
679,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
680,,BSF66F,,cal_static,4,success,94,4,4,14,16,0
681,,BSF66F,,cal_static,4,pending,92,4,3,0,0,0
682,,BSF66F,,cal_static,4,success,94,4,4,3854,4648,0
683,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
684,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
685,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
686,,BSF66F,,cal_static,4,success,94,4,4,3,3,0
687,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
688,,BSF66F,,cal_static,4,success,94,4,4,1,2,0
689,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
690,,BSF66F,,cal_static,4,success,94,4,4,8,9,0
691,,BSF66F,,cal_static,4,pending,92,4,2,0,0,0
692,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
693,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
694,,BSF66F,,cal_static,4,success,94,4,4,2,3,0
695,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
696,,BSF66F,,cal_static,4,success,94,4,4,18,21,0
697,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
698,,BSF66F,,cal_static,4,success,95,4,4,1,1,0
699,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
700,,BSF66F,,cal_static,4,success,95,4,4,6421,7329,0
701,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
702,,BSF66F,,cal_static,4,success,95,4,4,41,67,0
703,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
704,,BSF66F,,cal_static,4,success,96,4,4,19,24,0
705,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
706,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
707,,BSF66F,,cal_static,4,pending,93,4,4,0,0,0
708,,BSF66F,,cal_static,4,success,94,4,4,13,14,0
709,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
710,,BSF66F,,cal_static,4,success,95,4,4,30925,31956,0
