sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
500,,BSF66F,,4,ok,3271,3271,100,4,0
500,,BSF66F,,5,ok,2427,2427,100,4,0
500,,BSF66F,,6,ok,2484,2484,100,4,0
501,,BSF66F,,0,ok,3180,3180,100,4,0
501,,BSF66F,,1,ok,2616,2616,100,4,0
502,,BSF66F,,4,ok,3181,3181,100,5,0
502,,BSF66F,,5,ok,2442,2442,100,5,0
502,,BSF66F,,6,ok,2482,2482,100,5,0
502,,BSF66F,,7,ok,3162,3162,100,5,0
503,,BSF66F,,0,ok,3225,3225,100,5,0
503,,BSF66F,,1,ok,2609,2609,100,5,0
503,,BSF66F,,2,ok,2496,2496,100,5,0
504,,BSF66F,,4,ok,3183,3183,100,6,0
504,,BSF66F,,5,ok,2403,2403,100,6,0
505,,BSF66F,,0,ok,3285,3285,100,6,0
505,,BSF66F,,1,ok,2674,2674,100,6,0
505,,BSF66F,,2,ok,2441,2441,100,6,0
505,,BSF66F,,3,ok,3140,3140,100,6,0
506,,BSF66F,,4,ok,3243,3243,100,7,0
506,,BSF66F,,5,ok,2426,2426,100,7,0
506,,BSF66F,,6,timeout,0,2427,85,6,1
507,,BSF66F,,0,ok,3288,3288,100,7,0
507,,BSF66F,,1,ok,2644,2644,100,7,0
507,,BSF66F,,2,ok,2382,2382,100,7,0
508,,BSF66F,,4,ok,3271,3271,100,8,0
508,,BSF66F,,5,ok,2419,2419,100,8,0
509,,BSF66F,,0,ok,3197,3197,100,8,0
509,,BSF66F,,1,ok,2662,2662,100,8,0
509,,BSF66F,,2,ok,2451,2451,100,8,0
509,,BSF66F,,3,ok,3126,3126,100,8,0
510,,BSF66F,,4,ok,3216,3216,100,9,0
510,,BSF66F,,5,ok,2441,2441,100,9,0
510,,BSF66F,,6,ok,2469,2469,88,8,1
511,,BSF66F,,0,ok,3226,3226,100,9,0
511,,BSF66F,,1,ok,2676,2676,100,9,0
512,,BSF66F,,4,ok,3213,3213,100,10,0
512,,BSF66F,,5,ok,2436,2436,100,10,0
512,,BSF66F,,6,ok,2470,2470,90,9,1
512,,BSF66F,,7,ok,3208,3208,100,9,0
513,,BSF66F,,0,ok,3200,3200,100,10,0
513,,BSF66F,,1,ok,2665,2665,100,10,0
513,,BSF66F,,2,ok,2395,2395,100,10,0
514,,BSF66F,,4,ok,3239,3239,100,11,0
514,,BSF66F,,5,ok,2389,2389,100,11,0
514,,BSF66F,,6,ok,2472,2472,90,10,1
515,,BSF66F,,0,ok,3270,3270,100,11,0
515,,BSF66F,,1,ok,2651,2651,100,11,0
516,,BSF66F,,4,ok,3210,3210,100,12,0
516,,BSF66F,,5,ok,2414,2414,100,12,0
516,,BSF66F,,6,ok,2451,2451,91,11,1
516,,BSF66F,,7,ok,3170,3170,90,10,1
517,,BSF66F,,0,ok,3258,3258,100,12,0
517,,BSF66F,,1,ok,2638,2638,100,12,0
517,,BSF66F,,2,ok,2444,2444,100,12,0
518,,BSF66F,,4,ok,3255,3255,100,13,0
518,,BSF66F,,5,ok,2429,2429,100,13,0
519,,BSF66F,,0,ok,3213,3213,100,13,0
519,,BSF66F,,1,ok,2674,2674,100,13,0
519,,BSF66F,,2,ok,2423,2423,100,13,0
519,,BSF66F,,3,ok,3123,3123,100,12,0
520,,BSF66F,,4,ok,3290,3290,100,14,0
520,,BSF66F,,5,ok,2406,2406,100,14,0
520,,BSF66F,,6,ok,2468,2468,92,13,1
521,,BSF66F,,0,ok,3172,3172,100,14,0
521,,BSF66F,,1,ok,2649,2649,100,14,0
522,,BSF66F,,4,ok,3216,3216,100,15,0
522,,BSF66F,,5,ok,2406,2406,100,15,0
522,,BSF66F,,6,ok,2478,2478,93,14,1
522,,BSF66F,,7,ok,3169,3169,92,13,1
523,,BSF66F,,0,ok,3175,3175,100,15,0
523,,BSF66F,,1,ok,2614,2614,100,15,0
523,,BSF66F,,2,ok,2432,2432,100,15,0
524,,BSF66F,,4,ok,3216,3216,100,16,0
524,,BSF66F,,5,ok,2428,2428,100,16,0
525,,BSF66F,,0,ok,3180,3180,100,16,0
525,,BSF66F,,1,ok,2659,2659,100,16,0
525,,BSF66F,,2,ok,2419,2419,100,16,0
525,,BSF66F,,3,ok,3142,3142,100,15,0
526,,BSF66F,,4,ok,3184,3184,100,17,0
526,,BSF66F,,5,timeout,0,2428,94,16,1
526,,BSF66F,,6,ok,2460,2460,94,16,1
527,,BSF66F,,0,ok,3315,3315,100,17,0
527,,BSF66F,,1,timeout,0,2659,94,16,1
528,,BSF66F,,4,ok,3259,3259,100,18,0
528,,BSF66F,,5,ok,2475,2475,94,17,1
528,,BSF66F,,6,ok,2480,2480,94,17,1
528,,BSF66F,,7,ok,3143,3143,94,16,1
529,,BSF66F,,0,ok,3226,3226,100,18,0
529,,BSF66F,,1,ok,2650,2650,94,17,1
529,,BSF66F,,2,ok,2403,2403,100,18,0
530,,BSF66F,,4,ok,3227,3227,100,19,0
530,,BSF66F,,5,ok,2409,2409,94,18,1
531,,BSF66F,,0,ok,3191,3191,100,19,0
531,,BSF66F,,1,ok,2644,2644,94,18,1
531,,BSF66F,,2,ok,2437,2437,100,19,0
531,,BSF66F,,3,ok,3138,3138,100,18,0
532,,BSF66F,,4,ok,3206,3206,100,20,0
532,,BSF66F,,5,ok,2402,2402,95,19,1
532,,BSF66F,,6,ok,2479,2479,95,19,1
533,,BSF66F,,0,ok,3221,3221,100,20,0
533,,BSF66F,,1,ok,2672,2672,95,19,1
534,,BSF66F,,4,ok,3192,3192,100,21,0
534,,BSF66F,,5,ok,2422,2422,95,20,1
534,,BSF66F,,6,ok,2466,2466,95,20,1
534,,BSF66F,,7,ok,3147,3147,95,19,1
535,,BSF66F,,0,ok,3226,3226,100,21,0
535,,BSF66F,,1,ok,2642,2642,95,20,1
535,,BSF66F,,2,ok,2489,2489,95,20,1
536,,BSF66F,,4,ok,3247,3247,100,22,0
536,,BSF66F,,5,ok,2472,2472,95,21,1
537,,BSF66F,,0,ok,3237,3237,100,22,0
537,,BSF66F,,1,timeout,0,2642,90,20,2
537,,BSF66F,,2,ok,2424,2424,95,21,1
537,,BSF66F,,3,ok,3171,3171,100,21,0
538,,BSF66F,,4,ok,3277,3277,100,23,0
538,,BSF66F,,5,ok,2462,2462,95,22,1
538,,BSF66F,,6,timeout,0,2477,91,21,2
539,,BSF66F,,0,ok,3182,3182,100,23,0
539,,BSF66F,,1,ok,2688,2688,91,21,2
540,,BSF66F,,4,ok,3265,3265,100,24,0
540,,BSF66F,,5,timeout,0,2462,91,22,2
540,,BSF66F,,6,ok,2473,2473,91,22,2
540,,BSF66F,,7,ok,3222,3222,95,22,1
541,,BSF66F,,0,ok,3208,3208,100,24,0
541,,BSF66F,,1,ok,2706,2706,91,22,2
541,,BSF66F,,2,ok,2365,2365,95,23,1
542,,BSF66F,,4,ok,3217,3217,100,25,0
542,,BSF66F,,5,ok,2420,2420,92,23,2
543,,BSF66F,,0,ok,3205,3205,100,25,0
543,,BSF66F,,1,ok,2620,2620,92,23,2
543,,BSF66F,,2,ok,2465,2465,96,24,1
543,,BSF66F,,3,ok,3163,3163,100,24,0
544,,BSF66F,,4,ok,3260,3260,100,26,0
544,,BSF66F,,5,ok,2390,2390,92,24,2
544,,BSF66F,,6,ok,2468,2468,92,24,2
545,,BSF66F,,0,ok,3242,3242,100,26,0
545,,BSF66F,,1,ok,2655,2655,92,24,2
546,,BSF66F,,4,ok,3224,3224,100,27,0
546,,BSF66F,,5,ok,2421,2421,92,25,2
546,,BSF66F,,6,ok,2459,2459,92,25,2
546,,BSF66F,,7,ok,3199,3199,96,25,1
547,,BSF66F,,0,ok,3262,3262,100,27,0
547,,BSF66F,,1,ok,2654,2654,92,25,2
547,,BSF66F,,2,ok,2451,2451,96,26,1
548,,BSF66F,,4,ok,3274,3274,100,28,0
548,,BSF66F,,5,ok,2474,2474,92,26,2
549,,BSF66F,,0,ok,3158,3158,100,28,0
549,,BSF66F,,1,ok,2662,2662,92,26,2
549,,BSF66F,,2,ok,2423,2423,96,27,1
549,,BSF66F,,3,ok,3137,3137,100,27,0
550,,BSF66F,,4,ok,3284,3284,100,29,0
550,,BSF66F,,5,ok,2440,2440,93,27,2
550,,BSF66F,,6,ok,2468,2468,93,27,2
551,,BSF66F,,0,ok,3200,3200,100,29,0
551,,BSF66F,,1,ok,2641,2641,93,27,2
552,,BSF66F,,4,ok,3223,3223,100,30,0
552,,BSF66F,,5,ok,2392,2392,93,28,2
552,,BSF66F,,6,ok,2493,2493,93,28,2
