host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.890687,59473,,BS2DCE,,0,ok,3216,3216,100,3,0
0.890687,59473,,BS2DCE,,1,ok,2624,2624,66,2,1
0.890687,59473,,BS2DCE,,2,ok,2676,2676,100,3,0
0.892772,59473,,BS2DCE,,3,ok,3356,3356,100,3,0
0.892772,59473,,BS2DCE,,4,ok,3134,3134,100,3,0
0.892772,59473,,BS2DCE,,5,ok,2385,2385,100,3,0
1.125145,59474,,BS2DCE,,0,ok,2951,2951,100,4,0
1.125278,59474,,BS2DCE,,1,ok,2073,2073,75,3,1
1.125278,59474,,BS2DCE,,2,ok,2985,2985,100,4,0
1.125278,59474,,BS2DCE,,3,ok,3563,3563,100,4,0
1.126991,59474,,BS2DCE,,4,ok,2969,2969,100,4,0
1.126991,59474,,BS2DCE,,5,ok,2683,2683,100,4,0
1.126991,59474,,BS2DCE,,6,reject,3083,2525,75,3,1
1.610379,59475,,BS2DCE,,0,ok,2838,2838,100,5,0
1.610379,59475,,BS2DCE,,1,ok,2195,2195,80,4,1
1.612821,59475,,BS2DCE,,2,ok,3030,3030,100,5,0
1.612821,59475,,BS2DCE,,3,ok,3571,3571,100,5,0
1.612821,59475,,BS2DCE,,4,ok,3193,3193,100,5,0
1.615059,59475,,BS2DCE,,5,ok,2416,2416,100,5,0
1.615059,59475,,BS2DCE,,6,reject,3177,2525,60,3,2
1.615059,59475,,BS2DCE,,7,ok,3522,3522,80,4,1
1.97049,59476,,BS2DCE,,0,ok,2511,2511,100,6,0
1.97049,59476,,BS2DCE,,1,ok,2544,2544,83,5,1
1.97049,59476,,BS2DCE,,2,ok,3110,3110,100,6,0
1.999273,59476,,BS2DCE,,3,timeout,0,3571,83,5,1
1.999273,59476,,BS2DCE,,4,ok,2755,2755,100,6,0
1.999273,59476,,BS2DCE,,5,ok,2355,2355,100,6,0
2.202823,59477,,BS2DCE,,0,ok,2723,2723,100,7,0
2.205041,59477,,BS2DCE,,1,ok,2609,2609,85,6,1
2.205041,59477,,BS2DCE,,2,ok,3074,3074,100,7,0
2.205041,59477,,BS2DCE,,3,reject,2957,3571,71,5,2
2.207164,59477,,BS2DCE,,4,ok,2560,2560,100,7,0
2.207164,59477,,BS2DCE,,5,ok,2511,2511,100,7,0
2.207164,59477,,BS2DCE,,6,reject,3204,2525,42,3,4
2.457999,59478,,BS2DCE,,0,ok,2623,2623,100,8,0
2.457999,59478,,BS2DCE,,1,ok,2672,2672,87,7,1
2.46043,59478,,BS2DCE,,2,ok,3060,3060,100,8,0
2.46043,59478,,BS2DCE,,3,reject,2825,3571,62,5,3
2.46043,59478,,BS2DCE,,4,timeout,0,2560,87,7,1
2.462375,59478,,BS2DCE,,5,ok,2721,2721,100,8,0
2.462375,59478,,BS2DCE,,6,reject,3020,2525,37,3,5
2.462375,59478,,BS2DCE,,7,ok,2815,2815,87,7,1
2.636529,59479,,BS2DCE,,0,ok,2619,2619,100,9,0
2.636529,59479,,BS2DCE,,1,ok,2760,2760,88,8,1
2.636529,59479,,BS2DCE,,2,ok,2896,2896,100,9,0
2.690508,59479,,BS2DCE,,3,reject,2762,3571,55,5,4
2.690508,59479,,BS2DCE,,4,reject,3559,2560,77,7,2
2.690508,59479,,BS2DCE,,5,ok,2714,2714,100,9,0
3.155407,59480,,BS2DCE,,0,ok,2823,2823,100,10,0
3.157717,59480,,BS2DCE,,1,ok,3145,3145,90,9,1
3.157717,59480,,BS2DCE,,2,ok,2905,2905,100,10,0
3.157717,59480,,BS2DCE,,3,reject,2779,3571,50,5,5
3.159581,59480,,BS2DCE,,4,ok,2742,2742,80,8,2
3.159581,59480,,BS2DCE,,5,ok,2838,2838,100,10,0
3.159581,59480,,BS2DCE,,6,ok,2842,2842,50,5,5
3.590669,59481,,BS2DCE,,0,ok,3008,3008,100,11,0
3.590669,59481,,BS2DCE,,1,ok,3516,3516,90,10,1
3.593163,59481,,BS2DCE,,2,ok,2895,2895,100,11,0
3.593163,59481,,BS2DCE,,3,reject,2808,3571,45,5,6
3.593163,59481,,BS2DCE,,4,ok,2769,2769,81,9,2
3.595015,59481,,BS2DCE,,5,ok,3024,3024,100,11,0
3.595015,59481,,BS2DCE,,6,ok,2576,2576,54,6,5
3.595015,59481,,BS2DCE,,7,ok,2863,2863,90,10,1
3.695573,59482,,BS2DCE,,0,ok,3240,3240,100,12,0
3.695573,59482,,BS2DCE,,2,ok,2707,2707,100,12,0
3.695573,59482,,BS2DCE,,5,ok,2699,2699,100,12,0
3.801214,59483,,BS2DCE,,0,ok,3141,3141,100,13,0
3.801214,59483,,BS2DCE,,2,ok,2661,2661,100,13,0
4.002759,59484,,BS2DCE,,2,ok,2703,2703,100,14,0
4.005209,59484,,BS2DCE,,0,ok,3215,3215,100,14,0
4.005209,59484,,BS2DCE,,5,ok,2463,2463,100,14,0
4.005209,59484,,BS2DCE,,7,ok,3278,3278,92,13,1
4.205636,59485,,BS2DCE,,0,ok,3683,3683,100,15,0
4.205636,59485,,BS2DCE,,2,ok,2798,2798,100,15,0
4.205636,59485,,BS2DCE,,5,ok,2227,2227,100,15,0
4.415563,59486,,BS2DCE,,0,ok,3182,3182,100,16,0
4.415563,59486,,BS2DCE,,2,ok,2928,2928,100,16,0
4.565557,59487,,BS2DCE,,0,ok,3235,3235,100,17,0
4.618504,59487,,BS2DCE,,2,ok,2879,2879,100,17,0
4.618504,59487,,BS2DCE,,5,ok,1963,1963,100,17,0
4.618504,59487,,BS2DCE,,7,ok,3572,3572,94,16,1
4.850998,59488,,BS2DCE,,0,ok,3085,3085,100,18,0
4.850998,59488,,BS2DCE,,2,ok,3116,3116,100,18,0
4.850998,59488,,BS2DCE,,7,ok,3575,3575,94,17,1
5.008015,59489,,BS2DCE,,0,ok,3018,3018,100,19,0
5.008015,59489,,BS2DCE,,2,ok,2936,2936,100,19,0
5.211147,59490,,BS2DCE,,0,ok,2872,2872,100,20,0
5.214225,59490,,BS2DCE,,2,ok,3038,3038,100,20,0
5.214225,59490,,BS2DCE,,5,ok,2371,2371,100,20,0
5.214225,59490,,BS2DCE,,7,ok,3588,3588,95,19,1
5.42125,59491,,BS2DCE,,0,ok,2753,2753,100,21,0
5.42125,59491,,BS2DCE,,2,ok,3125,3125,100,21,0
5.42125,59491,,BS2DCE,,5,ok,2754,2754,100,21,0
5.600934,59492,,BS2DCE,,0,ok,2550,2550,100,22,0
5.600934,59492,,BS2DCE,,2,ok,3132,3132,100,22,0
