host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.040755,1777158943.408415,64577,,BSDC91,,cal_roto,5,A,ok,ok,3416,3416,0,0,100,100
0.042255,1777158943.409915,64577,,BSDC91,,cal_roto,5,B,ok,ok,1995,1995,0,0,100,100
0.044838,1777158943.412498,64577,,BSDC91,,cal_roto,5,C,ok,ok,2815,2815,0,0,100,100
0.044879,1777158943.412539,64577,,BSDC91,,cal_roto,5,D,ok,ok,3616,3616,0,0,100,100
0.046852,1777158943.414512,64577,,BSDC91,,cal_roto,5,E,ok,ok,2982,2982,0,0,100,100
0.071302,1777158943.438962,64577,,BSDC91,,cal_roto,5,F,ok,ok,1882,1882,0,0,100,100
0.072922,1777158943.440582,64577,,BSDC91,,cal_roto,5,G,ok,ok,2541,2541,0,0,100,100
0.977334,1777158944.344994,64578,,BSDC91,,cal_roto,5,A,ok,ok,2662,2662,0,0,100,100
0.977412,1777158944.345072,64578,,BSDC91,,cal_roto,5,B,ok,ok,2402,2402,0,0,100,100
0.994861,1777158944.362521,64578,,BSDC91,,cal_roto,5,C,ok,ok,3684,3684,0,0,100,100
0.996955,1777158944.364615,64578,,BSDC91,,cal_roto,5,D,ok,ok,3449,3449,0,0,100,100
0.997001,1777158944.364661,64578,,BSDC91,,cal_roto,5,E,ok,ok,2749,2749,0,0,100,100
0.998533,1777158944.366193,64578,,BSDC91,,cal_roto,5,F,ok,ok,2497,2497,0,0,100,100
1.016509,1777158944.384169,64578,,BSDC91,,cal_roto,5,G,ok,ok,3155,3155,0,0,100,100
1.017852,1777158944.385512,64578,,BSDC91,,cal_roto,5,H,ok,ok,3591,3591,0,0,100,100
1.195783,1777158944.563443,64579,,BSDC91,,cal_roto,5,A,ok,ok,2549,2549,0,0,100,100
1.197258,1777158944.564918,64579,,BSDC91,,cal_roto,5,B,ok,ok,2762,2762,0,0,100,100
1.200469,1777158944.568129,64579,,BSDC91,,cal_roto,5,C,reject,raw_outlier,2931,3684,0,0,75,75
1.200515,1777158944.568175,64579,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2663,3449,0,0,75,75
1.201755,1777158944.569415,64579,,BSDC91,,cal_roto,5,E,ok,ok,2539,2539,0,0,100,100
1.250737,1777158944.618397,64579,,BSDC91,,cal_roto,5,F,ok,ok,2803,2803,0,0,100,100
1.251042,1777158944.618702,64579,,BSDC91,,cal_roto,5,G,ok,ok,3089,3089,0,0,100,100
1.408147,1777158944.775807,64580,,BSDC91,,cal_roto,5,A,ok,ok,2652,2652,0,0,100,100
1.428366,1777158944.796026,64580,,BSDC91,,cal_roto,5,B,ok,ok,2938,2938,0,0,100,100
1.429901,1777158944.797561,64580,,BSDC91,,cal_roto,5,C,reject,raw_outlier,3021,3684,0,0,60,60
1.431554,1777158944.799214,64580,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2624,3449,0,0,60,60
1.43298,1777158944.80064,64580,,BSDC91,,cal_roto,5,E,ok,ok,2403,2403,0,0,100,100
1.434239,1777158944.801899,64580,,BSDC91,,cal_roto,5,F,ok,ok,2853,2853,0,0,100,100
1.458992,1777158944.826652,64580,,BSDC91,,cal_roto,5,G,ok,ok,2889,2889,0,0,100,100
1.561606,1777158944.929266,64581,,BSDC91,,cal_roto,5,A,ok,ok,2824,2824,0,0,100,100
1.563109,1777158944.930769,64581,,BSDC91,,cal_roto,5,B,ok,ok,3157,3157,0,0,100,100
1.609926,1777158944.977586,64581,,BSDC91,,cal_roto,5,C,reject,raw_outlier,3071,3684,0,0,50,50
1.611458,1777158944.979118,64581,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2701,3449,0,0,50,50
1.612819,1777158944.980479,64581,,BSDC91,,cal_roto,5,E,reject,raw_outlier,3054,2403,0,0,83,83
1.613923,1777158944.981583,64581,,BSDC91,,cal_roto,5,F,ok,ok,3086,3086,0,0,100,100
1.638235,1777158945.005895,64581,,BSDC91,,cal_roto,5,G,ok,ok,2755,2755,0,0,100,100
1.639883,1777158945.007543,64581,,BSDC91,,cal_roto,5,H,reject,raw_outlier,2599,3591,0,0,50,50
1.788428,1777158945.156088,64582,,BSDC91,,cal_roto,5,A,ok,ok,2916,2916,0,0,100,100
1.789758,1777158945.157418,64582,,BSDC91,,cal_roto,5,B,ok,ok,3107,3107,0,0,100,100
1.791719,1777158945.159379,64582,,BSDC91,,cal_roto,5,C,reject,raw_outlier,2959,3684,0,0,42,42
1.793018,1777158945.160678,64582,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2675,3449,0,0,42,42
1.794342,1777158945.162002,64582,,BSDC91,,cal_roto,5,E,timeout,rx_timeout,0,2403,0,0,71,71
1.818794,1777158945.186454,64582,,BSDC91,,cal_roto,5,F,ok,ok,3533,3533,0,0,100,100
1.820491,1777158945.188151,64582,,BSDC91,,cal_roto,5,G,ok,ok,2553,2553,0,0,100,100
1.998459,1777158945.366119,64583,,BSDC91,,cal_roto,5,A,ok,ok,2927,2927,0,0,100,100
1.999996,1777158945.367656,64583,,BSDC91,,cal_roto,5,B,ok,ok,3361,3361,0,0,100,100
2.001815,1777158945.369475,64583,,BSDC91,,cal_roto,5,C,reject,raw_outlier,2750,3684,0,0,37,37
2.002929,1777158945.370589,64583,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2776,3449,0,0,37,37
2.004493,1777158945.372153,64583,,BSDC91,,cal_roto,5,E,reject,raw_outlier,2912,2403,0,0,62,62
2.02136,1777158945.38902,64583,,BSDC91,,cal_roto,5,F,ok,ok,3398,3398,0,0,100,100
2.023297,1777158945.390957,64583,,BSDC91,,cal_roto,5,G,ok,ok,2469,2469,0,0,100,100
2.131282,1777158945.498942,64584,,BSDC91,,cal_roto,5,A,ok,ok,3071,3071,0,0,100,100
2.13283,1777158945.50049,64584,,BSDC91,,cal_roto,5,B,ok,ok,2945,2945,0,0,100,100
2.149334,1777158945.516994,64584,,BSDC91,,cal_roto,5,C,reject,raw_outlier,2753,3684,0,0,33,33
2.152576,1777158945.520236,64584,,BSDC91,,cal_roto,5,D,reject,raw_outlier,2891,3449,0,0,33,33
2.152632,1777158945.520292,64584,,BSDC91,,cal_roto,5,E,reject,raw_outlier,2862,2403,0,0,55,55
