host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
0.029488,1777158943.397148,3094,,BSF66F,,cal_static,4,success,100,4,4,19706,20713,0
0.176995,1777158943.544655,3095,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.39213,1777158943.75979,3096,,BSF66F,,cal_static,4,success,100,4,4,11,12,0
0.592027,1777158943.959687,3097,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.769491,1777158944.137151,3098,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.98021,1777158944.34787,3099,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.259422,1777158944.627082,3100,,BSF66F,,cal_static,4,success,100,4,4,1989609,1990398,0
1.362366,1777158944.730026,3101,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.61926,1777158944.98692,3102,,BSF66F,,cal_static,4,success,100,4,4,471727,472593,0
1.777027,1777158945.144687,3103,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.028654,1777158945.396314,3104,,BSF66F,,cal_static,4,success,100,4,4,3004108,3004868,0
2.156886,1777158945.524546,3105,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.423456,1777158945.791116,3106,,BSF66F,,cal_static,4,success,100,4,4,6181535,6182203,0
2.569693,1777158945.937353,3107,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.749369,1777158946.117029,3108,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.984473,1777158946.352133,3109,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
3.162065,1777158946.529725,3110,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
3.394981,1777158946.762641,3111,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
3.554241,1777158946.921901,3112,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
3.777124,1777158947.144784,3113,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
3.957527,1777158947.325187,3114,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
4.169307,1777158947.536967,3115,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
4.423297,1777158947.790957,3116,,BSF66F,,cal_static,4,success,96,4,4,18547802,18548502,0
4.579783,1777158947.947443,3117,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
4.837965,1777158948.205625,3118,,BSF66F,,cal_static,4,success,96,4,4,2293507,2294256,0
4.962217,1777158948.329877,3119,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
5.218794,1777158948.586454,3120,,BSF66F,,cal_static,4,success,96,4,4,268264,269034,0
5.376789,1777158948.744449,3121,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
5.607165,1777158948.974825,3122,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
5.787141,1777158949.154801,3123,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
6.023028,1777158949.390688,3124,,BSF66F,,cal_static,4,success,95,4,4,27585,28610,0
6.169685,1777158949.537345,3125,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
6.349939,1777158949.717599,3126,,BSF66F,,cal_static,4,pending,93,4,2,0,0,0
6.561961,1777158949.929621,3127,,BSF66F,,cal_static,4,pending,98,4,3,0,0,0
6.819447,1777158950.187107,3128,,BSF66F,,cal_static,4,success,93,4,4,5,6,0
6.99463,1777158950.36229,3129,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
7.22979,1777158950.59745,3130,,BSF66F,,cal_static,4,success,93,4,4,32802973,32803630,0
7.377198,1777158950.744858,3131,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
7.609948,1777158950.977608,3132,,BSF66F,,cal_static,4,success,94,4,4,7,9,0
7.792531,1777158951.160191,3133,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
8.000045,1777158951.367705,3134,,BSF66F,,cal_static,4,success,94,4,4,2,3,0
8.179902,1777158951.547562,3135,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
8.435963,1777158951.803623,3136,,BSF66F,,cal_static,4,success,94,4,4,15897595,15898275,0
8.56254,1777158951.9302,3137,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
8.847272,1777158952.214932,3138,,BSF66F,,cal_static,4,success,95,4,4,10147113,10147826,0
8.976923,1777158952.344583,3139,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
9.177314,1777158952.544974,3140,,BSF66F,,cal_static,4,pending,94,4,3,0,0,0
9.357121,1777158952.724781,3141,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
9.622546,1777158952.990206,3142,,BSF66F,,cal_static,4,success,94,4,4,5950,6847,0
9.769811,1777158953.137471,3143,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
10.002379,1777158953.370039,3144,,BSF66F,,cal_static,4,success,94,4,4,122019,122891,0
10.184179,1777158953.551839,3145,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
10.36218,1777158953.72984,3146,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
10.594941,1777158953.962601,3147,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
10.754532,1777158954.122192,3148,,BSF66F,,cal_static,4,pending,93,4,3,0,0,0
10.977507,1777158954.345167,3149,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
11.209951,1777158954.577611,3150,,BSF66F,,cal_static,4,success,93,4,4,13,17,0
11.369596,1777158954.737256,3151,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
11.547527,1777158954.915187,3152,,BSF66F,,cal_static,4,pending,91,4,2,0,0,0
11.780357,1777158955.148017,3153,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
12.037603,1777158955.405263,3154,,BSF66F,,cal_static,4,success,95,4,4,3309321,3310096,0
12.16238,1777158955.53004,3155,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
12.418533,1777158955.786193,3156,,BSF66F,,cal_static,4,success,95,4,4,43392660,43393357,0
12.577816,1777158955.945476,3157,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
12.777862,1777158956.145522,3158,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
12.962808,1777158956.330468,3159,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
13.221138,1777158956.588798,3160,,BSF66F,,cal_static,4,success,96,4,4,1331121,1331910,0
13.369832,1777158956.737492,3161,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
13.603809,1777158956.971469,3162,,BSF66F,,cal_static,4,success,96,4,4,29261713,29262358,0
13.784896,1777158957.152556,3163,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
13.962569,1777158957.330229,3164,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
14.195142,1777158957.562802,3165,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
14.377877,1777158957.745537,3166,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
14.60751,1777158957.97517,3167,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
14.838799,1777158958.206459,3168,,BSF66F,,cal_static,4,success,95,4,4,1234891,1235685,0
14.969748,1777158958.337408,3169,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
15.169815,1777158958.537475,3170,,BSF66F,,cal_static,4,pending,96,4,4,0,0,0
15.380132,1777158958.747792,3171,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
15.637817,1777158959.005477,3172,,BSF66F,,cal_static,4,success,96,4,4,9066445,9067125,0
15.762541,1777158959.130201,3173,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
16.01977,1777158959.38743,3174,,BSF66F,,cal_static,4,success,96,4,4,260770,261687,0
16.177579,1777158959.545239,3175,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
16.407602,1777158959.775262,3176,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
16.557669,1777158959.925329,3177,,BSF66F,,cal_static,4,pending,98,4,2,0,0,0
16.822706,1777158960.190366,3178,,BSF66F,,cal_static,4,success,95,4,4,39544452,39545156,0
16.969916,1777158960.337576,3179,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
17.179985,1777158960.547645,3180,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
17.385001,1777158960.752661,3181,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
17.617019,1777158960.984679,3182,,BSF66F,,cal_static,4,success,95,4,4,8418093,8418732,0
17.795429,1777158961.163089,3183,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
17.977309,1777158961.344969,3184,,BSF66F,,cal_static,4,pending,95,4,4,0,0,0
18.177667,1777158961.545327,3185,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
18.357863,1777158961.725523,3186,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
18.56951,1777158961.93717,3187,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
18.822833,1777158962.190493,3188,,BSF66F,,cal_static,4,success,97,4,4,30,43,0
18.980818,1777158962.348478,3189,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
19.162149,1777158962.529809,3190,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
19.363071,1777158962.730731,3191,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
19.616509,1777158962.984169,3192,,BSF66F,,cal_static,4,success,96,4,4,330916,331796,0
19.777527,1777158963.145187,3193,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
20.008899,1777158963.376559,3194,,BSF66F,,cal_static,4,success,96,4,4,53900612,53901331,0
20.157484,1777158963.525144,3195,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
20.424163,1777158963.791823,3196,,BSF66F,,cal_static,4,success,96,4,4,3691672,3692364,0
20.571163,1777158963.938823,3197,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
20.802903,1777158964.170563,3198,,BSF66F,,cal_static,4,success,96,4,4,5,6,0
20.985165,1777158964.352825,3199,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
21.16254,1777158964.5302,3200,,BSF66F,,cal_static,4,pending,95,4,3,0,0,0
21.395283,1777158964.762943,3201,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
21.55492,1777158964.92258,3202,,BSF66F,,cal_static,4,pending,94,4,2,0,0,0
21.777915,1777158965.145575,3203,,BSF66F,,cal_static,4,pending,99,4,3,0,0,0
21.962079,1777158965.329739,3204,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
22.169856,1777158965.537516,3205,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
22.423955,1777158965.791615,3206,,BSF66F,,cal_static,4,success,94,4,4,22089399,22090072,0
22.550075,1777158965.917735,3207,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
22.837605,1777158966.205265,3208,,BSF66F,,cal_static,4,success,94,4,4,63502943,63503586,0
22.962969,1777158966.330629,3209,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
23.219701,1777158966.587361,3210,,BSF66F,,cal_static,4,success,94,4,4,9975178,9975870,0
23.3778,1777158966.74546,3211,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
23.610129,1777158966.977789,3212,,BSF66F,,cal_static,4,success,94,4,4,15090892,15091565,0
23.757995,1777158967.125655,3213,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
23.96985,1777158967.33751,3214,,BSF66F,,cal_static,4,pending,94,4,4,0,0,0
24.170207,1777158967.537867,3215,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
24.401772,1777158967.769432,3216,,BSF66F,,cal_static,4,success,94,4,4,2172812,2173607,0
24.564569,1777158967.932229,3217,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
24.837607,1777158968.205267,3218,,BSF66F,,cal_static,4,success,97,4,4,18,22,0
24.995601,1777158968.363261,3219,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
25.200267,1777158968.567927,3220,,BSF66F,,cal_static,4,success,97,4,4,14203,15172,0
25.378107,1777158968.745767,3221,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
25.611439,1777158968.979099,3222,,BSF66F,,cal_static,4,success,97,4,4,8718,9681,0
25.770044,1777158969.137704,3223,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
25.975487,1777158969.343147,3224,,BSF66F,,cal_static,4,success,97,4,4,4,5,0
26.180259,1777158969.547919,3225,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
26.363096,1777158969.730756,3226,,BSF66F,,cal_static,4,pending,96,4,3,0,0,0
26.59338,1777158969.96104,3227,,BSF66F,,cal_static,4,pending,97,4,2,0,0,0
26.819125,1777158970.186785,3228,,BSF66F,,cal_static,4,success,96,4,4,1648258,1649054,0
26.977862,1777158970.345522,3229,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
27.230898,1777158970.598558,3230,,BSF66F,,cal_static,4,success,96,4,4,11,13,0
27.41074,1777158970.7784,3231,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
27.620653,1777158970.988313,3232,,BSF66F,,cal_static,4,success,96,4,4,305,483,0
27.770518,1777158971.138178,3233,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
28.005012,1777158971.372672,3234,,BSF66F,,cal_static,4,success,97,4,4,660388,661239,0
28.183233,1777158971.550893,3235,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
28.438086,1777158971.805746,3236,,BSF66F,,cal_static,4,success,97,4,4,10,12,0
28.59538,1777158971.96304,3237,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
28.778011,1777158972.145671,3238,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
28.978304,1777158972.345964,3239,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
29.193126,1777158972.560786,3240,,BSF66F,,cal_static,4,success,97,4,4,4,4,0
29.441708,1777158972.809368,3241,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
29.624223,1777158972.991883,3242,,BSF66F,,cal_static,4,success,97,4,4,2952531,2953270,0
29.78046,1777158973.14812,3243,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
30.038168,1777158973.405828,3244,,BSF66F,,cal_static,4,success,97,4,4,9726,10688,0
30.162935,1777158973.530595,3245,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
30.421612,1777158973.789272,3246,,BSF66F,,cal_static,4,success,97,4,4,8205394,8206051,0
30.599205,1777158973.966865,3247,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
30.777912,1777158974.145572,3248,,BSF66F,,cal_static,4,pending,97,4,4,0,0,0
30.959011,1777158974.326671,3249,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
