a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,3251,100,3251,1,0
A,C,A,4928,100,4928,1,0
A,D,A,4333,100,4333,1,0
A,E,A,1217,100,1217,1,0
A,F,A,3376,100,3376,1,0
A,G,A,5230,100,5230,1,0
A,H,A,4523,100,4523,1,0
A,B,B,3216,100,3216,1,0
B,C,B,3882,100,3882,1,0
B,D,B,5424,100,5424,1,0
B,E,B,3542,100,3542,1,0
B,F,B,1149,100,1149,1,0
B,G,B,4264,100,4264,1,0
B,H,B,5536,100,5536,1,0
A,C,C,4988,100,4988,1,0
B,C,C,3877,100,3877,1,0
C,D,C,3195,100,3195,1,0
C,E,C,5147,100,5147,1,0
C,F,C,3899,100,3899,1,0
C,G,C,1069,100,1069,1,0
C,H,C,3425,100,3425,1,0
A,D,D,4326,100,4326,1,0
B,D,D,5429,100,5429,1,0
C,D,D,3244,100,3244,1,0
D,E,D,4414,100,4414,1,0
D,F,D,5330,100,5330,1,0
D,G,D,3330,100,3330,1,0
D,H,D,1093,100,1093,1,0
A,E,E,1213,100,1213,1,0
B,E,E,3590,100,3590,1,0
C,E,E,5159,100,5159,1,0
D,E,E,4431,100,4431,1,0
E,F,E,3266,100,3266,1,0
E,G,E,5175,100,5175,1,0
E,H,E,4247,100,4247,1,0
A,F,F,3378,100,3378,1,0
B,F,F,1181,100,1181,1,0
C,F,F,3871,100,3871,1,0
D,F,F,5376,100,5376,1,0
E,F,F,3257,100,3257,1,0
F,G,F,3964,100,3964,1,0
F,H,F,5294,100,5294,1,0
A,G,G,5286,100,5286,1,0
B,G,G,4272,100,4272,1,0
C,G,G,1119,100,1119,1,0
D,G,G,3323,100,3323,1,0
E,G,G,5180,100,5180,1,0
F,G,G,3960,100,3960,1,0
G,H,G,3186,100,3186,1,0
A,H,H,4489,100,4489,1,0
B,H,H,5572,100,5572,1,0
C,H,H,3431,100,3431,1,0
D,H,H,1126,100,1126,1,0
E,H,H,4276,100,4276,1,0
F,H,H,5298,100,5298,1,0
G,H,H,3204,100,3204,1,0
A,B,A,3282,100,3282,1,0
A,C,A,4957,100,4957,1,0
A,D,A,4347,100,4347,1,0
A,E,A,1232,100,1232,1,0
A,F,A,3317,100,3317,1,0
A,G,A,5294,100,5294,1,0
A,H,A,4496,100,4496,1,0
A,B,B,3195,100,3195,1,0
B,C,B,3889,100,3889,1,0
B,D,B,5451,100,5451,1,0
B,E,B,3603,100,3603,1,0
B,F,B,1158,100,1158,1,0
B,G,B,4273,100,4273,1,0
B,H,B,5528,100,5528,1,0
A,C,C,5003,100,5003,1,0
B,C,C,3910,100,3910,1,0
C,D,C,3184,100,3184,1,0
C,E,C,5195,100,5195,1,0
C,F,C,3888,100,3888,1,0
C,G,C,1091,100,1091,1,0
C,H,C,3364,100,3364,1,0
A,D,D,4342,100,4342,1,0
B,D,D,5402,100,5402,1,0
C,D,D,3171,100,3171,1,0
D,E,D,4414,100,4414,1,0
D,F,D,5381,100,5381,1,0
D,G,D,3298,100,3298,1,0
D,H,D,1187,100,1187,1,0
A,E,E,1202,100,1202,1,0
B,E,E,3563,100,3563,1,0
C,E,E,5159,100,5159,1,0
D,E,E,4347,100,4347,1,0
E,F,E,3251,100,3251,1,0
E,G,E,5200,100,5200,1,0
E,H,E,4272,100,4272,1,0
A,F,F,3357,100,3357,1,0
B,F,F,1165,100,1165,1,0
C,F,F,3880,100,3880,1,0
D,F,F,5341,100,5341,1,0
E,F,F,3258,100,3258,1,0
F,G,F,3950,100,3950,1,0
F,H,F,5233,100,5233,1,0
A,G,G,5322,100,5322,1,0
B,G,G,4241,100,4241,1,0
C,G,G,1121,100,1121,1,0
D,G,G,3310,100,3310,1,0
E,G,G,5201,100,5201,1,0
F,G,G,3949,100,3949,1,0
G,H,G,3206,100,3206,1,0
A,H,H,4480,100,4480,1,0
B,H,H,5573,100,5573,1,0
C,H,H,3405,100,3405,1,0
D,H,H,1078,100,1078,1,0
E,H,H,4272,100,4272,1,0
F,H,H,5273,100,5273,1,0
G,H,H,3220,100,3220,1,0
A,B,A,3195,100,3195,1,0
A,C,A,5000,100,5000,1,0
A,D,A,4328,100,4328,1,0
A,E,A,1285,100,1285,1,0
A,F,A,3344,100,3344,1,0
A,G,A,5336,100,5336,1,0
A,H,A,4485,100,4485,1,0
A,B,B,3201,100,3201,1,0
B,C,B,3875,100,3875,1,0
B,D,B,5440,100,5440,1,0
