pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,3868.848089646033,3868.0840624800267,0.7640271660061444,0.7640271660061444
A-C,3062.6042398057275,3063.6777723298055,-1.0735325240780185,1.0735325240780185
A-D,2744.144566466385,2743.0435846725154,1.100981793869778,1.100981793869778
A-E,1306.6738759492418,1307.8796098455057,-1.2057338962638369,1.2057338962638369
A-F,4101.150525388069,4102.252930092024,-1.1024047039554716,1.1024047039554716
A-G,2991.145106591366,2991.3977024216742,-0.2525958303081097,0.2525958303081097
A-H,3337.192026041315,3336.8591043237534,0.3329217175614758,0.3329217175614758
B-C,992.3046891134877,992.8320475782808,-0.5273584647931102,0.5273584647931102
B-D,1775.1900256531537,1774.8634140548002,0.32661159835356557,0.32661159835356557
B-E,4384.441866364255,4384.275348446834,0.16651791742060595,0.16651791742060595
B-F,1171.3491116341254,1171.019968406508,0.32914322761735093,0.32914322761735093
B-G,1827.8198444407797,1828.9276934261668,-1.107848985387136,1.107848985387136
B-H,2298.0785118774174,2298.025918862323,0.0525930150943168,0.0525930150943168
C-D,812.1664557642629,812.5767202089895,-0.4102644447266357,0.4102644447266357
C-E,3559.9053811040308,3559.5905814256685,0.3147996783623057,0.3147996783623057
C-F,1493.3366340465957,1494.930413545603,-1.593779499007269,1.593779499007269
C-G,1478.9247247020162,1479.726481180664,-0.8017564786478033,0.8017564786478033
C-H,1621.3653833944188,1622.3752515786791,-1.0098681842603128,1.0098681842603128
D-E,3214.372526471203,3215.7175275361483,-1.3450010649453361,1.3450010649453361
D-F,2121.1138779328144,2121.118962653871,-0.00508472105684632,0.00508472105684632
D-G,1836.7264523099373,1837.3090920808456,-0.5826397709083722,0.5826397709083722
D-H,1395.0051418076955,1395.8584214162556,-0.8532796085601149,0.8532796085601149
E-F,4263.685431215194,4262.943392355441,0.7420388597529382,0.7420388597529382
E-G,3008.9987887475972,3008.71970904836,0.27907969923717246,0.27907969923717246
E-H,3251.3940232709683,3251.3792265342813,0.014796736687003431,0.014796736687003431
F-G,1298.9305045245178,1297.9878088286691,0.9426956958486699,0.9426956958486699
F-H,1846.910892792327,1846.3880576619965,0.5228351303305772,0.5228351303305772
G-H,1528.7459178060362,1528.367804820618,0.37811298541828364,0.37811298541828364
