pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4343.594587027545,4344.276243093923,-0.6816560663783093,0.6816560663783093
A-C,4890.683225398983,4890.475624256837,0.2076011421459043,0.2076011421459043
A-D,2653.9982211067468,2654.095022624435,-0.09680151768816359,0.09680151768816359
A-E,1365.9513562115276,1366.0,-0.04864378847241824,0.04864378847241824
A-F,4676.083605313652,4676.000000000001,0.08360531365087809,0.08360531365087809
A-G,5288.853428812552,5288.369913363087,0.4835154494649032,0.4835154494649032
A-H,3116.844306428597,3117.0570962479605,-0.21278981936347918,0.21278981936347918
B-C,2150.9519363555414,2151.0,-0.0480636444585798,0.0480636444585798
B-D,4904.065041355794,4903.8115399025855,0.25350145320862794,0.25350145320862794
B-E,4533.11335784378,4532.969238050166,0.14411979361466365,0.14411979361466365
B-F,1441.48920606733,1441.5,-0.010793932669912465,0.010793932669912465
B-G,2629.449932641075,2629.780487804878,-0.3305551638027282,0.3305551638027282
B-H,5274.656579251554,5274.4009900990095,0.2555891525444167,0.2555891525444167
C-D,4208.19294117647,4208.19294117647,0.0,0.0
C-E,4990.604785022046,4990.414355628059,0.19042939398696035,0.19042939398696035
C-F,2546.3592462632355,2546.476756756757,-0.11751049352142218,0.11751049352142218
C-G,1338.9285794480909,1338.780487804878,0.14809164321286516,0.14809164321286516
C-H,4566.280297632285,4566.514489710205,-0.23419207792085217,0.23419207792085217
D-E,2832.401476391643,2832.4600638977636,-0.058587506120602484,0.058587506120602484
D-F,5168.681325905467,5168.602352941177,0.07897296429018752,0.07897296429018752
D-G,4588.907212423212,4589.20324629499,-0.2960338717784907,0.2960338717784907
D-H,1382.0834937040222,1382.0000000000002,0.08349370402197565,0.08349370402197565
E-F,4430.732635469063,4431.0,-0.26736453093690216,0.26736453093690216
E-G,5034.165517241379,5034.165517241379,0.0,0.0
E-H,2634.7379912663755,2634.7379912663755,0.0,0.0
F-G,2220.5901639344265,2220.5901639344265,0.0,0.0
F-H,5154.494538306731,5154.39024390244,0.10429440429106762,0.10429440429106762
G-H,4540.3060741698455,4540.433628318584,-0.1275541487384544,0.1275541487384544
